,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
0,"[1.0, 0.8819171036881969, 1.0, 0.8728715609439694, 0.875]",0.9259577329264331,0.06052920592778333,0.02706948381572135,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.9375, 1.0, 0.9285714285714286, 0.9375]","[1.0, 0.9375, 1.0, 0.9333333333333333, 0.9333333333333333]","[1.0, 0.9375, 1.0, 0.9285714285714286, 0.9375]","[1.0, 0.875, 1.0, 0.8571428571428571, 0.875]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9333333333333333, 1.0, 0.9230769230769231, 0.9333333333333333]","[1.0, 0.8819171036881969, 1.0, 0.8728715609439694, 0.875]"
1,"[0.8819171036881969, 0.629940788348712, 0.8819171036881969, 0.875, 1.0]",0.8537549991450211,0.12125836841668045,0.0542283909240822,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8125, 0.9375, 0.9375, 1.0]","[0.9375, 0.8125, 0.9375, 0.9333333333333333, 1.0]","[0.9375, 0.8125, 0.9375, 0.9375, 1.0]","[0.875, 0.875, 1.0, 1.0, 1.0]","[1.0, 0.7777777777777778, 0.8888888888888888, 0.875, 1.0]","[0.9333333333333333, 0.8235294117647058, 0.9411764705882353, 0.9333333333333333, 1.0]","[0.8819171036881969, 0.629940788348712, 0.8819171036881969, 0.875, 1.0]"
2,"[1.0, 0.8819171036881969, 0.8819171036881969, 1.0, 0.7321428571428571]",0.8991954129038501,0.09881980154223512,0.04419355875429525,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.9375, 0.9375, 1.0, 0.8660714285714286]","[1.0, 0.9375, 0.9375, 1.0, 0.8666666666666667]","[1.0, 0.9375, 0.9375, 1.0, 0.8660714285714286]","[1.0, 0.875, 1.0, 1.0, 0.875]","[1.0, 1.0, 0.8888888888888888, 1.0, 0.875]","[1.0, 0.9333333333333333, 0.9411764705882353, 1.0, 0.875]","[1.0, 0.8819171036881969, 0.8819171036881969, 1.0, 0.7321428571428571]"
3,"[0.8819171036881969, 1.0, 0.75, 0.875, 0.875]",0.8763834207376394,0.07910534376228526,0.035376985207191756,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 1.0, 0.875, 0.9375, 0.9375]","[0.9375, 1.0, 0.875, 0.9333333333333333, 0.9333333333333333]","[0.9375, 1.0, 0.875, 0.9375, 0.9375]","[0.875, 1.0, 0.875, 1.0, 0.875]","[1.0, 1.0, 0.875, 0.875, 1.0]","[0.9333333333333333, 1.0, 0.875, 0.9333333333333333, 0.9333333333333333]","[0.8819171036881969, 1.0, 0.75, 0.875, 0.875]"
4,"[0.8819171036881969, 1.0, 1.0, 0.6071428571428571, 0.6614378277661477]",0.8300995577194403,0.16647753489724515,0.07445101695136672,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 1.0, 1.0, 0.8035714285714285, 0.8125]","[0.9375, 1.0, 1.0, 0.8, 0.8]","[0.9375, 1.0, 1.0, 0.8035714285714286, 0.8125]","[1.0, 1.0, 1.0, 0.8571428571428571, 0.625]","[0.8888888888888888, 1.0, 1.0, 0.75, 1.0]","[0.9411764705882353, 1.0, 1.0, 0.8, 0.7692307692307693]","[0.8819171036881969, 1.0, 1.0, 0.6071428571428571, 0.6614378277661477]"
5,"[1.0, 0.8819171036881969, 1.0, 1.0, 0.7321428571428571]",0.9228119921662108,0.1057365373125396,0.04728681702725629,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.9375, 1.0, 1.0, 0.8660714285714286]","[1.0, 0.9375, 1.0, 1.0, 0.8666666666666667]","[1.0, 0.9375, 1.0, 1.0, 0.8660714285714286]","[1.0, 1.0, 1.0, 1.0, 0.875]","[1.0, 0.8888888888888888, 1.0, 1.0, 0.875]","[1.0, 0.9411764705882353, 1.0, 1.0, 0.875]","[1.0, 0.8819171036881969, 1.0, 1.0, 0.7321428571428571]"
6,"[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 1.0, 0.3392857142857143]",0.7970074050700611,0.23338556535019014,0.10437319781804894,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.9375, 0.9375, 1.0, 0.6696428571428572]","[0.9375, 0.9375, 0.9375, 1.0, 0.6666666666666666]","[0.9375, 0.9375, 0.9375, 1.0, 0.6696428571428572]","[1.0, 1.0, 0.875, 1.0, 0.625]","[0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 0.7142857142857143]","[0.9411764705882353, 0.9411764705882353, 0.9333333333333333, 1.0, 0.6666666666666666]","[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 1.0, 0.3392857142857143]"
7,"[1.0, 0.75, 0.8819171036881969, 1.0, 0.7321428571428571]",0.8728119921662107,0.11602333618486911,0.05188721333713568,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.875, 0.9375, 1.0, 0.8660714285714286]","[1.0, 0.875, 0.9375, 1.0, 0.8666666666666667]","[1.0, 0.875, 0.9375, 1.0, 0.8660714285714286]","[1.0, 0.875, 1.0, 1.0, 0.875]","[1.0, 0.875, 0.8888888888888888, 1.0, 0.875]","[1.0, 0.875, 0.9411764705882353, 1.0, 0.875]","[1.0, 0.75, 0.8819171036881969, 1.0, 0.7321428571428571]"
8,"[1.0, 1.0, 0.75, 0.8728715609439694, 1.0]",0.9245743121887939,0.10021623432144638,0.04481806247836032,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 1.0, 0.875, 0.9285714285714286, 1.0]","[1.0, 1.0, 0.875, 0.9333333333333333, 1.0]","[1.0, 1.0, 0.875, 0.9285714285714286, 1.0]","[1.0, 1.0, 0.875, 0.8571428571428571, 1.0]","[1.0, 1.0, 0.875, 1.0, 1.0]","[1.0, 1.0, 0.875, 0.9230769230769231, 1.0]","[1.0, 1.0, 0.75, 0.8728715609439694, 1.0]"
9,"[1.0, 0.7745966692414834, 1.0, 0.7321428571428571, 1.0]",0.901347905276868,0.12156720900828163,0.0543665086354885,"{'penalty': 'l1', 'C': 0.5506272867445121, 'solver': 'saga', 'max_iter': 117, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.875, 1.0, 0.8660714285714286, 1.0]","[1.0, 0.875, 1.0, 0.8666666666666667, 1.0]","[1.0, 0.875, 1.0, 0.8660714285714286, 1.0]","[1.0, 0.75, 1.0, 0.8571428571428571, 1.0]","[1.0, 1.0, 1.0, 0.8571428571428571, 1.0]","[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]","[1.0, 0.7745966692414834, 1.0, 0.7321428571428571, 1.0]"
