,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
0,"[1.0, 0.8819171036881969, 0.8819171036881969, 0.875, 0.8728715609439694]",0.9023411536640726,0.048964332899100356,0.02189751536706355,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.9375, 0.9375, 0.9375, 0.9285714285714286]","[1.0, 0.9375, 0.9375, 0.9333333333333333, 0.9333333333333333]","[1.0, 0.9375, 0.9375, 0.9375, 0.9285714285714286]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.8888888888888888, 0.875, 0.8888888888888888]","[1.0, 0.9333333333333333, 0.9411764705882353, 0.9333333333333333, 0.9411764705882353]","[1.0, 0.8819171036881969, 0.8819171036881969, 0.875, 0.8728715609439694]"
1,"[1.0, 0.629940788348712, 0.8819171036881969, 0.875, 1.0]",0.8773715784073819,0.13514713583193114,0.06043963653691912,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.8125, 0.9375, 0.9375, 1.0]","[1.0, 0.8125, 0.9375, 0.9333333333333333, 1.0]","[1.0, 0.8125, 0.9375, 0.9375, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 0.7777777777777778, 0.8888888888888888, 0.875, 1.0]","[1.0, 0.8235294117647058, 0.9411764705882353, 0.9333333333333333, 1.0]","[1.0, 0.629940788348712, 0.8819171036881969, 0.875, 1.0]"
2,"[0.7745966692414834, 0.75, 1.0, 1.0, 1.0]",0.9049193338482967,0.11670903661480111,0.052193867891841446,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.875, 1.0, 1.0, 1.0]","[0.875, 0.875, 1.0, 1.0, 1.0]","[0.875, 0.875, 1.0, 1.0, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[0.8, 0.875, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.875, 1.0, 1.0, 1.0]","[0.7745966692414834, 0.75, 1.0, 1.0, 1.0]"
3,"[0.8819171036881969, 1.0, 0.8819171036881969, 0.875, 0.875]",0.9027668414752787,0.048714895502916224,0.021785963572263894,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 1.0, 0.9375, 0.9375, 0.9375]","[0.9375, 1.0, 0.9375, 0.9333333333333333, 0.9333333333333333]","[0.9375, 1.0, 0.9375, 0.9375, 0.9375]","[1.0, 1.0, 1.0, 1.0, 0.875]","[0.8888888888888888, 1.0, 0.8888888888888888, 0.875, 1.0]","[0.9411764705882353, 1.0, 0.9411764705882353, 0.9333333333333333, 0.9333333333333333]","[0.8819171036881969, 1.0, 0.8819171036881969, 0.875, 0.875]"
4,"[1.0, 0.75, 1.0, 1.0, 0.8728715609439694]",0.9245743121887939,0.1002162343214464,0.04481806247836033,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.875, 1.0, 1.0, 0.9285714285714286]","[1.0, 0.875, 1.0, 1.0, 0.9333333333333333]","[1.0, 0.875, 1.0, 1.0, 0.9285714285714286]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 0.875, 1.0, 1.0, 0.8888888888888888]","[1.0, 0.875, 1.0, 1.0, 0.9411764705882353]","[1.0, 0.75, 1.0, 1.0, 0.8728715609439694]"
5,"[0.7745966692414834, 0.8819171036881969, 0.8819171036881969, 1.0, 1.0]",0.9076861753235754,0.08495244691926544,0.037991889233284025,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.9375, 0.9375, 1.0, 1.0]","[0.875, 0.9375, 0.9375, 1.0, 1.0]","[0.875, 0.9375, 0.9375, 1.0, 1.0]","[1.0, 1.0, 0.875, 1.0, 1.0]","[0.8, 0.8888888888888888, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.9411764705882353, 0.9333333333333333, 1.0, 1.0]","[0.7745966692414834, 0.8819171036881969, 0.8819171036881969, 1.0, 1.0]"
6,"[0.7745966692414834, 0.8819171036881969, 0.8819171036881969, 1.0, 1.0]",0.9076861753235754,0.08495244691926544,0.037991889233284025,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.9375, 0.9375, 1.0, 1.0]","[0.875, 0.9375, 0.9375, 1.0, 1.0]","[0.875, 0.9375, 0.9375, 1.0, 1.0]","[1.0, 1.0, 0.875, 1.0, 1.0]","[0.8, 0.8888888888888888, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.9411764705882353, 0.9333333333333333, 1.0, 1.0]","[0.7745966692414834, 0.8819171036881969, 0.8819171036881969, 1.0, 1.0]"
7,"[1.0, 0.7745966692414834, 0.8819171036881969, 0.875, 1.0]",0.9063027545859359,0.08541588017166439,0.038199142884363595,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.875, 0.9375, 0.9375, 1.0]","[1.0, 0.875, 0.9375, 0.9333333333333333, 1.0]","[1.0, 0.875, 0.9375, 0.9375, 1.0]","[1.0, 0.75, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.8888888888888888, 0.875, 1.0]","[1.0, 0.8571428571428571, 0.9411764705882353, 0.9333333333333333, 1.0]","[1.0, 0.7745966692414834, 0.8819171036881969, 0.875, 1.0]"
8,"[0.8819171036881969, 0.8819171036881969, 1.0, 0.7321428571428571, 0.8728715609439694]",0.8737697250926442,0.08500096268072445,0.03801358614140452,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.9375, 1.0, 0.8660714285714286, 0.9285714285714286]","[0.9375, 0.9375, 1.0, 0.8666666666666667, 0.9333333333333333]","[0.9375, 0.9375, 1.0, 0.8660714285714286, 0.9285714285714286]","[1.0, 1.0, 1.0, 0.8571428571428571, 1.0]","[0.8888888888888888, 0.8888888888888888, 1.0, 0.8571428571428571, 0.8888888888888888]","[0.9411764705882353, 0.9411764705882353, 1.0, 0.8571428571428571, 0.9411764705882353]","[0.8819171036881969, 0.8819171036881969, 1.0, 0.7321428571428571, 0.8728715609439694]"
9,"[0.7745966692414834, 0.8819171036881969, 1.0, 0.875, 1.0]",0.9063027545859359,0.08541588017166439,0.038199142884363595,"{'penalty': 'l1', 'C': 0.8589177449835603, 'solver': 'saga', 'max_iter': 175, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.9375, 1.0, 0.9375, 1.0]","[0.875, 0.9375, 1.0, 0.9333333333333333, 1.0]","[0.875, 0.9375, 1.0, 0.9375, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[0.8, 1.0, 1.0, 0.875, 1.0]","[0.8888888888888888, 0.9333333333333333, 1.0, 0.9333333333333333, 1.0]","[0.7745966692414834, 0.8819171036881969, 1.0, 0.875, 1.0]"
