,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
0,"[0.5229763603684907, 0.5493502655735357, 0.4166666666666667, 0.7745966692414834, 0.629940788348712]",0.5787061500397778,0.11935028718623773,0.05337507105650993,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7222222222222222, 0.7708333333333335, 0.7083333333333334, 0.875, 0.8125]","[0.7058823529411765, 0.7647058823529411, 0.7058823529411765, 0.875, 0.8125]","[0.7222222222222222, 0.7708333333333333, 0.7083333333333333, 0.875, 0.8125]","[1.0, 0.875, 0.75, 0.75, 0.75]","[0.6153846153846154, 0.7, 0.6666666666666666, 1.0, 0.8571428571428571]","[0.7619047619047619, 0.7777777777777778, 0.7058823529411765, 0.8571428571428571, 0.8]","[0.5229763603684907, 0.5493502655735357, 0.4166666666666667, 0.7745966692414834, 0.629940788348712]"
1,"[0.5277777777777778, 0.5229763603684907, 0.6479515952918626, 0.674199862463242, 0.8819171036881969]",0.650964539917914,0.13072413490409304,0.058461610389080994,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.763888888888889, 0.7222222222222222, 0.8194444444444443, 0.8125, 0.9375]","[0.7647058823529411, 0.7058823529411765, 0.8235294117647058, 0.8125, 0.9375]","[0.7638888888888888, 0.7222222222222222, 0.8194444444444444, 0.8125, 0.9375]","[0.75, 1.0, 0.75, 0.625, 1.0]","[0.75, 0.6153846153846154, 0.8571428571428571, 1.0, 0.8888888888888888]","[0.75, 0.7619047619047619, 0.8, 0.7692307692307693, 0.9411764705882353]","[0.5277777777777778, 0.5229763603684907, 0.6479515952918626, 0.674199862463242, 0.8819171036881969]"
2,"[0.6963106238227914, 0.42600643361512924, 0.8874119674649423, 0.3779644730092272, 0.8819171036881969]",0.6539221203200574,0.21743697465954992,0.09724077123213055,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8333333333333334, 0.6944444444444444, 0.9375, 0.625, 0.9375]","[0.8235294117647058, 0.7058823529411765, 0.9411764705882353, 0.625, 0.9375]","[0.8333333333333333, 0.6944444444444444, 0.9375, 0.625, 0.9375]","[1.0, 0.5, 0.875, 1.0, 0.875]","[0.7272727272727273, 0.8, 1.0, 0.5714285714285714, 1.0]","[0.8421052631578947, 0.6153846153846154, 0.9333333333333333, 0.7272727272727273, 0.9333333333333333]","[0.6963106238227914, 0.42600643361512924, 0.8874119674649423, 0.3779644730092272, 0.8819171036881969]"
3,"[0.6527777777777778, 0.6479515952918626, 0.5493502655735357, 0.8819171036881969, 0.40451991747794525]",0.6273033319618636,0.15595678968825866,0.06974599665911692,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8263888888888888, 0.8194444444444443, 0.7708333333333335, 0.9375, 0.6875]","[0.8235294117647058, 0.8235294117647058, 0.7647058823529411, 0.9375, 0.6875]","[0.8263888888888888, 0.8194444444444444, 0.7708333333333333, 0.9375, 0.6875]","[0.875, 0.75, 0.875, 0.875, 0.5]","[0.7777777777777778, 0.8571428571428571, 0.7, 1.0, 0.8]","[0.8235294117647058, 0.8, 0.7777777777777778, 0.9333333333333333, 0.6153846153846154]","[0.6527777777777778, 0.6479515952918626, 0.5493502655735357, 0.8819171036881969, 0.40451991747794525]"
4,"[0.6085806194501846, 0.7833494518006403, 0.6527777777777778, 0.629940788348712, 0.3779644730092272]",0.6105226220773085,0.13123927804510963,0.058691989405372166,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7777777777777778, 0.875, 0.8263888888888888, 0.8125, 0.6875]","[0.7647058823529411, 0.8823529411764706, 0.8235294117647058, 0.8125, 0.6875]","[0.7777777777777778, 0.875, 0.8263888888888888, 0.8125, 0.6875]","[1.0, 0.75, 0.875, 0.75, 0.75]","[0.6666666666666666, 1.0, 0.7777777777777778, 0.8571428571428571, 0.6666666666666666]","[0.8, 0.8571428571428571, 0.8235294117647058, 0.8, 0.7058823529411765]","[0.6085806194501846, 0.7833494518006403, 0.6527777777777778, 0.629940788348712, 0.3779644730092272]"
5,"[0.8874119674649423, 0.6963106238227914, 0.5493502655735357, 0.1259881576697424, 0.5163977794943222]",0.5550917588050668,0.2514118446721909,0.11243479500712744,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8333333333333334, 0.7708333333333335, 0.5625, 0.75]","[0.9411764705882353, 0.8235294117647058, 0.7647058823529411, 0.5625, 0.75]","[0.9375, 0.8333333333333333, 0.7708333333333333, 0.5625, 0.75]","[0.875, 1.0, 0.875, 0.5, 0.625]","[1.0, 0.7272727272727273, 0.7, 0.5714285714285714, 0.8333333333333334]","[0.9333333333333333, 0.8421052631578947, 0.7777777777777778, 0.5333333333333333, 0.7142857142857143]","[0.8874119674649423, 0.6963106238227914, 0.5493502655735357, 0.1259881576697424, 0.5163977794943222]"
6,"[0.5493502655735357, 0.6527777777777778, 0.6846531968814576, 0.5773502691896258, 0.674199862463242]",0.6276662743771277,0.05423756884794255,0.024255778175664898,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7708333333333335, 0.8263888888888888, 0.8125, 0.75, 0.8125]","[0.7647058823529411, 0.8235294117647058, 0.8235294117647058, 0.75, 0.8125]","[0.7708333333333333, 0.8263888888888888, 0.8125, 0.75, 0.8125]","[0.875, 0.875, 0.625, 0.5, 1.0]","[0.7, 0.7777777777777778, 1.0, 1.0, 0.7272727272727273]","[0.7777777777777778, 0.8235294117647058, 0.7692307692307693, 0.6666666666666666, 0.8421052631578947]","[0.5493502655735357, 0.6527777777777778, 0.6846531968814576, 0.5773502691896258, 0.674199862463242]"
7,"[0.5493502655735357, 0.6527777777777778, 0.5367394391967351, 0.75, 0.8819171036881969]",0.674156917247249,0.1294865239719101,0.05790813395426941,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7708333333333335, 0.8263888888888888, 0.7569444444444444, 0.875, 0.9375]","[0.7647058823529411, 0.8235294117647058, 0.7647058823529411, 0.875, 0.9375]","[0.7708333333333333, 0.8263888888888888, 0.7569444444444444, 0.875, 0.9375]","[0.875, 0.875, 0.625, 0.875, 0.875]","[0.7, 0.7777777777777778, 0.8333333333333334, 0.875, 1.0]","[0.7777777777777778, 0.8235294117647058, 0.7142857142857143, 0.875, 0.9333333333333333]","[0.5493502655735357, 0.6527777777777778, 0.5367394391967351, 0.75, 0.8819171036881969]"
8,"[0.7638888888888888, 0.7888106377466154, 0.4497006112188861, 0.629940788348712, 0.5773502691896258]",0.6419382390785456,0.12467101725996554,0.0557545738834665,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8819444444444444, 0.8888888888888888, 0.7152777777777778, 0.8125, 0.75]","[0.8823529411764706, 0.8823529411764706, 0.7058823529411765, 0.8125, 0.75]","[0.8819444444444444, 0.8888888888888888, 0.7152777777777778, 0.8125, 0.75]","[0.875, 1.0, 0.875, 0.75, 0.5]","[0.875, 0.8, 0.6363636363636364, 0.8571428571428571, 1.0]","[0.875, 0.8888888888888888, 0.7368421052631579, 0.8, 0.6666666666666666]","[0.7638888888888888, 0.7888106377466154, 0.4497006112188861, 0.629940788348712, 0.5773502691896258]"
9,"[0.4497006112188861, 1.0, 0.6846531968814576, 0.629940788348712, 0.5773502691896258]",0.6683289731277363,0.18320550662002358,0.08193199333093208,"{'penalty': 'l2', 'C': 0.198887379738422, 'solver': 'sag', 'max_iter': 113, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7152777777777778, 1.0, 0.8125, 0.8125, 0.75]","[0.7058823529411765, 1.0, 0.8235294117647058, 0.8125, 0.75]","[0.7152777777777778, 1.0, 0.8125, 0.8125, 0.75]","[0.875, 1.0, 0.625, 0.75, 1.0]","[0.6363636363636364, 1.0, 1.0, 0.8571428571428571, 0.6666666666666666]","[0.7368421052631579, 1.0, 0.7692307692307693, 0.8, 0.8]","[0.4497006112188861, 1.0, 0.6846531968814576, 0.629940788348712, 0.5773502691896258]"
