,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
0,"[0.3578300267477955, 0.8703882797784892, 0.3133397807202561, 0.4666666666666667, 0.07273929674533079]",0.4161928101317077,0.26106949681724545,0.11675382834700515,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.6833333333333335, 0.9166666666666667, 0.65, 0.7333333333333334, 0.5317460317460317]","[0.6875, 0.9375, 0.6875, 0.75, 0.5625]","[0.6833333333333333, 0.9166666666666667, 0.65, 0.7333333333333334, 0.5317460317460317]","[0.7, 1.0, 0.8, 0.8, 0.7777777777777778]","[0.7777777777777778, 0.9090909090909091, 0.7272727272727273, 0.8, 0.5833333333333334]","[0.7368421052631579, 0.9523809523809523, 0.7619047619047619, 0.8, 0.6666666666666666]","[0.3578300267477955, 0.8703882797784892, 0.3133397807202561, 0.4666666666666667, 0.07273929674533079]"
1,"[0.8703882797784892, 0.3133397807202561, 0.4666666666666667, 0.09759000729485333, 0.22084711628963774]",0.39376637014998056,0.2670478760548955,0.11942744082113693,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9166666666666667, 0.65, 0.7333333333333334, 0.5333333333333333, 0.6031746031746033]","[0.9375, 0.6875, 0.75, 0.625, 0.625]","[0.9166666666666667, 0.65, 0.7333333333333334, 0.5333333333333333, 0.6031746031746031]","[1.0, 0.8, 0.8, 0.9, 0.7777777777777778]","[0.9090909090909091, 0.7272727272727273, 0.8, 0.6428571428571429, 0.6363636363636364]","[0.9523809523809523, 0.7619047619047619, 0.8, 0.75, 0.7]","[0.8703882797784892, 0.3133397807202561, 0.4666666666666667, 0.09759000729485333, 0.22084711628963774]"
2,"[0.4879500364742666, 0.5163977794943222, 0.16265001215808886, 0.4666666666666667, 0.5447047794019222]",0.4356738548390533,0.13902479400912865,0.06217377799246343,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.6666666666666667, 0.7666666666666667, 0.5833333333333334, 0.7333333333333334, 0.7142857142857143]","[0.75, 0.75, 0.5625, 0.75, 0.75]","[0.6666666666666666, 0.7666666666666666, 0.5833333333333333, 0.7333333333333334, 0.7142857142857143]","[1.0, 0.7, 0.5, 0.8, 1.0]","[0.7142857142857143, 0.875, 0.7142857142857143, 0.8, 0.6923076923076923]","[0.8333333333333334, 0.7777777777777778, 0.5882352941176471, 0.8, 0.8181818181818182]","[0.4879500364742666, 0.5163977794943222, 0.16265001215808886, 0.4666666666666667, 0.5447047794019222]"
3,"[0.7333333333333333, 0.8783100656536799, 0.4472135954999579, 0.2, 0.7644707871564383]",0.6046655563286819,0.2471921352189676,0.11054768357058628,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8666666666666666, 0.95, 0.7, 0.6, 0.8571428571428572]","[0.875, 0.9375, 0.75, 0.625, 0.875]","[0.8666666666666667, 0.95, 0.7, 0.6, 0.8571428571428572]","[0.9, 0.9, 0.9, 0.7, 1.0]","[0.9, 1.0, 0.75, 0.7, 0.8181818181818182]","[0.9, 0.9473684210526315, 0.8181818181818182, 0.7, 0.9]","[0.7333333333333333, 0.8783100656536799, 0.4472135954999579, 0.2, 0.7644707871564383]"
4,"[0.6180700462007377, 0.5918640302493726, 0.09759000729485333, 0.5918640302493726, 0.23809523809523808]",0.4274966704179149,0.2168237894937101,0.09696654648940808,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8166666666666667, 0.7833333333333334, 0.5333333333333333, 0.7833333333333334, 0.619047619047619]","[0.8125, 0.8125, 0.625, 0.8125, 0.625]","[0.8166666666666667, 0.7833333333333333, 0.5333333333333333, 0.7833333333333333, 0.6190476190476191]","[0.8, 0.9, 0.9, 0.9, 0.6666666666666666]","[0.8888888888888888, 0.8181818181818182, 0.6428571428571429, 0.8181818181818182, 0.6666666666666666]","[0.8421052631578947, 0.8571428571428571, 0.75, 0.8571428571428571, 0.6666666666666666]","[0.6180700462007377, 0.5918640302493726, 0.09759000729485333, 0.5918640302493726, 0.23809523809523808]"
5,"[0.14907119849998599, 0.6180700462007377, 0.4666666666666667, 0.28941438070815306, 0.07273929674533079]",0.31919231776417484,0.2008201147614159,0.08980948557116698,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.5666666666666667, 0.8166666666666667, 0.7333333333333334, 0.6166666666666667, 0.5317460317460317]","[0.625, 0.8125, 0.75, 0.6875, 0.5625]","[0.5666666666666667, 0.8166666666666667, 0.7333333333333334, 0.6166666666666667, 0.5317460317460317]","[0.8, 0.8, 0.8, 0.9, 0.7777777777777778]","[0.6666666666666666, 0.8888888888888888, 0.8, 0.6923076923076923, 0.5833333333333334]","[0.7272727272727273, 0.8421052631578947, 0.8, 0.782608695652174, 0.6666666666666666]","[0.14907119849998599, 0.6180700462007377, 0.4666666666666667, 0.28941438070815306, 0.07273929674533079]"
6,"[0.8703882797784892, 0.6180700462007377, 0.4666666666666667, 0.4879500364742666, -0.050964719143762556]",0.4784220619952794,0.30120372210106655,0.1347023995387881,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9166666666666667, 0.8166666666666667, 0.7333333333333334, 0.6666666666666667, 0.47619047619047616]","[0.9375, 0.8125, 0.75, 0.75, 0.5]","[0.9166666666666667, 0.8166666666666667, 0.7333333333333334, 0.6666666666666666, 0.47619047619047616]","[1.0, 0.8, 0.8, 1.0, 0.6666666666666666]","[0.9090909090909091, 0.8888888888888888, 0.8, 0.7142857142857143, 0.5454545454545454]","[0.9523809523809523, 0.8421052631578947, 0.8, 0.8333333333333334, 0.6]","[0.8703882797784892, 0.6180700462007377, 0.4666666666666667, 0.4879500364742666, -0.050964719143762556]"
7,"[0.3333333333333333, 0.3578300267477955, 0.3578300267477955, -0.041344911529736156, 0.6546536707079771]",0.33246042920143304,0.22128122945816803,0.09895997424263853,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.6666666666666666, 0.6833333333333335, 0.6833333333333335, 0.48333333333333334, 0.7857142857142857]","[0.625, 0.6875, 0.6875, 0.5625, 0.8125]","[0.6666666666666667, 0.6833333333333333, 0.6833333333333333, 0.48333333333333334, 0.7857142857142857]","[0.5, 0.7, 0.7, 0.8, 1.0]","[0.8333333333333334, 0.7777777777777778, 0.7777777777777778, 0.6153846153846154, 0.75]","[0.625, 0.7368421052631579, 0.7368421052631579, 0.6956521739130435, 0.8571428571428571]","[0.3333333333333333, 0.3578300267477955, 0.3578300267477955, -0.041344911529736156, 0.6546536707079771]"
8,"[0.4472135954999579, 0.3133397807202561, 0.5918640302493726, 0.4666666666666667, 0.07273929674533079]",0.3783646739763168,0.17649617502235504,0.07893148902373727,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7, 0.65, 0.7833333333333334, 0.7333333333333334, 0.5317460317460317]","[0.75, 0.6875, 0.8125, 0.75, 0.5625]","[0.7, 0.65, 0.7833333333333333, 0.7333333333333334, 0.5317460317460317]","[0.9, 0.8, 0.9, 0.8, 0.7777777777777778]","[0.75, 0.7272727272727273, 0.8181818181818182, 0.8, 0.5833333333333334]","[0.8181818181818182, 0.7619047619047619, 0.8571428571428571, 0.8, 0.6666666666666666]","[0.4472135954999579, 0.3133397807202561, 0.5918640302493726, 0.4666666666666667, 0.07273929674533079]"
9,"[0.6180700462007377, 0.7745966692414834, 0.3333333333333333, 0.28941438070815306, 0.49206349206349204]",0.50149558430944,0.1797329973570588,0.08037903997803471,"{'penalty': 'l2', 'C': 0.6018630461735167, 'solver': 'sag', 'max_iter': 103, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8166666666666667, 0.9, 0.5833333333333333, 0.6166666666666667, 0.746031746031746]","[0.8125, 0.875, 0.6875, 0.6875, 0.75]","[0.8166666666666667, 0.9, 0.5833333333333334, 0.6166666666666667, 0.746031746031746]","[0.8, 0.8, 1.0, 0.9, 0.7777777777777778]","[0.8888888888888888, 1.0, 0.6666666666666666, 0.6923076923076923, 0.7777777777777778]","[0.8421052631578947, 0.8888888888888888, 0.8, 0.782608695652174, 0.7777777777777778]","[0.6180700462007377, 0.7745966692414834, 0.3333333333333333, 0.28941438070815306, 0.49206349206349204]"
