Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.804,0.178,0.025,0.452,1.0,0.875,0.75,0.853,0.775,0.882,0.879,0.132,0.019,0.665,1.0,0.875,0.839,0.914,0.875,0.938,0.917,0.117,0.017,0.625,1.0,1.0,0.882,0.947,0.875,1.0,0.898,0.092,0.013,0.708,1.0,0.933,0.869,0.922,0.875,0.938,0.898,0.093,0.013,0.712,1.0,0.938,0.87,0.922,0.875,0.938,0.923,0.106,0.015,0.682,1.0,1.0,0.894,0.951,0.889,1.0,0.892,0.106,0.015,0.726,1.0,0.933,0.86,0.921,0.875,0.933,0.968,0.047,0.007,0.858,1.0,0.984,0.955,0.98,0.964,1.0,0.972,0.043,0.006,0.873,1.0,0.986,0.958,0.982,0.973,1.0
ElasticNet,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.907,0.104,0.015,0.74,1.0,0.882,0.876,0.937,0.882,1.0,0.939,0.092,0.013,0.75,1.0,1.0,0.911,0.962,0.938,1.0,0.964,0.057,0.008,0.875,1.0,1.0,0.947,0.98,1.0,1.0,0.951,0.055,0.008,0.867,1.0,0.938,0.936,0.965,0.938,1.0,0.952,0.054,0.008,0.87,1.0,0.938,0.937,0.966,0.938,1.0,0.965,0.056,0.008,0.875,1.0,1.0,0.95,0.98,1.0,1.0,0.949,0.058,0.008,0.857,1.0,0.941,0.932,0.964,0.933,1.0,0.99,0.04,0.006,0.975,1.0,1.0,0.978,0.997,1.0,1.0,0.993,0.024,0.003,0.976,1.0,1.0,0.985,0.998,1.0,1.0
GaussianNB,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.194,0.236,0.034,-0.165,0.638,0.135,0.131,0.263,0.126,0.258,0.63,0.163,0.023,0.326,0.875,0.625,0.584,0.674,0.625,0.714,0.559,0.168,0.024,0.306,0.819,0.536,0.513,0.607,0.5,0.625,0.594,0.117,0.017,0.417,0.807,0.562,0.564,0.628,0.548,0.612,0.595,0.116,0.017,0.418,0.8,0.562,0.565,0.626,0.549,0.625,0.592,0.123,0.018,0.399,0.809,0.571,0.557,0.627,0.551,0.625,0.603,0.128,0.018,0.363,0.823,0.612,0.568,0.639,0.58,0.632,0.615,0.129,0.018,0.436,0.851,0.617,0.581,0.651,0.578,0.664,0.601,0.105,0.015,0.448,0.784,0.594,0.575,0.632,0.571,0.629
GaussianProcessClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.062,0.234,0.033,-0.378,0.378,0.0,-0.0,0.128,0.0,0.126,0.54,0.164,0.023,0.306,0.857,0.5,0.495,0.586,0.5,0.598,0.517,0.167,0.024,0.25,0.809,0.5,0.471,0.561,0.5,0.5,0.528,0.113,0.016,0.312,0.678,0.5,0.499,0.56,0.5,0.562,0.529,0.112,0.016,0.312,0.683,0.5,0.496,0.56,0.5,0.562,0.534,0.132,0.019,0.315,0.761,0.5,0.497,0.569,0.5,0.563,0.528,0.123,0.018,0.342,0.718,0.533,0.492,0.562,0.5,0.588,0.472,0.114,0.016,0.256,0.617,0.487,0.44,0.504,0.438,0.517,0.525,0.079,0.011,0.395,0.676,0.524,0.503,0.547,0.5,0.533
GradientBoostingClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.794,0.153,0.022,0.481,1.0,0.873,0.747,0.832,0.769,0.882,0.884,0.104,0.015,0.75,1.0,0.875,0.855,0.913,0.875,0.875,0.899,0.124,0.018,0.625,1.0,0.938,0.864,0.932,0.875,1.0,0.892,0.078,0.011,0.733,1.0,0.933,0.868,0.913,0.875,0.938,0.892,0.078,0.011,0.731,1.0,0.929,0.871,0.912,0.875,0.938,0.911,0.105,0.015,0.706,1.0,0.944,0.882,0.94,0.882,1.0,0.891,0.078,0.011,0.726,1.0,0.928,0.869,0.911,0.866,0.933,0.956,0.056,0.008,0.858,1.0,0.969,0.94,0.971,0.959,0.992,0.962,0.054,0.008,0.885,1.0,0.975,0.946,0.975,0.959,0.986
KNeighborsClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.127,0.217,0.031,-0.301,0.405,0.175,0.066,0.184,0.11,0.225,0.496,0.168,0.024,0.25,0.75,0.5,0.451,0.539,0.375,0.598,0.617,0.207,0.03,0.25,0.944,0.625,0.564,0.672,0.571,0.733,0.559,0.103,0.015,0.352,0.688,0.581,0.527,0.586,0.548,0.6,0.557,0.101,0.014,0.36,0.688,0.571,0.527,0.583,0.554,0.616,0.595,0.158,0.023,0.352,0.91,0.6,0.552,0.637,0.563,0.625,0.519,0.12,0.017,0.328,0.685,0.533,0.485,0.556,0.462,0.571,0.59,0.118,0.017,0.403,0.766,0.592,0.558,0.62,0.562,0.625,0.627,0.101,0.014,0.484,0.783,0.62,0.6,0.654,0.586,0.658
LGBMClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.832,0.157,0.022,0.516,1.0,0.875,0.784,0.874,0.873,0.882,0.91,0.116,0.017,0.681,1.0,0.938,0.876,0.94,0.875,1.0,0.914,0.108,0.015,0.681,1.0,1.0,0.884,0.941,0.875,1.0,0.912,0.081,0.012,0.75,1.0,0.933,0.887,0.933,0.933,0.938,0.912,0.081,0.012,0.75,1.0,0.938,0.888,0.934,0.929,0.938,0.921,0.097,0.014,0.7,1.0,1.0,0.894,0.946,0.889,1.0,0.909,0.086,0.012,0.75,1.0,0.933,0.882,0.931,0.928,0.941,0.963,0.051,0.007,0.863,1.0,0.982,0.949,0.976,0.969,1.0,0.968,0.046,0.007,0.863,1.0,0.986,0.954,0.979,0.975,1.0
LinearDiscriminantAnalysis,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.352,0.211,0.03,0.0,0.63,0.378,0.292,0.408,0.333,0.464,0.669,0.135,0.019,0.5,0.875,0.625,0.629,0.709,0.625,0.714,0.673,0.176,0.025,0.375,0.875,0.75,0.626,0.721,0.625,0.75,0.671,0.103,0.015,0.5,0.812,0.688,0.64,0.699,0.667,0.733,0.671,0.104,0.015,0.5,0.812,0.688,0.642,0.7,0.652,0.705,0.691,0.122,0.017,0.5,0.867,0.707,0.658,0.724,0.667,0.733,0.668,0.098,0.014,0.539,0.824,0.667,0.641,0.696,0.615,0.714,0.72,0.114,0.016,0.514,0.859,0.733,0.687,0.751,0.674,0.783,0.764,0.113,0.016,0.538,0.911,0.775,0.729,0.793,0.727,0.829
LogisticRegression,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.851,0.216,0.031,0.455,1.0,0.882,0.79,0.908,0.875,1.0,0.927,0.137,0.02,0.625,1.0,1.0,0.892,0.964,1.0,1.0,0.92,0.124,0.018,0.73,1.0,1.0,0.88,0.952,0.875,1.0,0.923,0.109,0.016,0.716,1.0,0.938,0.889,0.951,0.933,1.0,0.923,0.11,0.016,0.716,1.0,0.938,0.888,0.95,0.938,1.0,0.924,0.105,0.015,0.76,1.0,1.0,0.891,0.951,0.889,1.0,0.921,0.113,0.016,0.66,1.0,0.941,0.888,0.951,0.933,1.0,0.971,0.085,0.012,0.834,1.0,1.0,0.944,0.992,1.0,1.0,0.975,0.072,0.01,0.846,1.0,1.0,0.953,0.992,1.0,1.0
RandomForestClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.693,0.163,0.023,0.378,0.882,0.732,0.649,0.737,0.646,0.764,0.822,0.138,0.02,0.596,1.0,0.875,0.784,0.857,0.75,0.875,0.861,0.101,0.014,0.714,1.0,0.875,0.832,0.888,0.857,0.875,0.841,0.082,0.012,0.688,0.938,0.867,0.817,0.863,0.812,0.875,0.842,0.082,0.012,0.688,0.938,0.866,0.819,0.863,0.812,0.875,0.863,0.096,0.014,0.706,1.0,0.866,0.838,0.89,0.857,0.875,0.834,0.09,0.013,0.667,0.941,0.857,0.807,0.86,0.824,0.875,0.927,0.07,0.01,0.758,1.0,0.942,0.906,0.945,0.922,0.953,0.933,0.066,0.009,0.817,1.0,0.95,0.912,0.951,0.929,0.963
