Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.8,0.173,0.025,0.378,1.0,0.875,0.747,0.844,0.775,0.882,0.866,0.115,0.016,0.665,1.0,0.875,0.834,0.896,0.875,0.875,0.926,0.104,0.015,0.75,1.0,1.0,0.898,0.956,0.875,1.0,0.896,0.087,0.012,0.688,1.0,0.933,0.871,0.92,0.875,0.938,0.896,0.088,0.013,0.688,1.0,0.938,0.874,0.918,0.875,0.938,0.927,0.102,0.015,0.73,1.0,1.0,0.897,0.952,0.889,1.0,0.892,0.095,0.014,0.684,1.0,0.933,0.863,0.917,0.889,0.933,0.96,0.058,0.008,0.846,1.0,0.984,0.942,0.974,0.964,1.0,0.966,0.052,0.007,0.83,1.0,0.986,0.95,0.978,0.972,1.0
ElasticNet,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.926,0.108,0.015,0.74,1.0,1.0,0.895,0.954,0.882,1.0,0.957,0.078,0.011,0.857,1.0,1.0,0.934,0.975,1.0,1.0,0.966,0.064,0.009,0.875,1.0,1.0,0.949,0.982,1.0,1.0,0.961,0.056,0.008,0.87,1.0,1.0,0.944,0.975,0.938,1.0,0.962,0.055,0.008,0.87,1.0,1.0,0.945,0.976,0.938,1.0,0.968,0.059,0.008,0.865,1.0,1.0,0.95,0.983,1.0,1.0,0.96,0.057,0.008,0.857,1.0,1.0,0.943,0.975,0.933,1.0,0.989,0.044,0.006,0.966,1.0,1.0,0.975,0.998,1.0,1.0,0.992,0.027,0.004,0.966,1.0,1.0,0.984,0.998,1.0,1.0
GaussianNB,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.196,0.221,0.032,-0.165,0.526,0.135,0.136,0.258,0.126,0.258,0.636,0.155,0.022,0.399,0.875,0.625,0.592,0.679,0.625,0.714,0.554,0.172,0.025,0.25,0.809,0.5,0.505,0.601,0.5,0.625,0.594,0.109,0.016,0.417,0.75,0.562,0.565,0.622,0.562,0.625,0.595,0.108,0.015,0.418,0.75,0.562,0.566,0.628,0.562,0.625,0.595,0.116,0.017,0.406,0.777,0.571,0.564,0.627,0.556,0.625,0.606,0.115,0.016,0.386,0.79,0.608,0.573,0.638,0.58,0.646,0.614,0.127,0.018,0.424,0.837,0.617,0.58,0.648,0.578,0.664,0.6,0.104,0.015,0.449,0.782,0.593,0.572,0.629,0.571,0.629
GaussianProcessClassifier,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.064,0.239,0.034,-0.378,0.464,0.0,-0.002,0.129,0.0,0.126,0.536,0.161,0.023,0.266,0.819,0.5,0.494,0.581,0.5,0.625,0.524,0.176,0.025,0.25,0.809,0.5,0.481,0.574,0.5,0.5,0.53,0.116,0.017,0.312,0.733,0.5,0.496,0.562,0.5,0.562,0.53,0.115,0.016,0.312,0.732,0.5,0.498,0.562,0.5,0.562,0.537,0.137,0.02,0.315,0.761,0.5,0.499,0.576,0.5,0.563,0.528,0.126,0.018,0.333,0.721,0.533,0.493,0.56,0.5,0.594,0.463,0.11,0.016,0.229,0.613,0.482,0.43,0.492,0.438,0.508,0.522,0.074,0.011,0.399,0.642,0.52,0.501,0.542,0.5,0.533
GradientBoostingClassifier,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.765,0.199,0.028,0.47,1.0,0.824,0.707,0.818,0.753,0.882,0.854,0.142,0.02,0.596,1.0,0.875,0.811,0.89,0.875,0.875,0.901,0.12,0.017,0.714,1.0,1.0,0.867,0.934,0.875,1.0,0.877,0.102,0.015,0.697,1.0,0.904,0.849,0.904,0.871,0.938,0.878,0.101,0.014,0.704,1.0,0.902,0.849,0.905,0.871,0.938,0.906,0.115,0.016,0.73,1.0,1.0,0.875,0.938,0.882,1.0,0.872,0.113,0.016,0.667,1.0,0.906,0.84,0.9,0.857,0.933,0.953,0.069,0.01,0.862,1.0,0.969,0.933,0.971,0.95,1.0,0.961,0.061,0.009,0.872,1.0,0.975,0.943,0.975,0.959,1.0
KNeighborsClassifier,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.097,0.232,0.033,-0.362,0.378,0.13,0.032,0.156,0.0,0.25,0.521,0.188,0.027,0.181,0.819,0.536,0.467,0.572,0.5,0.625,0.569,0.22,0.031,0.25,0.875,0.625,0.503,0.633,0.5,0.625,0.546,0.109,0.016,0.322,0.688,0.562,0.515,0.574,0.517,0.625,0.545,0.108,0.015,0.329,0.688,0.562,0.513,0.575,0.5,0.625,0.563,0.176,0.025,0.286,0.8,0.571,0.514,0.612,0.5,0.613,0.521,0.146,0.021,0.242,0.683,0.551,0.479,0.56,0.5,0.58,0.554,0.132,0.019,0.312,0.766,0.571,0.52,0.588,0.508,0.594,0.595,0.104,0.015,0.446,0.787,0.581,0.567,0.624,0.56,0.637
LGBMClassifier,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.822,0.153,0.022,0.607,1.0,0.875,0.78,0.863,0.764,0.882,0.895,0.116,0.017,0.714,1.0,0.875,0.859,0.926,0.875,1.0,0.918,0.107,0.015,0.75,1.0,1.0,0.89,0.949,0.875,1.0,0.906,0.079,0.011,0.8,1.0,0.933,0.885,0.927,0.867,0.938,0.907,0.078,0.011,0.804,1.0,0.938,0.887,0.929,0.875,0.938,0.925,0.098,0.014,0.762,1.0,1.0,0.897,0.952,0.889,1.0,0.903,0.083,0.012,0.788,1.0,0.933,0.879,0.927,0.875,0.933,0.972,0.035,0.005,0.908,1.0,0.982,0.962,0.981,0.969,1.0,0.976,0.032,0.005,0.913,1.0,0.986,0.967,0.984,0.975,1.0
LinearDiscriminantAnalysis,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.353,0.224,0.032,-0.03,0.63,0.378,0.29,0.41,0.339,0.468,0.671,0.133,0.019,0.5,0.875,0.625,0.634,0.708,0.625,0.714,0.672,0.183,0.026,0.375,0.875,0.75,0.619,0.723,0.625,0.75,0.673,0.11,0.016,0.482,0.812,0.688,0.642,0.703,0.667,0.733,0.672,0.111,0.016,0.485,0.812,0.688,0.639,0.703,0.652,0.723,0.692,0.126,0.018,0.5,0.867,0.714,0.657,0.725,0.667,0.75,0.671,0.101,0.014,0.539,0.824,0.667,0.644,0.698,0.625,0.714,0.723,0.117,0.017,0.508,0.885,0.733,0.692,0.756,0.703,0.786,0.769,0.112,0.016,0.538,0.912,0.781,0.738,0.799,0.734,0.826
LogisticRegression,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.827,0.184,0.026,0.495,1.0,0.882,0.772,0.875,0.875,0.882,0.919,0.113,0.016,0.665,1.0,1.0,0.886,0.949,0.875,1.0,0.902,0.117,0.017,0.625,1.0,0.875,0.868,0.934,0.875,1.0,0.91,0.093,0.013,0.741,1.0,0.938,0.883,0.936,0.933,0.938,0.911,0.094,0.013,0.745,1.0,0.938,0.885,0.937,0.938,0.938,0.91,0.103,0.015,0.7,1.0,0.889,0.881,0.938,0.882,1.0,0.91,0.094,0.013,0.75,1.0,0.933,0.883,0.935,0.933,0.941,0.956,0.081,0.012,0.8,1.0,1.0,0.934,0.977,0.982,1.0,0.962,0.069,0.01,0.81,1.0,1.0,0.941,0.979,0.984,1.0
RandomForestClassifier,full,chi2,1430,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.692,0.196,0.028,0.357,1.0,0.75,0.637,0.742,0.652,0.764,0.825,0.134,0.019,0.625,1.0,0.866,0.786,0.861,0.75,0.875,0.86,0.119,0.017,0.665,1.0,0.875,0.822,0.893,0.857,0.875,0.841,0.098,0.014,0.667,1.0,0.867,0.813,0.869,0.812,0.875,0.842,0.098,0.014,0.674,1.0,0.875,0.815,0.869,0.812,0.875,0.862,0.113,0.016,0.688,1.0,0.875,0.831,0.891,0.833,0.875,0.836,0.103,0.015,0.638,1.0,0.857,0.805,0.866,0.833,0.875,0.922,0.08,0.011,0.77,1.0,0.953,0.899,0.943,0.916,0.969,0.932,0.07,0.01,0.806,1.0,0.953,0.911,0.95,0.932,0.975
