Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.784,0.213,0.03,0.278,1.0,0.875,0.728,0.837,0.769,0.882,0.877,0.128,0.018,0.625,1.0,0.875,0.84,0.91,0.875,1.0,0.898,0.143,0.02,0.556,1.0,1.0,0.854,0.934,0.875,1.0,0.887,0.108,0.015,0.63,1.0,0.933,0.855,0.914,0.875,0.938,0.887,0.107,0.015,0.634,1.0,0.938,0.858,0.914,0.875,0.938,0.907,0.128,0.018,0.584,1.0,1.0,0.874,0.94,0.889,1.0,0.885,0.107,0.015,0.641,1.0,0.933,0.855,0.914,0.875,0.933,0.947,0.072,0.01,0.783,1.0,0.975,0.927,0.965,0.942,1.0,0.955,0.063,0.009,0.824,1.0,0.979,0.937,0.971,0.957,1.0
ElasticNet,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.92,0.112,0.016,0.775,1.0,0.941,0.886,0.946,0.882,1.0,0.955,0.086,0.012,0.75,1.0,1.0,0.929,0.975,1.0,1.0,0.961,0.072,0.01,0.865,1.0,1.0,0.939,0.979,1.0,1.0,0.957,0.058,0.008,0.875,1.0,0.969,0.942,0.972,0.938,1.0,0.958,0.058,0.008,0.875,1.0,0.969,0.941,0.972,0.938,1.0,0.964,0.065,0.009,0.875,1.0,1.0,0.945,0.981,1.0,1.0,0.956,0.059,0.008,0.857,1.0,0.971,0.939,0.97,0.933,1.0,0.989,0.027,0.004,0.933,1.0,1.0,0.981,0.996,1.0,1.0,0.99,0.024,0.003,0.938,1.0,1.0,0.983,0.995,1.0,1.0
GaussianNB,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.145,0.256,0.037,-0.258,0.587,0.126,0.071,0.217,0.071,0.196,0.6,0.175,0.025,0.306,0.867,0.625,0.551,0.647,0.571,0.625,0.542,0.176,0.025,0.25,0.819,0.5,0.496,0.592,0.5,0.625,0.572,0.124,0.018,0.375,0.784,0.562,0.54,0.605,0.533,0.6,0.571,0.124,0.018,0.375,0.784,0.562,0.537,0.607,0.536,0.598,0.569,0.139,0.02,0.352,0.808,0.556,0.53,0.607,0.522,0.6,0.576,0.144,0.021,0.337,0.8,0.58,0.534,0.615,0.533,0.625,0.596,0.131,0.019,0.437,0.786,0.582,0.557,0.628,0.533,0.641,0.589,0.107,0.015,0.438,0.753,0.584,0.561,0.619,0.542,0.616
GaussianProcessClassifier,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.077,0.232,0.033,-0.355,0.393,0.099,0.011,0.14,0.0,0.147,0.491,0.187,0.027,0.25,0.809,0.5,0.44,0.545,0.375,0.5,0.58,0.167,0.024,0.286,0.875,0.625,0.534,0.631,0.5,0.625,0.537,0.111,0.016,0.322,0.688,0.548,0.505,0.566,0.5,0.562,0.536,0.111,0.016,0.325,0.688,0.549,0.505,0.563,0.5,0.562,0.544,0.142,0.02,0.286,0.714,0.556,0.503,0.585,0.5,0.586,0.503,0.142,0.02,0.267,0.706,0.517,0.464,0.54,0.445,0.572,0.465,0.112,0.016,0.27,0.621,0.475,0.434,0.495,0.438,0.508,0.517,0.077,0.011,0.401,0.655,0.504,0.497,0.538,0.489,0.53
GradientBoostingClassifier,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.781,0.206,0.029,0.358,1.0,0.873,0.723,0.835,0.75,0.882,0.87,0.14,0.02,0.625,1.0,0.875,0.83,0.909,0.875,1.0,0.903,0.121,0.017,0.714,1.0,1.0,0.867,0.936,0.875,1.0,0.887,0.104,0.015,0.676,1.0,0.933,0.859,0.914,0.867,0.938,0.886,0.105,0.015,0.673,1.0,0.929,0.856,0.915,0.875,0.938,0.905,0.115,0.016,0.706,1.0,1.0,0.872,0.935,0.875,1.0,0.882,0.113,0.016,0.638,1.0,0.928,0.85,0.911,0.866,0.933,0.952,0.058,0.008,0.829,1.0,0.969,0.937,0.967,0.959,0.992,0.959,0.05,0.007,0.864,1.0,0.975,0.945,0.972,0.967,0.993
KNeighborsClassifier,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.062,0.237,0.034,-0.378,0.378,0.04,-0.006,0.123,0.0,0.162,0.427,0.213,0.03,0.125,0.75,0.402,0.371,0.492,0.375,0.5,0.621,0.236,0.034,0.266,1.0,0.625,0.555,0.681,0.5,0.75,0.527,0.109,0.016,0.312,0.678,0.533,0.496,0.557,0.5,0.562,0.524,0.109,0.016,0.312,0.683,0.518,0.494,0.554,0.5,0.562,0.567,0.183,0.026,0.307,1.0,0.5,0.517,0.621,0.5,0.6,0.45,0.163,0.023,0.21,0.685,0.462,0.407,0.498,0.4,0.545,0.541,0.125,0.018,0.312,0.746,0.554,0.505,0.573,0.5,0.589,0.572,0.096,0.014,0.446,0.751,0.565,0.545,0.598,0.519,0.578
LGBMClassifier,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.786,0.192,0.027,0.369,1.0,0.873,0.732,0.837,0.764,0.878,0.897,0.113,0.016,0.73,1.0,0.875,0.866,0.928,0.875,1.0,0.88,0.143,0.02,0.625,1.0,0.875,0.839,0.919,0.875,1.0,0.888,0.099,0.014,0.681,1.0,0.933,0.86,0.917,0.875,0.935,0.889,0.098,0.014,0.681,1.0,0.929,0.861,0.911,0.875,0.938,0.894,0.12,0.017,0.657,1.0,0.889,0.858,0.925,0.875,1.0,0.889,0.097,0.014,0.694,1.0,0.933,0.862,0.914,0.875,0.933,0.955,0.058,0.008,0.829,1.0,0.975,0.938,0.971,0.955,1.0,0.962,0.049,0.007,0.858,1.0,0.979,0.948,0.974,0.959,1.0
LinearDiscriminantAnalysis,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.295,0.261,0.037,-0.165,0.638,0.308,0.224,0.362,0.218,0.378,0.622,0.149,0.021,0.375,0.867,0.625,0.582,0.662,0.598,0.714,0.663,0.199,0.028,0.286,1.0,0.714,0.603,0.718,0.625,0.75,0.644,0.126,0.018,0.417,0.812,0.646,0.608,0.678,0.6,0.688,0.643,0.126,0.018,0.423,0.812,0.643,0.609,0.676,0.607,0.688,0.67,0.164,0.023,0.436,1.0,0.667,0.624,0.716,0.6,0.714,0.634,0.131,0.019,0.462,0.8,0.667,0.598,0.671,0.588,0.667,0.684,0.135,0.019,0.466,0.859,0.696,0.645,0.723,0.625,0.767,0.741,0.125,0.018,0.497,0.904,0.761,0.707,0.774,0.716,0.812
LogisticRegression,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.834,0.187,0.027,0.42,1.0,0.878,0.783,0.882,0.873,0.882,0.903,0.13,0.019,0.665,1.0,1.0,0.868,0.936,0.875,1.0,0.925,0.098,0.014,0.75,1.0,1.0,0.896,0.95,0.875,1.0,0.915,0.095,0.014,0.708,1.0,0.935,0.885,0.938,0.933,0.938,0.914,0.095,0.014,0.704,1.0,0.938,0.888,0.94,0.929,0.938,0.926,0.097,0.014,0.706,1.0,1.0,0.898,0.949,0.882,1.0,0.91,0.104,0.015,0.734,1.0,0.933,0.879,0.939,0.923,0.941,0.959,0.084,0.012,0.798,1.0,1.0,0.935,0.979,0.984,1.0,0.963,0.072,0.01,0.816,1.0,1.0,0.941,0.981,0.986,1.0
RandomForestClassifier,full,chi2,1430,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.649,0.206,0.029,0.358,0.947,0.637,0.592,0.706,0.516,0.756,0.785,0.133,0.019,0.625,1.0,0.75,0.752,0.819,0.75,0.857,0.85,0.155,0.022,0.571,1.0,0.875,0.811,0.892,0.857,1.0,0.818,0.103,0.015,0.667,0.972,0.812,0.789,0.848,0.775,0.867,0.818,0.103,0.015,0.664,0.972,0.812,0.789,0.845,0.75,0.871,0.858,0.13,0.019,0.65,1.0,0.857,0.822,0.894,0.833,1.0,0.812,0.105,0.015,0.667,0.974,0.8,0.78,0.839,0.769,0.857,0.916,0.073,0.01,0.8,1.0,0.929,0.896,0.935,0.891,0.961,0.927,0.063,0.009,0.817,1.0,0.937,0.91,0.943,0.911,0.964
