Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.869,0.139,0.02,0.613,1.0,0.882,0.826,0.905,0.873,0.941,0.915,0.088,0.013,0.75,1.0,0.875,0.891,0.939,0.875,1.0,0.949,0.098,0.014,0.857,1.0,1.0,0.92,0.972,1.0,1.0,0.932,0.072,0.01,0.802,1.0,0.938,0.912,0.951,0.933,0.969,0.932,0.071,0.01,0.798,1.0,0.938,0.911,0.951,0.933,0.969,0.953,0.083,0.012,0.852,1.0,1.0,0.927,0.975,1.0,1.0,0.931,0.071,0.01,0.803,1.0,0.933,0.909,0.949,0.928,0.971,0.976,0.034,0.005,0.901,1.0,1.0,0.967,0.985,0.982,1.0,0.98,0.029,0.004,0.908,1.0,1.0,0.973,0.988,0.979,1.0
ElasticNet,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.896,0.113,0.016,0.674,1.0,0.882,0.864,0.927,0.882,1.0,0.962,0.064,0.009,0.865,1.0,1.0,0.944,0.98,1.0,1.0,0.929,0.098,0.014,0.75,1.0,1.0,0.901,0.954,0.875,1.0,0.945,0.06,0.009,0.812,1.0,0.938,0.929,0.96,0.938,1.0,0.946,0.059,0.008,0.812,1.0,0.938,0.928,0.962,0.938,1.0,0.937,0.082,0.012,0.762,1.0,1.0,0.914,0.958,0.889,1.0,0.947,0.058,0.008,0.842,1.0,0.941,0.931,0.961,0.933,1.0,0.983,0.034,0.005,0.901,1.0,1.0,0.973,0.991,1.0,1.0,0.98,0.05,0.007,0.912,1.0,1.0,0.966,0.991,1.0,1.0
GaussianNB,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.178,0.242,0.035,-0.223,0.59,0.135,0.111,0.244,0.094,0.25,0.651,0.157,0.022,0.375,0.875,0.625,0.61,0.692,0.625,0.732,0.522,0.171,0.024,0.25,0.75,0.5,0.475,0.569,0.464,0.598,0.587,0.117,0.017,0.386,0.777,0.562,0.556,0.62,0.548,0.613,0.586,0.118,0.017,0.391,0.775,0.562,0.557,0.62,0.536,0.625,0.581,0.112,0.016,0.4,0.765,0.556,0.549,0.614,0.545,0.625,0.607,0.119,0.017,0.399,0.813,0.625,0.572,0.641,0.58,0.632,0.625,0.13,0.019,0.421,0.837,0.608,0.588,0.66,0.585,0.656,0.622,0.125,0.018,0.439,0.837,0.606,0.587,0.658,0.563,0.658
GaussianProcessClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.207,0.273,0.039,-0.375,0.562,0.234,0.124,0.28,0.13,0.327,0.535,0.182,0.026,0.125,0.75,0.571,0.486,0.584,0.5,0.625,0.664,0.179,0.026,0.375,0.875,0.625,0.614,0.716,0.625,0.75,0.601,0.13,0.019,0.322,0.777,0.612,0.563,0.638,0.562,0.667,0.599,0.13,0.019,0.321,0.77,0.616,0.564,0.636,0.571,0.661,0.622,0.182,0.026,0.222,0.833,0.646,0.574,0.674,0.571,0.683,0.564,0.162,0.023,0.16,0.769,0.602,0.518,0.607,0.533,0.632,0.587,0.144,0.021,0.283,0.765,0.625,0.547,0.627,0.595,0.65,0.656,0.118,0.017,0.474,0.811,0.667,0.624,0.69,0.628,0.701
GradientBoostingClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.814,0.177,0.025,0.433,1.0,0.873,0.76,0.862,0.775,0.882,0.894,0.115,0.016,0.665,1.0,0.875,0.863,0.925,0.875,1.0,0.912,0.116,0.017,0.714,1.0,1.0,0.877,0.943,0.875,1.0,0.903,0.091,0.013,0.716,1.0,0.933,0.877,0.927,0.875,0.938,0.903,0.09,0.013,0.716,1.0,0.929,0.879,0.926,0.875,0.938,0.918,0.104,0.015,0.704,1.0,1.0,0.891,0.946,0.882,1.0,0.901,0.093,0.013,0.726,1.0,0.933,0.875,0.927,0.875,0.937,0.97,0.043,0.006,0.883,1.0,0.992,0.957,0.982,0.966,1.0,0.975,0.04,0.006,0.923,1.0,0.993,0.962,0.985,0.97,1.0
KNeighborsClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.129,0.246,0.035,-0.258,0.472,0.135,0.057,0.197,0.04,0.218,0.472,0.193,0.028,0.125,0.75,0.5,0.418,0.525,0.429,0.5,0.654,0.172,0.025,0.375,0.875,0.714,0.606,0.7,0.625,0.75,0.563,0.117,0.017,0.375,0.733,0.562,0.532,0.597,0.517,0.6,0.563,0.116,0.017,0.375,0.723,0.562,0.529,0.597,0.531,0.603,0.574,0.181,0.026,0.288,0.818,0.6,0.524,0.627,0.5,0.667,0.504,0.171,0.024,0.173,0.727,0.533,0.454,0.549,0.5,0.571,0.593,0.124,0.018,0.366,0.75,0.613,0.56,0.627,0.562,0.65,0.625,0.101,0.014,0.458,0.809,0.616,0.597,0.653,0.597,0.64
LGBMClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.862,0.137,0.02,0.628,1.0,0.882,0.821,0.897,0.873,0.882,0.918,0.111,0.016,0.714,1.0,1.0,0.886,0.949,0.875,1.0,0.936,0.085,0.012,0.75,1.0,1.0,0.913,0.959,0.875,1.0,0.927,0.071,0.01,0.8,1.0,0.938,0.908,0.946,0.933,0.938,0.927,0.07,0.01,0.803,1.0,0.938,0.907,0.946,0.929,0.938,0.94,0.081,0.012,0.778,1.0,1.0,0.917,0.961,0.889,1.0,0.924,0.076,0.011,0.769,1.0,0.937,0.904,0.944,0.923,0.941,0.976,0.033,0.005,0.906,1.0,1.0,0.967,0.985,0.969,1.0,0.981,0.029,0.004,0.92,1.0,1.0,0.972,0.988,0.975,1.0
LinearDiscriminantAnalysis,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.714,0.182,0.026,0.378,0.947,0.753,0.662,0.764,0.732,0.775,0.874,0.118,0.017,0.665,1.0,0.875,0.844,0.906,0.875,0.938,0.826,0.153,0.022,0.5,1.0,0.875,0.783,0.867,0.804,0.875,0.851,0.093,0.013,0.688,0.972,0.875,0.824,0.877,0.867,0.875,0.85,0.094,0.013,0.688,0.972,0.875,0.823,0.874,0.857,0.875,0.848,0.115,0.016,0.65,1.0,0.875,0.815,0.88,0.817,0.882,0.854,0.089,0.013,0.682,0.974,0.875,0.828,0.879,0.857,0.889,0.924,0.081,0.012,0.781,1.0,0.953,0.901,0.945,0.925,0.969,0.927,0.093,0.013,0.694,1.0,0.962,0.897,0.951,0.94,0.975
LogisticRegression,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.86,0.139,0.02,0.588,1.0,0.882,0.821,0.897,0.874,0.882,0.956,0.084,0.012,0.798,1.0,1.0,0.932,0.977,1.0,1.0,0.896,0.114,0.016,0.681,1.0,0.875,0.863,0.926,0.875,1.0,0.926,0.073,0.01,0.773,1.0,0.938,0.903,0.945,0.933,0.938,0.926,0.073,0.01,0.77,1.0,0.938,0.905,0.945,0.933,0.938,0.909,0.093,0.013,0.72,1.0,0.889,0.881,0.934,0.889,1.0,0.928,0.072,0.01,0.783,1.0,0.941,0.907,0.948,0.933,0.941,0.963,0.065,0.009,0.817,1.0,1.0,0.945,0.979,0.969,1.0,0.962,0.073,0.01,0.825,1.0,1.0,0.94,0.979,0.975,1.0
RandomForestClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.812,0.17,0.024,0.488,1.0,0.873,0.762,0.856,0.769,0.882,0.9,0.122,0.017,0.625,1.0,0.875,0.867,0.933,0.875,1.0,0.905,0.1,0.014,0.75,1.0,0.875,0.878,0.932,0.875,1.0,0.902,0.087,0.012,0.741,1.0,0.933,0.878,0.925,0.875,0.938,0.902,0.087,0.012,0.74,1.0,0.929,0.878,0.926,0.875,0.938,0.908,0.095,0.014,0.743,1.0,0.889,0.882,0.936,0.875,1.0,0.899,0.095,0.014,0.714,1.0,0.933,0.875,0.925,0.875,0.941,0.965,0.052,0.007,0.851,1.0,1.0,0.949,0.978,0.982,1.0,0.964,0.055,0.008,0.863,1.0,1.0,0.948,0.978,0.982,1.0
