Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.836,0.153,0.022,0.535,1.0,0.875,0.794,0.876,0.873,0.882,0.902,0.101,0.014,0.75,1.0,0.875,0.871,0.928,0.875,1.0,0.926,0.115,0.016,0.75,1.0,1.0,0.894,0.955,0.875,1.0,0.914,0.079,0.011,0.75,1.0,0.933,0.892,0.935,0.933,0.938,0.914,0.079,0.011,0.75,1.0,0.938,0.89,0.935,0.929,0.938,0.933,0.099,0.014,0.704,1.0,1.0,0.902,0.958,0.889,1.0,0.912,0.08,0.011,0.773,1.0,0.933,0.89,0.932,0.923,0.933,0.971,0.039,0.006,0.889,1.0,0.992,0.96,0.981,0.969,1.0,0.975,0.036,0.005,0.883,1.0,0.993,0.964,0.985,0.973,1.0
ElasticNet,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.915,0.091,0.013,0.75,1.0,0.882,0.889,0.94,0.882,1.0,0.974,0.052,0.007,0.875,1.0,1.0,0.96,0.988,1.0,1.0,0.937,0.081,0.012,0.857,1.0,1.0,0.914,0.957,0.875,1.0,0.956,0.048,0.007,0.875,1.0,0.938,0.942,0.969,0.938,1.0,0.956,0.048,0.007,0.875,1.0,0.938,0.941,0.968,0.938,1.0,0.944,0.068,0.01,0.865,1.0,1.0,0.924,0.961,0.889,1.0,0.957,0.046,0.007,0.875,1.0,0.941,0.943,0.969,0.941,1.0,0.987,0.028,0.004,0.92,1.0,1.0,0.979,0.994,1.0,1.0,0.985,0.039,0.006,0.916,1.0,1.0,0.972,0.994,1.0,1.0
GaussianNB,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.181,0.239,0.034,-0.25,0.55,0.135,0.116,0.248,0.094,0.274,0.651,0.153,0.022,0.375,0.875,0.625,0.604,0.698,0.625,0.714,0.525,0.171,0.024,0.25,0.75,0.5,0.475,0.572,0.464,0.625,0.588,0.115,0.016,0.386,0.75,0.562,0.557,0.619,0.533,0.625,0.588,0.116,0.017,0.379,0.75,0.562,0.553,0.619,0.54,0.625,0.583,0.109,0.016,0.4,0.75,0.563,0.553,0.615,0.545,0.625,0.609,0.115,0.016,0.399,0.79,0.625,0.578,0.64,0.571,0.632,0.626,0.127,0.018,0.421,0.837,0.617,0.592,0.662,0.588,0.656,0.623,0.125,0.018,0.439,0.837,0.608,0.591,0.658,0.565,0.66
GaussianProcessClassifier,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.208,0.283,0.04,-0.375,0.604,0.218,0.132,0.283,0.135,0.293,0.542,0.189,0.027,0.125,0.819,0.571,0.489,0.593,0.5,0.625,0.659,0.179,0.026,0.375,0.875,0.625,0.611,0.71,0.625,0.75,0.602,0.136,0.019,0.322,0.8,0.6,0.564,0.642,0.562,0.625,0.6,0.136,0.019,0.321,0.791,0.607,0.563,0.636,0.562,0.638,0.619,0.181,0.026,0.222,0.846,0.625,0.566,0.666,0.571,0.667,0.567,0.169,0.024,0.16,0.778,0.58,0.519,0.614,0.533,0.646,0.587,0.15,0.021,0.275,0.765,0.621,0.55,0.629,0.562,0.643,0.657,0.121,0.017,0.474,0.819,0.654,0.622,0.691,0.63,0.697
GradientBoostingClassifier,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.822,0.166,0.024,0.495,1.0,0.873,0.773,0.865,0.774,0.882,0.896,0.099,0.014,0.75,1.0,0.875,0.869,0.922,0.875,0.938,0.92,0.105,0.015,0.73,1.0,1.0,0.888,0.949,0.875,1.0,0.908,0.084,0.012,0.741,1.0,0.933,0.885,0.932,0.875,0.938,0.908,0.084,0.012,0.745,1.0,0.929,0.884,0.93,0.875,0.938,0.924,0.099,0.014,0.704,1.0,1.0,0.896,0.952,0.875,1.0,0.907,0.086,0.012,0.75,1.0,0.928,0.882,0.928,0.875,0.933,0.968,0.043,0.006,0.892,1.0,0.983,0.955,0.98,0.969,1.0,0.973,0.041,0.006,0.923,1.0,0.986,0.959,0.983,0.973,1.0
KNeighborsClassifier,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.139,0.263,0.038,-0.275,0.543,0.13,0.062,0.209,0.054,0.238,0.507,0.209,0.03,0.133,0.867,0.5,0.449,0.563,0.499,0.571,0.623,0.176,0.025,0.375,0.875,0.625,0.574,0.668,0.571,0.732,0.567,0.125,0.018,0.375,0.75,0.562,0.531,0.6,0.531,0.6,0.565,0.125,0.018,0.375,0.75,0.562,0.529,0.599,0.518,0.598,0.581,0.168,0.024,0.307,0.831,0.571,0.534,0.628,0.522,0.646,0.524,0.169,0.024,0.21,0.765,0.533,0.478,0.566,0.485,0.58,0.589,0.15,0.021,0.311,0.813,0.592,0.548,0.628,0.541,0.656,0.623,0.122,0.017,0.456,0.84,0.595,0.588,0.655,0.564,0.633
LGBMClassifier,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.859,0.156,0.022,0.614,1.0,0.882,0.808,0.901,0.873,0.882,0.904,0.12,0.017,0.75,1.0,0.875,0.869,0.936,0.875,1.0,0.949,0.089,0.013,0.75,1.0,1.0,0.924,0.97,1.0,1.0,0.926,0.08,0.011,0.806,1.0,0.938,0.902,0.946,0.933,0.938,0.926,0.08,0.011,0.803,1.0,0.938,0.904,0.945,0.929,0.938,0.951,0.088,0.013,0.788,1.0,1.0,0.923,0.974,1.0,1.0,0.922,0.09,0.013,0.811,1.0,0.933,0.893,0.944,0.928,0.941,0.978,0.037,0.005,0.913,1.0,1.0,0.967,0.988,0.984,1.0,0.981,0.033,0.005,0.931,1.0,1.0,0.972,0.989,0.986,1.0
LinearDiscriminantAnalysis,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.72,0.172,0.025,0.405,0.947,0.75,0.672,0.766,0.732,0.775,0.879,0.112,0.016,0.665,1.0,0.875,0.848,0.909,0.875,0.875,0.829,0.144,0.021,0.5,1.0,0.875,0.786,0.867,0.857,0.875,0.854,0.088,0.013,0.688,0.972,0.875,0.829,0.878,0.867,0.875,0.854,0.089,0.013,0.688,0.972,0.875,0.829,0.876,0.866,0.875,0.849,0.109,0.016,0.65,1.0,0.875,0.82,0.878,0.817,0.875,0.858,0.086,0.012,0.698,0.974,0.875,0.834,0.88,0.857,0.882,0.923,0.079,0.011,0.781,1.0,0.953,0.898,0.945,0.922,0.969,0.927,0.091,0.013,0.694,1.0,0.963,0.901,0.95,0.935,0.973
LogisticRegression,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.805,0.191,0.027,0.378,1.0,0.882,0.751,0.856,0.769,0.882,0.926,0.126,0.018,0.625,1.0,1.0,0.89,0.958,1.0,1.0,0.871,0.119,0.017,0.625,1.0,0.875,0.836,0.902,0.875,0.875,0.898,0.098,0.014,0.688,1.0,0.938,0.871,0.924,0.875,0.938,0.899,0.098,0.014,0.688,1.0,0.938,0.871,0.924,0.875,0.938,0.881,0.106,0.015,0.682,1.0,0.889,0.851,0.909,0.875,0.889,0.898,0.102,0.015,0.667,1.0,0.941,0.868,0.926,0.889,0.941,0.951,0.077,0.011,0.788,1.0,0.982,0.93,0.97,0.964,1.0,0.956,0.066,0.009,0.812,1.0,0.982,0.936,0.974,0.962,1.0
RandomForestClassifier,full,chi2,509,minmax,median,5,5,10,100,borderline_smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.819,0.182,0.026,0.455,1.0,0.875,0.767,0.864,0.775,0.882,0.912,0.106,0.015,0.73,1.0,1.0,0.882,0.941,0.875,1.0,0.9,0.122,0.017,0.625,1.0,0.875,0.867,0.935,0.875,1.0,0.906,0.093,0.013,0.716,1.0,0.933,0.879,0.931,0.904,0.938,0.906,0.093,0.013,0.716,1.0,0.938,0.882,0.93,0.875,0.938,0.908,0.106,0.015,0.682,1.0,0.889,0.88,0.936,0.875,1.0,0.906,0.092,0.013,0.724,1.0,0.933,0.881,0.932,0.875,0.941,0.961,0.051,0.007,0.866,1.0,0.984,0.946,0.974,0.964,1.0,0.957,0.063,0.009,0.823,1.0,0.986,0.937,0.973,0.967,1.0
