Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.855,0.117,0.017,0.63,1.0,0.875,0.824,0.89,0.824,0.882,0.912,0.087,0.012,0.75,1.0,0.875,0.889,0.936,0.875,1.0,0.939,0.073,0.01,0.857,1.0,1.0,0.917,0.958,0.875,1.0,0.925,0.06,0.009,0.812,1.0,0.933,0.908,0.942,0.904,0.938,0.926,0.059,0.008,0.812,1.0,0.938,0.91,0.941,0.902,0.938,0.94,0.071,0.01,0.857,1.0,1.0,0.921,0.958,0.882,1.0,0.923,0.062,0.009,0.8,1.0,0.933,0.905,0.94,0.899,0.937,0.982,0.024,0.003,0.933,1.0,1.0,0.975,0.988,0.982,1.0,0.984,0.022,0.003,0.944,1.0,1.0,0.978,0.99,0.984,1.0
ElasticNet,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.9,0.1,0.014,0.74,1.0,0.882,0.871,0.928,0.882,1.0,0.969,0.062,0.009,0.875,1.0,1.0,0.95,0.985,1.0,1.0,0.926,0.084,0.012,0.798,1.0,0.938,0.902,0.949,0.875,1.0,0.948,0.052,0.007,0.867,1.0,0.938,0.932,0.962,0.938,1.0,0.948,0.052,0.007,0.87,1.0,0.938,0.933,0.962,0.938,1.0,0.934,0.072,0.01,0.815,1.0,0.944,0.914,0.954,0.889,1.0,0.949,0.052,0.007,0.865,1.0,0.941,0.935,0.963,0.941,1.0,0.984,0.03,0.004,0.925,1.0,1.0,0.975,0.991,1.0,1.0,0.981,0.048,0.007,0.932,1.0,1.0,0.967,0.992,1.0,1.0
GaussianNB,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.176,0.233,0.033,-0.223,0.55,0.135,0.112,0.238,0.083,0.274,0.646,0.154,0.022,0.375,0.875,0.625,0.604,0.69,0.625,0.714,0.525,0.165,0.024,0.266,0.75,0.5,0.477,0.571,0.464,0.598,0.586,0.113,0.016,0.386,0.75,0.562,0.555,0.616,0.533,0.625,0.585,0.113,0.016,0.391,0.75,0.562,0.555,0.618,0.545,0.625,0.581,0.111,0.016,0.4,0.75,0.556,0.551,0.61,0.545,0.625,0.605,0.115,0.016,0.399,0.79,0.625,0.572,0.635,0.571,0.632,0.623,0.132,0.019,0.421,0.837,0.607,0.588,0.659,0.588,0.65,0.623,0.127,0.018,0.437,0.837,0.603,0.588,0.658,0.561,0.659
GaussianProcessClassifier,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.203,0.272,0.039,-0.352,0.604,0.209,0.122,0.28,0.126,0.327,0.537,0.181,0.026,0.125,0.75,0.571,0.483,0.585,0.5,0.625,0.659,0.181,0.026,0.375,0.875,0.625,0.608,0.709,0.598,0.75,0.599,0.13,0.019,0.341,0.8,0.6,0.559,0.636,0.562,0.667,0.598,0.13,0.019,0.341,0.791,0.603,0.562,0.633,0.562,0.652,0.62,0.181,0.026,0.222,0.846,0.625,0.569,0.668,0.571,0.667,0.564,0.162,0.023,0.16,0.774,0.58,0.514,0.607,0.533,0.628,0.585,0.143,0.02,0.299,0.775,0.613,0.542,0.622,0.576,0.643,0.655,0.119,0.017,0.474,0.819,0.667,0.623,0.687,0.611,0.702
GradientBoostingClassifier,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.812,0.153,0.022,0.545,1.0,0.873,0.772,0.854,0.775,0.882,0.884,0.099,0.014,0.714,1.0,0.875,0.857,0.912,0.875,0.875,0.922,0.096,0.014,0.75,1.0,1.0,0.895,0.946,0.875,1.0,0.903,0.077,0.011,0.773,1.0,0.933,0.882,0.923,0.875,0.938,0.903,0.077,0.011,0.77,1.0,0.929,0.88,0.924,0.875,0.938,0.925,0.091,0.013,0.762,1.0,1.0,0.9,0.95,0.889,1.0,0.901,0.079,0.011,0.759,1.0,0.933,0.878,0.921,0.875,0.933,0.968,0.048,0.007,0.875,1.0,0.983,0.953,0.98,0.969,1.0,0.973,0.042,0.006,0.906,1.0,0.986,0.961,0.983,0.975,1.0
KNeighborsClassifier,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.1,0.25,0.036,-0.277,0.509,0.126,0.035,0.174,0.02,0.196,0.455,0.19,0.027,0.125,0.75,0.5,0.404,0.507,0.375,0.5,0.641,0.172,0.025,0.375,0.875,0.625,0.593,0.691,0.571,0.732,0.55,0.119,0.017,0.375,0.75,0.562,0.517,0.581,0.517,0.6,0.548,0.118,0.017,0.375,0.75,0.562,0.512,0.582,0.518,0.572,0.56,0.166,0.024,0.25,0.796,0.571,0.516,0.605,0.5,0.6,0.489,0.167,0.024,0.173,0.733,0.533,0.445,0.538,0.445,0.571,0.57,0.129,0.018,0.358,0.793,0.578,0.535,0.606,0.527,0.616,0.606,0.106,0.015,0.458,0.809,0.599,0.578,0.637,0.555,0.628
LGBMClassifier,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.852,0.133,0.019,0.63,1.0,0.875,0.815,0.888,0.775,0.882,0.916,0.112,0.016,0.665,1.0,1.0,0.883,0.944,0.875,1.0,0.929,0.089,0.013,0.75,1.0,1.0,0.902,0.953,0.875,1.0,0.922,0.07,0.01,0.806,1.0,0.933,0.902,0.94,0.875,0.938,0.922,0.069,0.01,0.812,1.0,0.938,0.903,0.942,0.875,0.938,0.934,0.08,0.011,0.788,1.0,1.0,0.913,0.956,0.889,1.0,0.919,0.075,0.011,0.769,1.0,0.933,0.897,0.94,0.889,0.941,0.979,0.03,0.004,0.922,1.0,1.0,0.97,0.987,0.983,1.0,0.983,0.025,0.004,0.948,1.0,1.0,0.976,0.99,0.984,1.0
LinearDiscriminantAnalysis,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.721,0.171,0.024,0.405,0.947,0.753,0.67,0.766,0.741,0.775,0.882,0.116,0.017,0.665,1.0,0.875,0.85,0.912,0.875,0.938,0.826,0.145,0.021,0.532,1.0,0.875,0.789,0.865,0.75,0.875,0.855,0.087,0.012,0.688,0.972,0.875,0.828,0.88,0.867,0.875,0.854,0.088,0.013,0.688,0.972,0.875,0.831,0.877,0.857,0.875,0.848,0.111,0.016,0.665,1.0,0.875,0.82,0.878,0.8,0.875,0.858,0.085,0.012,0.698,0.974,0.875,0.833,0.882,0.857,0.889,0.924,0.079,0.011,0.781,1.0,0.95,0.902,0.945,0.929,0.969,0.927,0.091,0.013,0.694,1.0,0.963,0.901,0.95,0.935,0.973
LogisticRegression,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.813,0.175,0.025,0.44,1.0,0.875,0.762,0.86,0.775,0.882,0.935,0.116,0.017,0.665,1.0,1.0,0.902,0.966,1.0,1.0,0.868,0.126,0.018,0.625,1.0,0.875,0.831,0.903,0.875,0.875,0.901,0.091,0.013,0.708,1.0,0.933,0.874,0.924,0.875,0.938,0.901,0.09,0.013,0.716,1.0,0.938,0.88,0.925,0.875,0.938,0.882,0.107,0.015,0.682,1.0,0.889,0.853,0.911,0.875,0.889,0.903,0.094,0.013,0.713,1.0,0.933,0.876,0.931,0.889,0.941,0.959,0.06,0.009,0.812,1.0,0.983,0.942,0.976,0.964,1.0,0.96,0.063,0.009,0.809,1.0,0.984,0.941,0.976,0.962,1.0
RandomForestClassifier,full,chi2,509,minmax,median,5,5,10,100,smote,matthews_corrcoef,matthews_corrcoef,validation_score,0.794,0.184,0.026,0.495,1.0,0.873,0.742,0.844,0.732,0.882,0.907,0.111,0.016,0.73,1.0,1.0,0.874,0.937,0.875,1.0,0.88,0.129,0.018,0.625,1.0,0.875,0.841,0.914,0.875,1.0,0.893,0.095,0.014,0.733,1.0,0.933,0.866,0.917,0.867,0.938,0.893,0.094,0.013,0.745,1.0,0.929,0.867,0.922,0.866,0.938,0.89,0.108,0.015,0.667,1.0,0.889,0.862,0.918,0.875,1.0,0.894,0.095,0.014,0.73,1.0,0.933,0.868,0.92,0.857,0.941,0.957,0.06,0.009,0.827,1.0,0.984,0.94,0.973,0.969,1.0,0.958,0.06,0.009,0.846,1.0,0.986,0.941,0.973,0.97,1.0
