Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.801,0.171,0.024,0.511,1.0,0.873,0.752,0.846,0.764,0.878,0.86,0.126,0.018,0.665,1.0,0.875,0.824,0.895,0.875,0.875,0.93,0.102,0.015,0.75,1.0,1.0,0.901,0.956,0.875,1.0,0.896,0.087,0.012,0.733,1.0,0.933,0.87,0.918,0.875,0.938,0.895,0.088,0.013,0.726,1.0,0.929,0.871,0.919,0.875,0.938,0.933,0.101,0.014,0.743,1.0,1.0,0.903,0.959,0.889,1.0,0.889,0.097,0.014,0.704,1.0,0.928,0.861,0.912,0.875,0.933,0.962,0.05,0.007,0.875,1.0,0.982,0.948,0.975,0.966,1.0,0.965,0.048,0.007,0.847,1.0,0.982,0.952,0.978,0.97,1.0
ElasticNet,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.898,0.109,0.016,0.75,1.0,0.882,0.865,0.926,0.882,1.0,0.949,0.087,0.012,0.787,1.0,1.0,0.924,0.969,1.0,1.0,0.944,0.073,0.01,0.857,1.0,1.0,0.924,0.963,0.875,1.0,0.946,0.056,0.008,0.87,1.0,0.938,0.93,0.962,0.938,1.0,0.946,0.057,0.008,0.865,1.0,0.938,0.93,0.962,0.938,1.0,0.948,0.066,0.009,0.833,1.0,1.0,0.927,0.965,0.889,1.0,0.945,0.061,0.009,0.852,1.0,0.941,0.928,0.961,0.933,1.0,0.985,0.029,0.004,0.942,1.0,1.0,0.976,0.992,0.984,1.0,0.984,0.039,0.006,0.958,1.0,1.0,0.971,0.993,0.986,1.0
GaussianNB,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.196,0.256,0.037,-0.135,0.571,0.189,0.129,0.267,0.094,0.273,0.644,0.171,0.024,0.375,0.875,0.625,0.599,0.69,0.571,0.75,0.546,0.185,0.026,0.25,0.75,0.571,0.496,0.597,0.5,0.625,0.597,0.125,0.018,0.438,0.784,0.6,0.562,0.633,0.533,0.625,0.595,0.125,0.018,0.438,0.784,0.585,0.564,0.632,0.545,0.625,0.592,0.123,0.018,0.436,0.765,0.583,0.559,0.627,0.556,0.6,0.609,0.132,0.019,0.443,0.803,0.58,0.573,0.646,0.533,0.683,0.634,0.127,0.018,0.432,0.842,0.625,0.602,0.67,0.594,0.66,0.628,0.123,0.018,0.457,0.817,0.621,0.594,0.664,0.566,0.642
GaussianProcessClassifier,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.213,0.243,0.035,-0.257,0.604,0.198,0.147,0.284,0.126,0.327,0.529,0.194,0.028,0.125,0.75,0.598,0.476,0.58,0.5,0.625,0.675,0.185,0.026,0.375,0.944,0.67,0.623,0.731,0.625,0.75,0.605,0.114,0.016,0.386,0.8,0.6,0.574,0.635,0.562,0.667,0.602,0.114,0.016,0.383,0.791,0.585,0.569,0.633,0.562,0.661,0.628,0.173,0.025,0.288,0.936,0.625,0.582,0.677,0.571,0.667,0.558,0.165,0.024,0.173,0.769,0.615,0.515,0.602,0.533,0.65,0.593,0.141,0.02,0.312,0.772,0.617,0.553,0.631,0.562,0.643,0.661,0.122,0.017,0.48,0.82,0.669,0.627,0.694,0.614,0.73
GradientBoostingClassifier,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.796,0.157,0.022,0.495,1.0,0.824,0.753,0.836,0.764,0.878,0.863,0.121,0.017,0.625,1.0,0.875,0.828,0.898,0.857,0.875,0.923,0.102,0.015,0.75,1.0,1.0,0.892,0.95,0.875,1.0,0.893,0.08,0.011,0.741,1.0,0.904,0.872,0.915,0.875,0.935,0.893,0.08,0.011,0.745,1.0,0.902,0.87,0.912,0.875,0.938,0.926,0.097,0.014,0.73,1.0,1.0,0.899,0.953,0.889,1.0,0.887,0.087,0.012,0.72,1.0,0.906,0.863,0.91,0.875,0.933,0.96,0.044,0.006,0.866,1.0,0.975,0.947,0.971,0.946,0.992,0.966,0.041,0.006,0.875,1.0,0.981,0.954,0.977,0.959,0.993
KNeighborsClassifier,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.153,0.267,0.038,-0.258,0.574,0.126,0.081,0.229,0.04,0.258,0.485,0.224,0.032,0.125,0.809,0.5,0.421,0.548,0.438,0.625,0.665,0.19,0.027,0.326,0.875,0.625,0.611,0.714,0.625,0.75,0.578,0.123,0.018,0.386,0.77,0.562,0.543,0.614,0.533,0.625,0.575,0.124,0.018,0.383,0.775,0.562,0.542,0.608,0.518,0.625,0.578,0.207,0.03,0.182,0.857,0.571,0.517,0.634,0.523,0.646,0.511,0.197,0.028,0.148,0.774,0.533,0.449,0.56,0.5,0.615,0.605,0.157,0.022,0.379,0.858,0.584,0.563,0.651,0.547,0.625,0.624,0.138,0.02,0.461,0.882,0.599,0.588,0.66,0.539,0.646
LGBMClassifier,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.782,0.182,0.026,0.39,1.0,0.873,0.733,0.829,0.76,0.878,0.857,0.143,0.02,0.596,1.0,0.875,0.819,0.894,0.857,0.938,0.913,0.12,0.017,0.665,1.0,1.0,0.876,0.942,0.875,1.0,0.886,0.094,0.013,0.688,1.0,0.933,0.86,0.911,0.867,0.935,0.885,0.095,0.014,0.688,1.0,0.929,0.86,0.91,0.871,0.938,0.915,0.107,0.015,0.727,1.0,1.0,0.884,0.944,0.882,1.0,0.878,0.107,0.015,0.667,1.0,0.923,0.847,0.908,0.857,0.933,0.965,0.046,0.007,0.866,1.0,0.982,0.953,0.977,0.967,1.0,0.971,0.041,0.006,0.889,1.0,0.986,0.959,0.981,0.97,1.0
LinearDiscriminantAnalysis,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.673,0.209,0.03,0.254,0.882,0.732,0.615,0.726,0.63,0.753,0.841,0.13,0.019,0.625,1.0,0.875,0.807,0.876,0.857,0.875,0.821,0.152,0.022,0.5,1.0,0.875,0.78,0.861,0.75,0.875,0.832,0.105,0.015,0.625,0.938,0.867,0.8,0.859,0.812,0.875,0.831,0.106,0.015,0.625,0.938,0.866,0.802,0.86,0.812,0.875,0.837,0.126,0.018,0.611,1.0,0.857,0.803,0.87,0.789,0.875,0.832,0.104,0.015,0.605,0.941,0.857,0.803,0.861,0.824,0.875,0.909,0.11,0.016,0.726,1.0,0.95,0.876,0.936,0.906,0.967,0.911,0.118,0.017,0.654,1.0,0.959,0.878,0.942,0.933,0.97
LogisticRegression,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.755,0.211,0.03,0.378,1.0,0.775,0.696,0.81,0.75,0.873,0.88,0.152,0.022,0.625,1.0,0.875,0.836,0.921,0.875,1.0,0.866,0.118,0.017,0.73,1.0,0.875,0.829,0.895,0.875,0.875,0.874,0.106,0.015,0.688,1.0,0.875,0.843,0.9,0.875,0.933,0.873,0.107,0.015,0.688,1.0,0.875,0.84,0.9,0.875,0.929,0.872,0.108,0.015,0.714,1.0,0.875,0.841,0.9,0.866,0.889,0.87,0.115,0.016,0.667,1.0,0.889,0.833,0.902,0.875,0.933,0.941,0.08,0.011,0.774,1.0,0.964,0.917,0.961,0.946,0.982,0.94,0.086,0.012,0.787,1.0,0.97,0.913,0.961,0.945,0.984
RandomForestClassifier,full,chi2,509,minmax,median,5,5,10,100,tomek,matthews_corrcoef,matthews_corrcoef,validation_score,0.733,0.168,0.024,0.435,1.0,0.75,0.687,0.777,0.674,0.873,0.824,0.158,0.023,0.532,1.0,0.875,0.781,0.865,0.804,0.875,0.893,0.113,0.016,0.714,1.0,0.875,0.857,0.921,0.875,1.0,0.86,0.088,0.013,0.708,1.0,0.867,0.835,0.883,0.812,0.933,0.859,0.089,0.013,0.7,1.0,0.866,0.833,0.884,0.812,0.929,0.896,0.098,0.014,0.75,1.0,0.882,0.867,0.922,0.857,1.0,0.848,0.108,0.015,0.638,1.0,0.866,0.814,0.876,0.824,0.911,0.949,0.054,0.008,0.85,1.0,0.967,0.934,0.964,0.946,0.984,0.947,0.061,0.009,0.841,1.0,0.967,0.929,0.963,0.948,0.986
