	12	15	19	2	21	23	25	27	28	30	32	33	34	35	36	39	40	42	43	44	46	47	48	49	5	50	53	54	56	57	60	62	64	65	67	68	70	71	8	Sample name	C12A	C15B	C19B	C21B	C23A	C25B	C27A	C28A	C2A	C30B	C32B	C33A	C34B	C35B	C36A	C39A	C40B	C42A	C43A	C44B	C46B	C47A	C48A	C49A	C50B	C53A	C54A	C56B	C57A	C5A	C60A	C62B	C64B	C65A	C67B	C68A	C70A	C71B	C8A
1-Monopalmitin	2578.86	3755.24	2278.02	2998.46	3504.35	2666.69	3358.69	3322.05	3388.38	1890.63	2185.43	3495.06	2304.52	3067.88	3362.68	3724.67	3552.93	0	3444.65	3013.77	2735.45	2543.61	3720.74	2014.76	3078.09	2817.76	3124.12	2236.85	2181.48	2482.55	3529.19	2176.60	3302.31	2194.32	0	0	2954.02	3799.53	1925.65	0	2512.26	2714.39	1461.07	2568.02	2793.76	4328.48	3041.52	2622.65	2893.76	2758.48	2672.39	4575.04	3433.27	2697.48	3395.22	2891.61	3395.07	2952.65	2879.60	1486.73	2797.81	4795.16	3126.16	2578.92	2845.79	3128.20	3375.97	2122.67	4061.52	2010.63	2357.40	4462.04	4017.39	3121.95	2573.78	3319.60	2127.18	3632.93	2632.36
2-Aminobutanoic acid	10445.17	7585.79	11715.85	11010.13	5707.60	15017.40	10785.50	6561.24	5803.33	14262.29	11601.78	22713.33	22679.42	13650.77	7185.88	19519.61	24664.12	0	15564.60	9396.10	26434.58	29568.45	21672.43	20560.62	7321.45	28060.12	19745.35	29461.86	82096.60	36430.78	21294.24	55015.47	39272.33	21539.42	0	0	36620.08	8983.41	11862.09	0	7277.62	13618.29	12088.02	8231.37	21642.78	13130.15	8786.09	13918.80	9570.78	11743.07	17466.88	17945.84	7847.32	13888.43	12650.29	23382.62	38865.74	28247.34	23440.52	31822.42	16263.29	36310.45	21514.81	17927.41	18964.00	34107.76	22869.75	58464.20	22891.73	22173.15	31070.38	30939.77	19821.12	46682.24	20738.53	19072.20	14190.93	27899.77	14848.80
2-Hydroxy-3-methylbutyric acid	7764.27	7883.86	7065.22	8115.17	17656.76	4975.56	7509.40	12256.47	4613.64	7053.13	7558.22	3342.33	8703.68	7004.99	7073.96	12149.02	8506.36	0	6101.39	6383.45	10930.30	14960.75	19366.07	10431.86	10432.33	28238.40	8373.00	7281.99	13739.88	6620.30	13837.58	13383.15	12574.47	8612.74	0	0	13133.33	13882.44	4380.39	0	4305.60	7109.49	3437.35	6440.81	11876.83	11046.56	6165.44	7965.45	6910.17	3374.42	32414.61	17994.88	20332.88	4937.78	6079.07	10711.16	26856.38	22727.52	4131.38	8635.05	47848.79	21198.41	17416.69	23412.74	45888.20	25447.25	7388.90	10618.03	16868.01	5070.41	17781.09	17536.48	8261.53	17727.68	5009.56	24435.26	4852.30	10835.09	5050.96
2-hydroxybutyric acid	26061.15	20031.09	48110.04	14943.77	30238.68	25408.95	20764.56	19729.12	11919.36	23110.89	29826.44	50104.36	31350.87	37945.43	26181.52	63079.34	30881.12	0	31263.19	22160.21	33296.48	52451.90	44885.13	25043.52	22400.54	53431.00	34142.72	64401.89	86115.30	33361.73	44104.03	63158.91	58565.13	44085.98	0	0	34209.19	39693.38	18699.90	0	22247.27	24701.37	16412.49	22275.95	30912.58	33572.96	20246.74	29176.05	28522.89	18767.75	40114.08	57539.79	16033.80	25271.77	29671.22	39221.17	108606.77	43048.79	46510.47	39197.23	34988.95	39553.04	59111.61	37563.25	23269.63	84935.21	44161.61	100780.13	47425.93	30277.88	46988.32	53859.69	36735.64	69815.97	26186.95	65543.69	25074.91	46688.37	21508.56
2-ketoisocaproic acid	4657.23	4305.31	8356.13	5821.37	7987.15	5886.90	4985.09	7649.89	4969.38	4408.20	8226.55	7524.13	7590.65	8830.55	4594.09	12592.52	7230.56	0	9058.91	4858.38	10716.59	8159.61	11820.80	9351.06	5091.43	13716.33	11432.51	9703.06	15378.80	11852.70	10036.23	12032.96	11365.13	14163.14	0	0	14300.64	14885.51	6108.79	0	4541.31	6002.30	4375.27	7235.86	8825.20	8687.21	6994.29	7111.50	4019.40	5698.31	10223.51	9527.25	7678.49	8336.67	6867.41	6828.51	17791.82	8701.02	7055.58	13335.41	7451.05	13446.73	13218.84	11685.47	13158.63	13472.78	10718.49	14230.41	11442.04	7560.60	10690.30	14594.09	8509.65	12207.77	5934.89	12615.59	6216.97	11206.64	5356.72
3-Hydroxybutyric acid	5832.49	6421.65	7555.40	8419.28	35226.66	16379.78	16963.73	4223.75	5978.21	12797.54	7530.51	30240.20	12286.54	15996.43	11442.80	18232.59	17559.16	0	7191.54	13874.82	10419.41	12483.88	14545.11	14918.63	7038.54	9995.54	11758.27	18873.04	14137.26	10494.62	15615.98	9137.59	12525.45	16961.54	0	0	17182.70	18643.24	4891.09	0	6274.98	12546.46	4267.14	8431.71	8649.88	5823.08	12722.31	6209.46	10909.22	6163.23	8698.79	23359.56	10023.63	20118.44	8566.82	148691.37	25786.50	50817.77	75065.50	12426.43	59389.17	82689.22	8434.86	16548.21	12634.42	40647.81	17274.00	68546.87	21073.71	58618.74	48585.49	9980.26	52518.85	38706.88	7955.64	13015.75	10793.51	11162.79	9139.42
3-methyl-2-oxobutanoic acid	6377.75	6619.98	10479.49	8600.99	8545.26	8952.02	7570.56	9154.90	7808.50	8271.25	10753.30	9290.24	12108.06	10924.16	9065.97	11280.06	6955.88	0	10869.54	8364.26	14677.05	11279.63	10586.53	12100.19	7454.82	13209.50	11111.23	12618.46	13696.85	12520.35	8987.82	11934.36	13090.23	16694.68	0	0	13636.96	10436.56	8628.00	0	8495.12	10104.27	7101.24	8228.19	12421.07	10852.53	7211.88	9938.71	7331.90	7018.96	11579.55	10308.34	10543.65	10321.06	9379.25	9302.44	15843.70	10719.26	9615.91	13127.47	8370.98	13065.89	10589.50	15384.40	10144.78	11897.32	14404.88	13319.85	11356.26	10720.12	12288.13	13192.52	13630.55	13187.73	9392.12	12484.97	7218.75	13709.75	9430.21
4-Aminobutanoic acid	3093.95	4131.51	4223.59	3884.39	6462.18	3069.81	3632.81	5217.11	3323.16	3892.92	5296.24	3748.98	3298.68	2836.19	4720.47	2913.09	3280.22	0	4671.23	4114.06	3776.45	3168.50	6303.09	3582.93	3578.88	5683.96	4355.61	2866.30	4592.50	4057.25	3405.88	4066.38	3419.98	5120.07	0	0	4301.50	8937.49	4262.33	0	4008.78	3351.86	3659.31	3689.35	4622.84	7194.38	212.39	4066.53	5102.33	3327.12	4037.98	3398.72	3937.50	3066.21	3289.90	3029.79	3994.74	4464.25	3017.85	3502.56	5441.68	3490.30	3174.52	4492.44	2954.35	3652.44	3723.51	3846.95	3688.04	4955.12	3610.23	4591.97	5520.56	4806.95	3896.43	4912.11	2867.76	5318.39	4687.98
Acetoacetate	6502.80	7181.31	10763.60	8811.68	8621.06	8602.01	7746.61	8791.33	7715.92	7164.62	10554.78	9851.35	11950.74	11013.19	9489.53	11734.00	6406.99	0	11429.46	8584.33	13317.68	11248.67	9939.52	12467.15	7421.82	12790.64	11008.70	12962.00	13684.09	12205.18	8888.58	11929.85	12630.60	15208.67	0	0	13717.28	11051.41	8605.53	0	8699.96	10189.31	6729.21	8081.46	11624.34	11104.52	7364.62	9992.64	7295.84	7497.42	11698.75	10112.26	10986.51	10212.08	9545.08	9654.73	14711.27	10823.45	9618.64	12110.74	8488.61	13592.79	9990.71	15847.85	9658.33	11967.38	14340.56	12584.10	11694.22	10744.01	11418.42	13049.72	13139.60	13178.77	9149.69	12809.30	6814.77	13781.93	9488.71
Alanine	144239.09	107139.55	252040.22	318874.86	108323.08	73367.58	73989.12	158293.56	87035.22	121908.22	169122.77	192942.77	182586.72	220942.27	101837.90	213028.37	119602.57	0	232888.36	60729.81	249770.39	260697.76	246195.84	329672.57	98848.65	130464.97	131135.82	206614.56	920585.92	306255.72	145816.63	750043.41	549568.60	580358.94	0	0	245209.94	219493.49	214492.62	0	90023.46	165080.71	157421.03	146001.19	219333.61	185149.32	111178.05	204770.63	82415.71	104374.48	304610.30	231986.40	141209.27	171232.77	220211.79	153918.02	413179.31	184809.62	125116.96	383374.42	123759.03	379561.95	314701.96	496716.64	126694.22	361916.10	260843.79	352861.82	156421.74	209363.00	161535.74	286767.93	134548.28	593045.76	154614.50	260532.61	101485.62	324687.11	148974.23
