Class,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69
0,3.061833339,10.64618937,24.40491561,6.083842057,6.7292923,0.936364234,2.293315308,0.364249572,7.85652331,1.108775698,27.64149161,5.538536164,1.09012612,44.90643568,84.67355272,122.3111211,0.607082621,1.077498802,0.920822919,0.945689023,0.695959516,28.89383021,1.215233707,3.133711921,12.95125779,2.418714294,1.257486657,1.460203686,1.956457303,9.17656376,760.9178423,10.72486728,2.285447517,0.364249572,0.728887678,53.13779608,250.2418845,15.1933839,2.810938233,16.5530547,0.607082621,0.548996955,21.96259795,8.932565113,103.9602276,2.155968935,2.223670789,0.884592228,0.364249572,4.359630282,8.651170177,11.63374281,2.314878882,36.17678186,1.742278555,1.561610767,1.651070462,0.364249572,0.364249572,96.60607732,7.82213815,0.364249572,0.607082621,0.607082621,0.364249572,1.121985816,0.879152768,3.209670098,4.109997908
0,0.405511375,5.977405231,33.2601435,0.471331568,1.838273548,0.795640128,0.613964329,0.3940163,5.365016029,1.475826811,15.34253962,5.6702555,2.572316163,58.2210778,15.44532503,70.97735971,0.29015847,5.956191289,0.860790055,0.978488893,0.125675013,2.825442396,0.254567306,5.131830231,6.738694189,0.350348422,0.393446574,0.241832238,0.476358569,8.132312785,229.4104528,4.652522489,0.933078322,0.187507119,0.779721293,25.77306299,25.49362879,6.684938797,2.925814839,2.747758481,1.038243173,1.290833192,9.854663701,5.18474779,3.106585778,1.63320544,0.453904633,0.184088759,0.125675013,4.618137806,10.68428635,7.018463524,0.925839441,11.49483992,1.270591137,1.297334779,5.86982742,0.334194994,0.341199282,25.09448495,2.290301434,0.125675013,0.822216204,0.348739782,0.275513142,0.724491314,1.090993165,1.484841899,1.826476853
0,4.823704822,8.238052274,24.55348507,1.047714907,5.833100769,2.28836403,0.812559952,0.847734195,7.426773503,2.120063431,35.40462253,5.460684737,1.656450604,51.09903194,60.49509716,254.4692831,0.302824608,2.627527591,0.791653407,0.955644579,0.557022572,1.81158998,1.079627962,4.550289143,16.21282185,1.546909626,1.443192197,0.530700125,2.42830394,9.323620257,488.1948477,6.787464167,10.93651071,0.363971884,0.548461953,113.2678757,195.628016,30.37971405,6.323734869,14.40239658,1.187654817,0.410851463,33.75690725,4.620462922,6.057016273,0.317383483,1.951122241,0.459070458,0.363971884,11.21790465,1.141707006,27.74368408,5.138758885,39.25824037,0.533320722,4.035137897,3.339456596,0.449345129,0.569019085,34.94153382,6.786415928,0.363971884,0.551257257,1.507542427,0.363971884,7.844263813,0.363971884,1.094769192,1.179909495
0,0.173700607,7.046519491,49.01822805,0.851716611,1.13530717,4.796749223,0.769007329,2.447955713,10.54020844,4.030382143,21.23227291,8.029664929,3.673670575,31.69391309,20.73976915,82.91319186,0.359546361,4.444011925,1.605938544,1.297946523,0.352403792,2.51682453,0.582577941,7.81897304,13.81206088,1.169769371,0.503259296,0.534386445,1.256591882,17.15503329,214.3048337,5.160714528,0.337340476,0.279366161,2.228537105,30.46547461,26.48887017,8.359668291,4.776655537,1.529510277,0.867113432,1.849925365,16.84523478,1.85528924,6.619049244,0.623182195,1.389910573,0.446619002,0.104220364,13.12387297,8.526309706,17.33023467,2.734658987,22.45123429,0.540750835,0.298098034,4.991627408,0.599697873,0.957076451,44.62413073,2.870895848,0.228339871,0.867502522,0.580132237,0.760197235,3.101625839,0.104220364,1.827969609,1.849147187
0,2.164914293,3.278445789,22.88539263,1.255505616,6.080180487,2.172708351,0.77242683,0.776960629,7.755138883,2.871473689,33.2441545,6.613029174,2.203018577,46.90983849,44.86259919,196.9784696,0.519960473,3.173862772,1.529978725,0.98867374,0.782767966,8.496797013,1.505985252,5.036897398,20.72475743,1.723913233,0.550780115,1.171401105,1.848770989,9.690001104,310.7197085,8.342851627,1.11429562,0.378597652,0.912108579,27.13264496,50.31818524,7.294729091,4.39182446,10.66308673,1.802057582,1.006452343,34.70592248,5.873969064,45.39631388,2.768826452,2.586404736,0.624696314,0.459900377,5.678913842,4.961554835,36.45393107,6.86676907,49.45824082,4.22004953,0.635801574,5.659148517,0.848686341,0.384048399,166.689282,3.369019877,0.305292752,0.486593753,0.724847416,0.410385184,3.764682951,0.191030839,0.365556614,0.191030839
0,2.673573591,29.63042767,77.72202918,3.89037562,1.89888934,5.906997048,1.345678947,2.695389003,10.60928539,17.05455402,53.84932897,8.996486211,3.599898666,243.3913505,122.1460331,503.1563534,1.269325005,20.74906518,3.312030078,2.259555011,0.741012636,7.019464498,1.057573234,20.29935943,39.02148829,1.210162556,1.402825841,1.400098915,1.98152707,32.10529131,781.3341568,15.3541375,2.441666276,0.741012636,1.623114078,104.0221682,245.7889117,28.66106458,28.57368437,31.46434502,12.71565827,2.907022211,114.3051709,17.82307304,88.06881825,0.444607582,2.414634135,0.741012636,0.741012636,39.81786939,4.539621251,74.33969182,8.494376048,56.29561917,0.94885186,0.856136359,16.04962232,1.459261364,1.659749743,51.64703942,10.87320445,0.741012636,2.198139883,2.511736431,0.741012636,5.905692866,0.820567753,0.741012636,0.741012636
0,0.721659857,23.67537696,63.04176517,1.662194798,7.110569736,6.846484389,2.35837903,2.9784952,19.46023754,8.891351772,53.0290374,15.8782212,6.313110926,111.9308342,69.82967356,290.9973843,0.916853374,15.20787141,2.578779063,3.939841214,0.84751303,25.40951349,1.188025251,29.20385659,38.13387032,1.967812589,0.624511613,1.441705061,3.060752762,24.74849279,675.9223199,21.12368818,1.520823022,0.826432848,2.219877747,89.47380205,134.7572629,23.69986585,18.75427569,16.47402789,3.547570418,6.057278246,62.45654343,23.44645515,45.43254704,2.848784802,2.413815424,1.792712522,0.336385887,17.60024784,10.53641331,45.9163148,13.03571561,73.97780492,3.838028419,1.88349186,17.10266583,3.236660156,0.861327277,82.72886135,8.385427397,0.795395643,3.25935499,1.79298163,1.048716642,11.69994967,0.336385887,2.172245506,2.270828996
0,2.233499933,5.108183111,7.743659075,3.376778519,1.221315693,0.961025471,0.745399253,0.374698016,2.706818467,0.987404211,17.70603,2.273267882,0.374698016,4.99307588,12.30258485,29.4571593,0.624496693,0.815442802,1.08772336,0.374698016,0.374698016,7.245560513,0.374698016,3.057635729,21.75206914,0.624496693,1.489499553,0.624496693,0.624496693,3.858390369,185.1334935,3.929533032,1.257886219,0.803952063,0.374698016,25.95767967,31.05996753,6.685411959,1.769873588,19.6673493,2.288155884,0.906269601,10.24993916,26.16371362,11.16490176,5.913334207,3.636569143,0.374698016,0.374698016,10.31618577,9.88992931,6.524241853,1.926547318,20.5464408,4.453710576,0.634988238,2.356101124,0.876393679,0.782769135,109.8961303,11.86313902,0.374698016,0.624496693,0.624496693,0.374698016,2.30584163,2.991189281,1.482205431,0.374698016
0,4.359171029,9.442700274,37.63446161,1.383850708,3.044801959,4.075656796,1.203149862,1.719451875,9.279685664,2.824307085,38.59909024,4.017350527,1.814345328,10.54439723,37.33194925,95.79491641,0.69860628,1.169040695,4.178470184,0.573830865,1.262427902,30.48426665,1.910356317,9.388524033,24.88462975,1.235801373,0.635052447,1.28978326,2.434869796,15.88826396,365.5192798,9.685643062,1.493660848,0.419513606,1.888831586,90.16462012,111.8429881,23.90581326,3.2603408,16.4804613,1.759926143,1.038143121,45.58573611,6.387451776,74.40671926,2.874887773,1.590886551,0.667655369,0.182207091,7.800164086,3.984650428,30.52012501,6.678108527,40.54170936,0.873719442,1.500706189,8.101656086,0.314173613,0.472523722,34.72585337,4.39182254,0.764249422,1.390021454,3.363348542,0.763374828,7.545851576,0.182207091,2.035131733,2.08576101
0,2.118652532,6.009384092,11.73250656,1.984841047,1.291166532,2.100013876,1.110230898,1.098977369,5.185590656,4.779760293,17.540558,3.567720132,1.098977369,5.364416254,19.81271569,37.95357908,0.659386422,2.711221129,2.082430238,1.098977369,1.098977369,4.763583346,1.098977369,3.25701725,37.06595704,1.031280363,1.744121044,0.659386422,0.659386422,5.733320977,77.47034358,4.680236903,1.851205399,1.098977369,1.098977369,47.47705321,26.38090779,4.577548457,2.064319091,41.69309136,0.659386422,1.259164311,10.76962655,22.00662619,57.26902949,1.443089163,4.625551789,1.098977369,1.098977369,5.542010996,24.99777883,9.868816777,3.598139826,40.97550309,2.663393634,0.659386422,2.792809209,1.098977369,1.098977369,281.9305993,8.517338367,1.098977369,1.275341258,0.659386422,1.098977369,2.318930168,1.098977369,3.361112387,4.080107341
0,1.092452361,17.03163454,29.96202158,0.833964806,11.67621426,9.223101081,1.563650872,2.174388476,18.99905623,2.113765412,73.07650856,10.08198674,2.454350382,10.21542818,42.19303408,129.4280328,0.552323836,1.012652613,2.691628702,0.601812051,1.248958843,6.194157166,1.78184088,5.846502451,31.97716404,3.426351961,2.500657212,1.959910084,7.80906369,14.62049797,417.0849143,20.48237712,6.460509813,0.598984153,1.315944678,26.09434078,146.8404615,6.627267425,8.754465353,34.82512248,0.571677263,1.513720797,23.14440127,3.551928308,16.13616295,0.552323836,2.870051394,1.189484612,0.331394301,5.016426005,3.033804364,23.79305038,10.51995745,96.0676731,0.48675195,1.923589269,3.611579282,0.901127384,0.331394301,97.51971037,7.829654322,0.623021287,0.88239256,0.927197069,1.018396781,9.15973849,0.331394301,2.495531647,2.439327174
