Class,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150,M151,M152,M153,M154,M155,M156,M157,M158,M159,M160,M161,M162,M163,M164,M165,M166,M167,M168,M169,M170,M171,M172,M173,M174,M175,M176,M177,M178,M179,M180,M181
1.0,244,183,73,112382,120,14819,45248,22977,34312,104,71,48,30268,2276,467,4963,422,70,347,36,80432,1003,5752,27249,286,111,96,809,795,,1699,1003,52090,1022,211,308,15457,10114,148,730,3720,15567,216,84186,3643,27163,5576,73,162,19588,9652,209,811,280,1380,1765,300,3363,100,9661,227,56,23759,294,597,123,30593,102,1410,197,64,41,55421,5765,50,,210,191,502,238,36172,225,44,5574,27,28,748,533,1468,2279,12634,1222,456,54,375,127,78251,348,97,12831,2491,173,63504,5344,393,172475,188,170,57,48,619,167,957,725,888,320,660,360,150,11,6860,181,2334,162,5341,406,630,18389,42233,165,141,1532,13125,104,495,220,3216,139,88,2783,4661,1034,1058,181,272,921,136,72,105887,350,1262,146,272,1113,304,107,185,2970,123,56,33805,108,88,190,119,3743,2555,100,128,22078,11038,127,940,1515,74,11961,65,55,52,920,35
1.0,266,199,52,107275,131,7289,9160,26246,31248,54,63,103,22077,1445,378,3681,188,85,285,33,84785,640,4453,30367,9323,73,35,666,498,,1452,938,60302,634,69,229,13688,9564,16716,575,1041,9604,173,91299,8056,27135,979,60,162,87,11682,84,869,461,888,1469,314,2620,151,2929,49,166,53073,297,942,82,35886,52,828,198,80,224,44732,5361,28,,193,159,424,95,28707,301,3180,2661,62,63,263,102,1102,3325,13228,12550,295,52,395,269,136251,365,59,32421,3083,224,56317,6575,666,105417,44,100,38,59,258,274,579,770,500,233,498,376,135,73,3950,223,1529,74,2087,55,384,10514,39193,133,904,1277,23690,94,255,195,3374,67,308,3494,5569,622,1308,142,172,1044,283,50,185433,308,1111,162,401,1026,396,58,633,122,197,33,5972,87,74,49,102,3864,956,276,501,12633,852,243,971,1121,98,8732,21,49,79,870,41
1.0,63,478,116,36959,25,37318,265262,13777,9981,53,1258,1285,9375,574,400,3099,736,339,105,106,72817,292,1058,16722,32743,96,210,203,441,1144.0,815,2298,68779,1429,109,508,9633,2082,6930,299,611,12612,6780,69967,2918,13569,1150,269,85,39,4036,152,128,439,652,1213,813,2441,452,2324,73,256,1623,198,1759,158,14696,309,355,1579,552,164,27075,1598,141,97157.0,274,144,787,90,10796,126,240,5386,78,72,579,694,1289,1182,8250,7125,235,48,651,484,94906,328,157,8212,1122,155,49808,8323,2190,88073,203,2116,63,53,206,248,1268,908,4800,513,833,216,1392,188,2897,142,561,74,5781,116,454,3489,57366,120,470,548,273,120,148,6059,2377,523,377,5257,3199,685,803,137,436,477,196,70,192356,282,129,96,800,595,197,146,459,4450,107,376,491,200,59,117,73,749,593,2320,249,2191,809,275,1122,398,105,11363,35,169,477,644,72
1.0,72,175,105,85477,75,36299,222206,31849,35874,25,1806,2336,20072,860,139,3273,463,55,240,113,82854,250,654,15270,275,42,59,151,290,602.0,1582,1226,72824,1647,229,655,13956,2398,48,330,2141,17362,657,53309,9946,27193,3304,80,144,88,10497,81,166,363,1277,1555,535,2075,408,1758,78,107,1154,109,1164,97,32160,956,909,191,103,26,50587,2221,54,62941.0,279,171,384,100,30120,183,283,3136,98,43,535,1739,639,580,8035,3817,304,56,212,583,56460,236,67,10582,883,96,57785,3910,353,103688,159,616,38,39,169,259,923,1155,466,230,480,179,1596,33,5870,281,2229,49,6946,208,610,7460,61136,45,300,1191,329,68,152,657,2305,551,128,1729,3311,480,799,45,97,516,110,56,119464,121,46,73,725,391,281,72,388,3265,56,43,11946,281,40,165,42,3686,1258,70,279,16234,1514,139,595,160,110,13903,47,135,121,811,46
1.0,274,121,193,58255,78,29692,120416,30514,29376,29,250,1364,15614,158,109,1471,222,58,166,34,51550,486,2338,19827,30,52,57,151,74,864.0,29,1099,49415,301,131,320,12729,2050,56,124,2483,10400,1176,46581,11950,22522,2970,101,45,64,4926,154,121,602,486,903,1123,2246,303,4788,109,276,1038,162,955,274,19627,922,811,471,59,198,43996,865,49,50487.0,83,441,271,140,22399,241,180,2460,40,104,372,426,1059,1301,5543,15163,145,56,361,311,78257,275,133,10444,542,113,29410,8339,254,402194,155,583,132,44,165,169,998,1778,989,513,383,98,2912,205,2876,98,143,96,8193,388,824,9115,48568,101,473,719,203,76,856,832,1535,874,2035,4088,3573,621,699,79,194,678,213,42,111608,404,27,133,1090,375,246,187,44,2995,33,109,4409,352,50,28,79,3508,451,42,400,11552,510,147,470,98,31,5309,61,95,320,323,92
1.0,204,201,211,53349,71,17100,209950,23264,27552,75,418,3875,19278,899,161,1929,506,144,182,93,70714,344,1450,17941,288,143,108,281,259,2575.0,675,1297,49065,777,123,179,11657,2897,8644,385,4739,16002,1042,51363,882,16425,2862,176,69,114,4010,111,156,395,821,1124,464,2205,498,5450,63,138,2863,263,1444,186,25462,846,585,620,291,69,34375,1441,62,85709.0,477,93,434,95,14941,144,231,4021,49,131,431,700,500,1413,5437,4785,217,54,423,616,95407,488,113,15664,1238,96,51359,4835,383,130640,104,392,66,65,86,345,569,1328,652,207,436,199,2106,108,4610,243,2869,83,5261,857,640,5290,82641,56,622,886,273,155,21,1227,2210,484,61,2934,3851,434,731,230,182,1341,305,31,201737,198,67,96,1109,1140,38,152,250,3102,61,83,1002,680,97,110,146,1634,837,83,329,6828,400,159,1059,465,69,12214,73,131,259,754,41
1.0,246,207,263,65822,141,14002,57304,20113,27770,111,549,4029,20036,1925,219,3226,271,153,260,45,115695,410,3470,27920,120,102,41,149,139,983.0,540,1102,34985,455,154,585,12622,9617,219,282,4171,24331,628,56071,9746,26022,6686,85,99,164,4879,148,135,540,1424,2096,1056,1689,509,2302,154,346,2815,241,1822,203,25923,1727,2021,762,73,125,33418,11071,92,92435.0,153,455,365,227,18368,233,202,4032,58,1248,457,604,2515,1942,6102,11374,351,69,715,361,107691,474,85,15228,1504,108,46055,8484,578,163840,114,459,97,69,126,306,379,1638,812,411,529,194,2910,219,2429,271,1720,55,7689,142,1524,10133,109582,126,928,1770,332,134,194,628,3159,556,2701,6399,4055,1291,1092,134,254,1320,130,57,147268,391,77,46,1715,1173,489,175,83,3595,57,107,6672,682,51,74,72,2393,652,32,652,9031,406,127,643,166,22,7182,95,173,383,636,31
1.0,214,136,138,79730,76,21052,161924,22768,30407,41,637,2466,22982,1240,339,5011,277,114,224,77,81718,223,1452,30237,72,134,90,138,137,925.0,698,1089,50264,1692,104,352,16399,2589,60,226,737,13785,967,49482,5492,26925,1768,117,109,76,4509,122,104,331,587,1270,1386,1945,449,7472,129,256,2748,172,1028,141,24296,592,424,377,114,141,48107,1193,153,89047.0,231,61,320,70,28256,173,390,5694,51,80,439,417,1255,1818,4713,16561,277,72,528,403,97010,541,123,8857,1227,48,24842,14975,303,144773,172,490,83,95,198,247,652,1472,986,286,348,193,2650,203,2918,150,1585,147,8262,425,962,8309,72769,194,667,841,307,80,226,967,2269,717,242,5474,4540,721,755,99,179,1036,229,134,154176,260,86,73,1462,885,385,121,93,3141,85,73,1079,622,82,157,104,2967,889,75,357,8929,510,91,489,344,55,6911,57,184,519,347,58
1.0,85,335,157,72662,147,25671,218251,22266,19765,59,682,2119,16785,3083,310,4780,252,95,211,47,69957,157,1469,20663,19999,80,41,139,400,1040.0,777,1099,80585,417,154,335,11954,1727,53,307,1508,15526,467,47234,9221,23769,4369,93,43,31,7573,64,45,245,1402,1500,573,2233,352,10118,169,745,2955,380,1123,158,26413,937,1894,124,484,126,52634,3604,61,123068.0,384,161,392,169,26440,155,345,7583,34,68,420,542,1347,1403,6027,5657,328,64,527,386,61996,406,142,19417,1266,38,30249,10201,216,90315,137,220,102,44,199,314,810,1299,1159,317,504,233,1816,205,3950,226,1690,49,11502,452,591,7068,41845,277,595,1515,206,71,320,467,1668,416,271,4561,2989,922,711,80,159,489,228,69,156395,181,36,78,1003,407,35,134,37,1726,43,1032,4661,310,44,75,139,2130,842,555,302,12146,876,142,664,259,113,5281,51,62,901,400,47
1.0,124,117,111,57140,221,26348,242865,26130,27336,54,528,738,25294,300,171,3202,355,133,205,27,55146,254,690,23143,43,53,23,86,137,1619.0,586,1086,54791,476,200,282,11571,1577,51,151,954,10097,1014,49769,1798,30676,1778,80,54,64,12709,10,77,327,708,949,514,2792,167,1772,103,194,2161,163,524,124,32864,553,541,722,263,95,36928,956,60,149488.0,166,128,345,128,20682,144,186,4630,43,38,440,297,1549,1947,8285,1789,190,62,343,109,81620,396,157,11223,1112,43,43063,9478,142,112631,134,190,34,27,109,177,663,1117,624,453,485,164,1794,138,4014,155,1454,80,6804,97,653,5006,28324,107,344,380,183,66,281,1121,1853,504,232,3012,4106,419,684,54,183,441,312,72,167896,138,31,49,853,437,56,127,64,3177,27,61,1528,226,41,112,72,2628,591,60,311,22654,1759,118,715,117,74,9749,25,13,389,504,44
