Est,Fs_num,Sel_way,Fs_inner,Norm,Miss_vals,Splits,Rnds,Class_blnc,Scoring,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed
CatBoostClassifier,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.495,0.06,0.009,0.391,0.582,0.506,0.479,0.511,0.476,0.516,0.835,0.026,0.004,0.789,0.872,0.839,0.828,0.841,0.827,0.848,0.752,0.029,0.004,0.702,0.794,0.757,0.744,0.76,0.744,0.761,0.741,0.03,0.004,0.686,0.785,0.744,0.732,0.749,0.733,0.751,0.644,0.052,0.007,0.553,0.719,0.65,0.63,0.658,0.62,0.668,0.76,0.037,0.005,0.706,0.821,0.761,0.749,0.769,0.748,0.773,0.696,0.04,0.006,0.624,0.755,0.699,0.685,0.707,0.687,0.711,0.798,0.032,0.005,0.743,0.84,0.797,0.789,0.806,0.79,0.806,0.837,0.029,0.004,0.793,0.881,0.831,0.83,0.845,0.826,0.843
ElasticNet,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.398,0.053,0.008,0.323,0.483,0.4,0.383,0.413,0.384,0.409,0.77,0.026,0.004,0.726,0.811,0.773,0.763,0.777,0.764,0.781,0.705,0.025,0.004,0.669,0.746,0.707,0.699,0.712,0.697,0.712,0.692,0.026,0.004,0.653,0.734,0.691,0.685,0.699,0.686,0.7,0.575,0.046,0.007,0.5,0.639,0.58,0.563,0.587,0.566,0.591,0.706,0.037,0.005,0.653,0.77,0.705,0.697,0.716,0.691,0.72,0.633,0.036,0.005,0.573,0.685,0.634,0.622,0.643,0.625,0.647,0.729,0.035,0.005,0.666,0.781,0.731,0.719,0.739,0.717,0.743,0.809,0.033,0.005,0.747,0.86,0.808,0.8,0.818,0.799,0.814
GaussianNB,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.166,0.055,0.008,0.08,0.255,0.169,0.15,0.181,0.144,0.187,0.598,0.044,0.006,0.539,0.694,0.594,0.586,0.61,0.577,0.606,0.535,0.024,0.003,0.497,0.571,0.536,0.527,0.541,0.524,0.547,0.568,0.024,0.003,0.533,0.605,0.57,0.562,0.575,0.558,0.578,0.864,0.027,0.004,0.82,0.902,0.864,0.857,0.872,0.86,0.869,0.486,0.015,0.002,0.462,0.509,0.487,0.482,0.49,0.48,0.494,0.622,0.018,0.003,0.593,0.651,0.623,0.617,0.627,0.615,0.628,0.507,0.036,0.005,0.464,0.59,0.501,0.498,0.518,0.49,0.511,0.272,0.034,0.005,0.206,0.323,0.273,0.263,0.281,0.262,0.288
GaussianProcessClassifier,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.438,0.051,0.007,0.364,0.509,0.439,0.424,0.451,0.425,0.456,0.769,0.028,0.004,0.721,0.804,0.769,0.762,0.777,0.763,0.775,0.725,0.024,0.003,0.689,0.759,0.725,0.718,0.732,0.718,0.731,0.712,0.025,0.004,0.675,0.749,0.712,0.705,0.719,0.706,0.718,0.602,0.043,0.006,0.533,0.668,0.606,0.59,0.615,0.588,0.615,0.729,0.032,0.005,0.685,0.78,0.729,0.721,0.738,0.714,0.736,0.659,0.034,0.005,0.605,0.708,0.662,0.649,0.668,0.648,0.668,0.752,0.031,0.004,0.7,0.793,0.756,0.743,0.76,0.746,0.763,0.822,0.025,0.004,0.785,0.869,0.82,0.815,0.829,0.814,0.828
GradientBoostingClassifier,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.449,0.058,0.008,0.35,0.539,0.446,0.433,0.465,0.432,0.47,0.809,0.028,0.004,0.766,0.847,0.816,0.802,0.817,0.802,0.823,0.73,0.028,0.004,0.683,0.774,0.728,0.723,0.738,0.722,0.741,0.72,0.029,0.004,0.668,0.764,0.72,0.712,0.728,0.711,0.731,0.633,0.05,0.007,0.546,0.697,0.635,0.619,0.645,0.624,0.657,0.724,0.036,0.005,0.668,0.783,0.723,0.714,0.734,0.708,0.732,0.674,0.038,0.005,0.607,0.73,0.677,0.663,0.685,0.661,0.689,0.773,0.035,0.005,0.718,0.824,0.776,0.763,0.782,0.762,0.783,0.807,0.032,0.005,0.753,0.858,0.805,0.798,0.816,0.797,0.82
KNeighborsClassifier,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.412,0.055,0.008,0.334,0.501,0.416,0.397,0.427,0.385,0.439,0.764,0.028,0.004,0.72,0.805,0.766,0.756,0.771,0.752,0.771,0.711,0.027,0.004,0.671,0.753,0.712,0.704,0.718,0.696,0.724,0.705,0.028,0.004,0.666,0.749,0.707,0.698,0.713,0.691,0.719,0.657,0.042,0.006,0.58,0.715,0.663,0.646,0.668,0.646,0.678,0.68,0.032,0.005,0.63,0.723,0.676,0.671,0.689,0.664,0.693,0.668,0.033,0.005,0.613,0.719,0.673,0.658,0.677,0.659,0.682,0.699,0.032,0.005,0.653,0.752,0.695,0.69,0.708,0.688,0.714,0.753,0.029,0.004,0.709,0.797,0.753,0.745,0.761,0.738,0.765
LGBMClassifier,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.498,0.05,0.007,0.423,0.568,0.489,0.484,0.511,0.472,0.525,0.83,0.024,0.003,0.795,0.868,0.834,0.824,0.837,0.822,0.841,0.754,0.024,0.003,0.718,0.788,0.749,0.747,0.76,0.741,0.767,0.745,0.026,0.004,0.706,0.78,0.742,0.737,0.752,0.729,0.76,0.667,0.045,0.006,0.591,0.737,0.67,0.653,0.68,0.646,0.686,0.75,0.029,0.004,0.704,0.79,0.752,0.742,0.758,0.741,0.761,0.705,0.033,0.005,0.655,0.751,0.702,0.696,0.715,0.69,0.723,0.797,0.031,0.004,0.747,0.84,0.799,0.789,0.805,0.788,0.808,0.822,0.025,0.004,0.773,0.855,0.826,0.815,0.83,0.814,0.831
LinearDiscriminantAnalysis,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.331,0.056,0.008,0.236,0.406,0.329,0.315,0.346,0.311,0.364,0.691,0.031,0.004,0.643,0.737,0.694,0.683,0.7,0.679,0.703,0.669,0.027,0.004,0.624,0.705,0.667,0.662,0.676,0.656,0.685,0.666,0.028,0.004,0.618,0.703,0.665,0.658,0.673,0.655,0.683,0.636,0.046,0.007,0.569,0.704,0.635,0.623,0.649,0.613,0.659,0.624,0.03,0.004,0.581,0.67,0.624,0.616,0.633,0.613,0.637,0.63,0.033,0.005,0.579,0.678,0.636,0.62,0.638,0.615,0.641,0.591,0.036,0.005,0.538,0.644,0.59,0.582,0.602,0.577,0.602,0.695,0.034,0.005,0.64,0.757,0.692,0.685,0.704,0.689,0.698
LogisticRegression,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.407,0.049,0.007,0.328,0.488,0.405,0.394,0.421,0.395,0.425,0.774,0.025,0.004,0.73,0.814,0.778,0.767,0.781,0.766,0.783,0.71,0.023,0.003,0.673,0.749,0.709,0.703,0.716,0.705,0.718,0.697,0.024,0.003,0.659,0.736,0.697,0.691,0.704,0.69,0.706,0.586,0.044,0.006,0.514,0.66,0.584,0.575,0.598,0.573,0.606,0.71,0.034,0.005,0.656,0.758,0.712,0.7,0.719,0.701,0.718,0.641,0.033,0.005,0.59,0.692,0.638,0.632,0.65,0.63,0.652,0.732,0.035,0.005,0.673,0.791,0.738,0.723,0.742,0.718,0.751,0.808,0.031,0.004,0.758,0.855,0.811,0.8,0.817,0.802,0.82
RandomForestClassifier,511,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.46,0.058,0.008,0.383,0.571,0.463,0.443,0.477,0.441,0.478,0.818,0.029,0.004,0.772,0.867,0.819,0.811,0.827,0.808,0.832,0.735,0.028,0.004,0.698,0.787,0.736,0.728,0.743,0.727,0.742,0.72,0.029,0.004,0.681,0.774,0.722,0.712,0.728,0.711,0.726,0.589,0.044,0.006,0.514,0.66,0.591,0.576,0.602,0.577,0.606,0.759,0.04,0.006,0.694,0.833,0.762,0.749,0.771,0.743,0.776,0.663,0.039,0.006,0.603,0.733,0.665,0.652,0.673,0.645,0.672,0.783,0.033,0.005,0.725,0.83,0.789,0.775,0.793,0.775,0.797,0.851,0.028,0.004,0.799,0.901,0.855,0.843,0.859,0.846,0.86
