Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.387,0.054,0.008,0.392,0.371,0.4,0.375,0.405,0.573,0.051,0.007,0.584,0.559,0.587,0.555,0.591,0.801,0.037,0.005,0.802,0.791,0.81,0.791,0.814,0.7,0.026,0.004,0.702,0.693,0.707,0.693,0.709,0.687,0.027,0.004,0.693,0.679,0.694,0.681,0.698,0.697,0.039,0.006,0.7,0.687,0.708,0.683,0.711,0.628,0.038,0.005,0.634,0.617,0.638,0.619,0.645,0.753,0.029,0.004,0.754,0.745,0.761,0.745,0.762,0.73,0.034,0.005,0.735,0.72,0.739,0.724,0.739
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.331,0.043,0.006,0.333,0.319,0.344,0.322,0.347,0.504,0.042,0.006,0.507,0.492,0.514,0.493,0.526,0.809,0.031,0.004,0.808,0.8,0.817,0.799,0.814,0.674,0.02,0.003,0.675,0.668,0.679,0.669,0.68,0.656,0.021,0.003,0.656,0.651,0.662,0.651,0.666,0.679,0.034,0.005,0.68,0.669,0.688,0.668,0.689,0.577,0.032,0.005,0.584,0.568,0.586,0.572,0.592,0.713,0.025,0.004,0.708,0.706,0.72,0.702,0.718,0.671,0.031,0.004,0.681,0.662,0.68,0.659,0.685
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.292,0.055,0.008,0.296,0.277,0.308,0.275,0.311,0.609,0.134,0.019,0.568,0.573,0.646,0.533,0.643,0.673,0.147,0.021,0.73,0.631,0.713,0.663,0.759,0.644,0.034,0.005,0.649,0.635,0.654,0.634,0.657,0.641,0.027,0.004,0.644,0.633,0.648,0.634,0.652,0.612,0.06,0.009,0.613,0.596,0.63,0.591,0.638,0.597,0.048,0.007,0.605,0.583,0.61,0.592,0.618,0.702,0.027,0.004,0.707,0.695,0.709,0.692,0.716,0.633,0.035,0.005,0.629,0.624,0.642,0.623,0.646
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.33,0.044,0.006,0.323,0.318,0.342,0.316,0.347,0.503,0.039,0.006,0.507,0.493,0.514,0.489,0.518,0.808,0.029,0.004,0.802,0.801,0.817,0.802,0.82,0.673,0.02,0.003,0.67,0.668,0.679,0.667,0.681,0.656,0.021,0.003,0.654,0.65,0.662,0.65,0.664,0.677,0.034,0.005,0.674,0.668,0.687,0.664,0.688,0.577,0.031,0.004,0.577,0.569,0.585,0.568,0.59,0.718,0.026,0.004,0.719,0.711,0.726,0.707,0.725,0.691,0.032,0.005,0.696,0.683,0.7,0.679,0.709
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.365,0.057,0.008,0.364,0.348,0.381,0.346,0.398,0.582,0.057,0.008,0.588,0.566,0.597,0.566,0.606,0.774,0.043,0.006,0.767,0.762,0.786,0.756,0.788,0.689,0.027,0.004,0.688,0.682,0.696,0.679,0.704,0.678,0.028,0.004,0.679,0.67,0.686,0.669,0.689,0.674,0.04,0.006,0.668,0.662,0.685,0.659,0.692,0.623,0.039,0.006,0.625,0.612,0.634,0.612,0.637,0.742,0.03,0.004,0.743,0.734,0.75,0.734,0.755,0.711,0.033,0.005,0.715,0.702,0.721,0.705,0.726
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.352,0.051,0.007,0.347,0.337,0.366,0.34,0.367,0.573,0.047,0.007,0.569,0.56,0.586,0.553,0.584,0.77,0.045,0.006,0.767,0.758,0.781,0.762,0.785,0.683,0.025,0.004,0.681,0.676,0.689,0.675,0.689,0.671,0.025,0.004,0.673,0.664,0.678,0.666,0.681,0.667,0.041,0.006,0.659,0.656,0.677,0.648,0.678,0.615,0.032,0.005,0.617,0.606,0.624,0.604,0.627,0.728,0.029,0.004,0.724,0.72,0.736,0.719,0.736,0.686,0.033,0.005,0.691,0.677,0.695,0.683,0.702
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.368,0.05,0.007,0.373,0.355,0.382,0.348,0.386,0.578,0.059,0.008,0.579,0.563,0.595,0.562,0.601,0.78,0.042,0.006,0.779,0.768,0.792,0.762,0.797,0.691,0.024,0.003,0.693,0.685,0.697,0.68,0.7,0.679,0.025,0.004,0.683,0.672,0.686,0.672,0.689,0.679,0.036,0.005,0.676,0.669,0.688,0.663,0.693,0.622,0.038,0.005,0.625,0.612,0.633,0.612,0.634,0.744,0.027,0.004,0.749,0.737,0.752,0.733,0.754,0.718,0.032,0.005,0.723,0.71,0.727,0.706,0.729
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.33,0.048,0.007,0.334,0.317,0.344,0.316,0.347,0.513,0.044,0.006,0.518,0.5,0.525,0.496,0.533,0.801,0.029,0.004,0.799,0.793,0.809,0.791,0.808,0.673,0.022,0.003,0.675,0.667,0.68,0.667,0.682,0.657,0.024,0.003,0.659,0.65,0.663,0.65,0.666,0.672,0.035,0.005,0.675,0.663,0.682,0.657,0.686,0.581,0.035,0.005,0.581,0.571,0.59,0.575,0.596,0.714,0.026,0.004,0.712,0.707,0.722,0.703,0.717,0.672,0.032,0.005,0.679,0.663,0.68,0.663,0.685
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.327,0.047,0.007,0.333,0.314,0.34,0.315,0.35,0.509,0.043,0.006,0.511,0.498,0.52,0.496,0.527,0.801,0.03,0.004,0.802,0.792,0.81,0.791,0.811,0.672,0.022,0.003,0.675,0.665,0.678,0.665,0.683,0.655,0.023,0.003,0.66,0.649,0.662,0.649,0.666,0.672,0.034,0.005,0.668,0.662,0.681,0.66,0.687,0.578,0.034,0.005,0.584,0.569,0.587,0.568,0.594,0.716,0.025,0.004,0.712,0.71,0.723,0.705,0.725,0.674,0.03,0.004,0.676,0.665,0.682,0.662,0.685
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.4,0.048,0.007,0.391,0.387,0.413,0.379,0.411,0.578,0.045,0.006,0.584,0.566,0.59,0.564,0.606,0.809,0.034,0.005,0.805,0.799,0.819,0.797,0.808,0.706,0.023,0.003,0.702,0.7,0.713,0.697,0.712,0.693,0.023,0.003,0.693,0.687,0.7,0.683,0.699,0.708,0.037,0.005,0.702,0.698,0.719,0.688,0.712,0.635,0.033,0.005,0.639,0.626,0.643,0.623,0.651,0.756,0.031,0.004,0.758,0.747,0.765,0.748,0.764,0.736,0.033,0.005,0.74,0.726,0.745,0.727,0.747
