Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.501,0.237,0.034,0.493,0.435,0.565,0.467,0.633,0.826,0.14,0.02,0.857,0.782,0.861,0.714,0.857,0.652,0.199,0.028,0.6,0.596,0.704,0.6,0.8,0.752,0.114,0.016,0.75,0.718,0.784,0.727,0.784,0.739,0.118,0.017,0.733,0.706,0.773,0.717,0.8,0.772,0.11,0.016,0.764,0.74,0.803,0.714,0.833,0.79,0.1,0.014,0.789,0.763,0.817,0.739,0.845,0.827,0.11,0.016,0.814,0.798,0.857,0.771,0.871,0.875,0.084,0.012,0.877,0.852,0.899,0.844,0.916
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.375,0.295,0.042,0.33,0.298,0.457,0.293,0.478,0.84,0.145,0.021,0.857,0.799,0.881,0.833,0.857,0.508,0.227,0.032,0.6,0.444,0.568,0.4,0.6,0.699,0.131,0.019,0.667,0.663,0.736,0.667,0.75,0.674,0.137,0.02,0.657,0.635,0.713,0.629,0.708,0.705,0.106,0.015,0.683,0.677,0.733,0.667,0.714,0.761,0.108,0.015,0.75,0.731,0.789,0.726,0.8,0.795,0.13,0.019,0.814,0.76,0.832,0.769,0.831,0.865,0.093,0.013,0.871,0.838,0.889,0.84,0.907
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.458,0.24,0.034,0.478,0.394,0.525,0.397,0.523,0.862,0.11,0.016,0.857,0.83,0.891,0.857,0.857,0.564,0.222,0.032,0.6,0.504,0.624,0.6,0.6,0.735,0.109,0.016,0.75,0.705,0.763,0.697,0.75,0.713,0.118,0.017,0.717,0.68,0.746,0.679,0.729,0.74,0.108,0.015,0.714,0.711,0.773,0.7,0.75,0.79,0.084,0.012,0.8,0.768,0.815,0.76,0.812,0.767,0.128,0.018,0.8,0.731,0.804,0.714,0.829,0.826,0.107,0.015,0.83,0.798,0.853,0.8,0.867
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.457,0.291,0.042,0.478,0.383,0.539,0.314,0.529,0.831,0.147,0.021,0.857,0.79,0.871,0.774,0.857,0.6,0.219,0.031,0.6,0.54,0.66,0.6,0.7,0.733,0.138,0.02,0.75,0.693,0.773,0.667,0.75,0.716,0.143,0.02,0.723,0.677,0.753,0.645,0.757,0.746,0.121,0.017,0.732,0.711,0.777,0.667,0.806,0.78,0.117,0.017,0.789,0.749,0.812,0.75,0.824,0.813,0.127,0.018,0.8,0.778,0.848,0.771,0.886,0.882,0.084,0.012,0.888,0.858,0.903,0.862,0.922
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.398,0.242,0.035,0.371,0.33,0.463,0.314,0.478,0.751,0.176,0.025,0.833,0.702,0.799,0.714,0.857,0.628,0.188,0.027,0.6,0.576,0.684,0.6,0.6,0.698,0.119,0.017,0.667,0.667,0.732,0.667,0.75,0.689,0.118,0.017,0.686,0.656,0.722,0.657,0.729,0.742,0.116,0.017,0.732,0.711,0.775,0.714,0.75,0.734,0.121,0.017,0.75,0.697,0.769,0.714,0.785,0.762,0.131,0.019,0.764,0.726,0.801,0.707,0.829,0.825,0.103,0.015,0.834,0.795,0.854,0.78,0.863
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.538,0.235,0.034,0.493,0.471,0.603,0.478,0.657,0.8,0.149,0.021,0.857,0.754,0.838,0.774,0.857,0.724,0.187,0.027,0.8,0.668,0.78,0.6,0.8,0.767,0.115,0.016,0.75,0.734,0.798,0.75,0.818,0.762,0.118,0.017,0.729,0.729,0.793,0.723,0.829,0.808,0.121,0.017,0.775,0.776,0.843,0.75,0.857,0.794,0.11,0.016,0.8,0.76,0.825,0.769,0.833,0.823,0.129,0.018,0.843,0.786,0.858,0.786,0.886,0.849,0.122,0.017,0.891,0.816,0.884,0.8,0.922
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.395,0.248,0.035,0.359,0.325,0.458,0.311,0.493,0.747,0.18,0.026,0.774,0.69,0.798,0.714,0.857,0.632,0.189,0.027,0.6,0.58,0.688,0.6,0.7,0.698,0.122,0.017,0.667,0.666,0.733,0.667,0.75,0.69,0.12,0.017,0.671,0.654,0.723,0.633,0.743,0.738,0.117,0.017,0.714,0.706,0.771,0.69,0.778,0.731,0.131,0.019,0.739,0.692,0.768,0.714,0.769,0.753,0.139,0.02,0.75,0.712,0.791,0.7,0.815,0.817,0.11,0.016,0.827,0.785,0.847,0.769,0.861
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.457,0.251,0.036,0.478,0.385,0.522,0.33,0.512,0.802,0.154,0.022,0.845,0.759,0.846,0.714,0.857,0.632,0.197,0.028,0.6,0.58,0.684,0.6,0.8,0.73,0.123,0.018,0.75,0.695,0.761,0.667,0.75,0.717,0.124,0.018,0.714,0.681,0.751,0.657,0.743,0.755,0.115,0.016,0.75,0.724,0.784,0.7,0.789,0.77,0.113,0.016,0.785,0.739,0.804,0.75,0.8,0.791,0.132,0.019,0.8,0.752,0.828,0.755,0.829,0.863,0.094,0.013,0.864,0.834,0.888,0.839,0.911
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.391,0.297,0.042,0.364,0.307,0.472,0.304,0.478,0.827,0.146,0.021,0.857,0.79,0.866,0.833,0.857,0.544,0.247,0.035,0.6,0.476,0.612,0.4,0.6,0.706,0.133,0.019,0.667,0.671,0.744,0.667,0.75,0.685,0.141,0.02,0.671,0.649,0.722,0.629,0.723,0.722,0.12,0.017,0.714,0.69,0.755,0.667,0.75,0.763,0.111,0.016,0.75,0.733,0.79,0.714,0.8,0.797,0.122,0.017,0.8,0.766,0.831,0.769,0.857,0.87,0.087,0.012,0.879,0.844,0.892,0.846,0.909
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.467,0.246,0.035,0.478,0.398,0.53,0.314,0.507,0.843,0.121,0.017,0.857,0.813,0.878,0.833,0.857,0.6,0.208,0.03,0.6,0.544,0.66,0.6,0.6,0.739,0.112,0.016,0.75,0.708,0.772,0.667,0.75,0.722,0.118,0.017,0.723,0.689,0.753,0.657,0.743,0.75,0.104,0.015,0.75,0.723,0.778,0.714,0.764,0.788,0.091,0.013,0.769,0.763,0.813,0.75,0.8,0.796,0.122,0.017,0.786,0.761,0.83,0.743,0.829,0.861,0.095,0.014,0.86,0.836,0.888,0.833,0.904
