Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.443,0.232,0.033,0.035,0.837,0.478,0.38,0.508,0.371,0.478,0.78,0.157,0.022,0.429,1.0,0.857,0.738,0.825,0.714,0.857,0.648,0.194,0.028,0.29,1.0,0.6,0.596,0.704,0.6,0.8,0.723,0.115,0.016,0.52,0.917,0.75,0.692,0.754,0.667,0.75,0.714,0.117,0.017,0.515,0.9,0.729,0.68,0.747,0.686,0.729,0.758,0.111,0.016,0.6,1.0,0.75,0.727,0.789,0.732,0.75,0.759,0.114,0.016,0.52,0.929,0.785,0.726,0.789,0.739,0.8,0.789,0.116,0.017,0.629,0.971,0.786,0.758,0.824,0.738,0.829,0.845,0.094,0.013,0.703,0.982,0.848,0.82,0.872,0.809,0.888
ElasticNet,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.483,0.238,0.034,0.095,0.837,0.478,0.418,0.55,0.419,0.529,0.865,0.123,0.018,0.614,1.0,0.857,0.829,0.897,0.857,0.857,0.584,0.203,0.029,0.2,0.8,0.6,0.528,0.64,0.6,0.6,0.745,0.113,0.016,0.583,0.917,0.75,0.713,0.775,0.697,0.75,0.724,0.118,0.017,0.541,0.9,0.729,0.691,0.757,0.7,0.731,0.746,0.102,0.015,0.6,0.875,0.75,0.718,0.774,0.707,0.764,0.795,0.092,0.013,0.667,0.933,0.8,0.768,0.821,0.764,0.824,0.835,0.124,0.018,0.613,1.0,0.833,0.801,0.865,0.829,0.886,0.896,0.079,0.011,0.76,1.0,0.897,0.874,0.916,0.883,0.948
GaussianNB,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.449,0.239,0.034,0.058,0.837,0.478,0.388,0.514,0.314,0.507,0.86,0.112,0.016,0.714,1.0,0.857,0.83,0.889,0.857,0.857,0.56,0.196,0.028,0.2,0.8,0.6,0.5,0.612,0.5,0.6,0.732,0.11,0.016,0.562,0.917,0.75,0.701,0.762,0.667,0.75,0.71,0.115,0.016,0.522,0.9,0.717,0.677,0.743,0.657,0.729,0.733,0.096,0.014,0.576,0.875,0.714,0.709,0.76,0.7,0.75,0.787,0.086,0.012,0.667,0.933,0.8,0.763,0.812,0.75,0.8,0.763,0.127,0.018,0.6,0.956,0.743,0.727,0.799,0.7,0.829,0.815,0.118,0.017,0.643,0.973,0.826,0.783,0.846,0.776,0.883
GaussianProcessClassifier,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.508,0.218,0.031,0.142,0.837,0.507,0.446,0.572,0.478,0.507,0.827,0.121,0.017,0.614,1.0,0.857,0.79,0.86,0.833,0.857,0.66,0.197,0.028,0.29,1.0,0.6,0.6,0.716,0.6,0.8,0.756,0.104,0.015,0.583,0.917,0.75,0.729,0.785,0.75,0.75,0.744,0.11,0.016,0.57,0.909,0.757,0.714,0.776,0.729,0.757,0.779,0.106,0.015,0.611,1.0,0.778,0.751,0.804,0.75,0.833,0.795,0.087,0.012,0.638,0.933,0.789,0.771,0.819,0.769,0.8,0.84,0.122,0.017,0.626,1.0,0.845,0.808,0.871,0.8,0.914,0.891,0.088,0.013,0.739,1.0,0.901,0.867,0.912,0.876,0.942
GradientBoostingClassifier,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.283,0.239,0.034,-0.136,0.671,0.293,0.216,0.349,0.253,0.314,0.722,0.169,0.024,0.429,1.0,0.714,0.672,0.768,0.667,0.857,0.544,0.223,0.032,0.2,0.91,0.6,0.488,0.604,0.4,0.6,0.646,0.11,0.016,0.434,0.833,0.667,0.617,0.675,0.61,0.667,0.633,0.114,0.016,0.438,0.816,0.631,0.601,0.663,0.614,0.657,0.698,0.12,0.017,0.5,0.936,0.69,0.664,0.734,0.667,0.714,0.695,0.107,0.015,0.533,0.867,0.714,0.663,0.723,0.667,0.721,0.729,0.135,0.019,0.527,0.974,0.714,0.691,0.768,0.669,0.8,0.809,0.098,0.014,0.66,0.983,0.806,0.781,0.839,0.767,0.856
KNeighborsClassifier,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.493,0.204,0.029,0.169,0.845,0.478,0.437,0.548,0.43,0.529,0.711,0.163,0.023,0.429,1.0,0.714,0.662,0.758,0.667,0.833,0.768,0.193,0.028,0.4,1.0,0.8,0.708,0.82,0.7,0.8,0.734,0.102,0.015,0.583,0.917,0.739,0.706,0.762,0.667,0.75,0.739,0.103,0.015,0.586,0.929,0.723,0.712,0.769,0.686,0.757,0.827,0.127,0.018,0.667,1.0,0.8,0.792,0.86,0.75,0.845,0.748,0.109,0.016,0.545,0.923,0.769,0.719,0.777,0.721,0.8,0.799,0.113,0.016,0.592,0.977,0.807,0.767,0.829,0.771,0.857,0.843,0.1,0.014,0.658,0.969,0.848,0.815,0.87,0.815,0.905
LGBMClassifier,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.427,0.252,0.036,-0.016,0.841,0.463,0.357,0.495,0.314,0.493,0.78,0.142,0.02,0.571,1.0,0.833,0.74,0.82,0.714,0.857,0.636,0.218,0.031,0.2,1.0,0.6,0.576,0.696,0.6,0.8,0.718,0.12,0.017,0.52,0.917,0.739,0.685,0.75,0.667,0.75,0.708,0.125,0.018,0.492,0.916,0.708,0.673,0.744,0.657,0.729,0.756,0.116,0.017,0.571,1.0,0.75,0.727,0.786,0.714,0.8,0.759,0.104,0.015,0.571,0.933,0.769,0.732,0.788,0.714,0.8,0.759,0.132,0.019,0.554,0.959,0.793,0.724,0.795,0.721,0.8,0.825,0.1,0.014,0.672,0.976,0.841,0.796,0.852,0.806,0.86
LinearDiscriminantAnalysis,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.551,0.214,0.031,0.225,0.837,0.552,0.491,0.609,0.507,0.657,0.767,0.133,0.019,0.571,1.0,0.714,0.729,0.801,0.714,0.833,0.776,0.182,0.026,0.4,1.0,0.8,0.72,0.824,0.8,0.8,0.77,0.103,0.015,0.621,0.917,0.75,0.742,0.798,0.75,0.833,0.772,0.106,0.015,0.605,0.909,0.771,0.741,0.8,0.757,0.829,0.837,0.117,0.017,0.667,1.0,0.833,0.804,0.868,0.817,0.857,0.791,0.092,0.013,0.667,0.933,0.769,0.766,0.817,0.769,0.833,0.872,0.102,0.015,0.699,1.0,0.893,0.843,0.899,0.857,0.938,0.919,0.065,0.009,0.787,1.0,0.935,0.902,0.936,0.915,0.957
LogisticRegression,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.579,0.237,0.034,0.1,0.845,0.645,0.514,0.644,0.507,0.67,0.786,0.146,0.021,0.571,1.0,0.774,0.746,0.826,0.714,0.857,0.784,0.191,0.027,0.6,1.0,0.8,0.728,0.836,0.8,0.8,0.783,0.115,0.016,0.562,0.917,0.818,0.752,0.815,0.75,0.833,0.785,0.117,0.017,0.548,0.929,0.8,0.751,0.818,0.757,0.829,0.847,0.126,0.018,0.63,1.0,0.857,0.812,0.882,0.833,0.875,0.804,0.104,0.015,0.638,0.933,0.833,0.777,0.834,0.769,0.857,0.864,0.101,0.014,0.67,1.0,0.886,0.835,0.893,0.857,0.914,0.915,0.068,0.01,0.778,1.0,0.937,0.894,0.934,0.903,0.948
RandomForestClassifier,full,chi2,29,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.476,0.199,0.028,0.142,0.837,0.478,0.422,0.532,0.463,0.512,0.814,0.143,0.02,0.571,1.0,0.857,0.772,0.855,0.833,0.857,0.636,0.173,0.025,0.29,0.8,0.6,0.588,0.68,0.6,0.6,0.738,0.097,0.014,0.583,0.917,0.75,0.712,0.762,0.727,0.75,0.725,0.096,0.014,0.57,0.9,0.729,0.7,0.752,0.708,0.75,0.76,0.094,0.013,0.611,0.875,0.75,0.736,0.787,0.732,0.778,0.777,0.091,0.013,0.615,0.929,0.8,0.752,0.802,0.769,0.8,0.799,0.123,0.018,0.6,0.971,0.8,0.766,0.832,0.757,0.857,0.848,0.106,0.015,0.67,0.982,0.875,0.818,0.877,0.792,0.909
