Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,29,minmax,median,5,10,Validation_score,0.806,0.12,0.017,0.829,0.772,0.84,0.771,0.857,0.741,0.111,0.016,0.75,0.71,0.771,0.667,0.784,0.729,0.117,0.017,0.729,0.696,0.761,0.657,0.786,0.814,0.127,0.018,0.857,0.78,0.85,0.714,0.857,0.77,0.12,0.017,0.75,0.738,0.804,0.714,0.8,0.783,0.093,0.013,0.8,0.757,0.809,0.721,0.8,0.858,0.096,0.014,0.879,0.831,0.885,0.842,0.911,0.644,0.213,0.03,0.6,0.58,0.7,0.6,0.702,0.478,0.237,0.034,0.478,0.409,0.544,0.346,0.598
CatBoostClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.834,0.112,0.016,0.829,0.804,0.864,0.8,0.883,0.767,0.11,0.016,0.75,0.736,0.797,0.75,0.833,0.755,0.112,0.016,0.742,0.726,0.786,0.723,0.8,0.835,0.149,0.021,0.857,0.79,0.874,0.833,0.857,0.79,0.114,0.016,0.778,0.761,0.82,0.75,0.817,0.802,0.099,0.014,0.8,0.775,0.829,0.769,0.857,0.88,0.085,0.012,0.876,0.855,0.904,0.851,0.91,0.676,0.196,0.028,0.6,0.624,0.728,0.6,0.8,0.54,0.227,0.032,0.518,0.48,0.6,0.478,0.677
ElasticNet,none,29,minmax,median,5,10,Validation_score,0.834,0.125,0.018,0.845,0.796,0.868,0.8,0.886,0.748,0.124,0.018,0.75,0.716,0.784,0.727,0.75,0.729,0.129,0.018,0.729,0.693,0.764,0.7,0.731,0.865,0.132,0.019,0.857,0.828,0.902,0.857,0.929,0.75,0.11,0.016,0.75,0.72,0.78,0.7,0.75,0.797,0.103,0.015,0.8,0.768,0.826,0.769,0.812,0.893,0.087,0.012,0.896,0.867,0.915,0.873,0.931,0.592,0.212,0.03,0.6,0.532,0.652,0.6,0.6,0.491,0.257,0.037,0.478,0.421,0.558,0.458,0.523
ElasticNet,mrmr,10,minmax,median,5,10,Validation_score,0.797,0.121,0.017,0.8,0.761,0.831,0.757,0.831,0.72,0.137,0.02,0.697,0.681,0.759,0.667,0.75,0.696,0.144,0.021,0.693,0.656,0.735,0.629,0.729,0.856,0.143,0.02,0.857,0.816,0.895,0.857,0.929,0.722,0.115,0.016,0.714,0.694,0.755,0.667,0.75,0.778,0.113,0.016,0.774,0.744,0.809,0.75,0.8,0.863,0.09,0.013,0.871,0.837,0.886,0.836,0.899,0.536,0.231,0.033,0.6,0.472,0.6,0.4,0.6,0.424,0.298,0.043,0.41,0.337,0.507,0.304,0.478
GaussianNB,none,29,minmax,median,5,10,Validation_score,0.763,0.127,0.018,0.743,0.726,0.798,0.7,0.829,0.732,0.11,0.016,0.75,0.701,0.761,0.667,0.75,0.71,0.115,0.016,0.717,0.68,0.741,0.657,0.729,0.86,0.112,0.016,0.857,0.826,0.89,0.857,0.857,0.733,0.096,0.014,0.714,0.705,0.76,0.7,0.75,0.787,0.086,0.012,0.8,0.763,0.81,0.76,0.8,0.815,0.118,0.017,0.826,0.781,0.848,0.79,0.893,0.56,0.196,0.028,0.6,0.504,0.62,0.5,0.6,0.449,0.239,0.034,0.478,0.382,0.517,0.314,0.512
GaussianNB,mrmr,10,minmax,median,5,10,Validation_score,0.767,0.128,0.018,0.8,0.73,0.802,0.714,0.814,0.735,0.109,0.016,0.75,0.707,0.765,0.697,0.75,0.713,0.118,0.017,0.717,0.681,0.744,0.7,0.729,0.862,0.11,0.016,0.857,0.83,0.891,0.857,0.857,0.74,0.108,0.015,0.714,0.71,0.77,0.7,0.75,0.79,0.084,0.012,0.8,0.766,0.812,0.76,0.812,0.826,0.107,0.015,0.83,0.795,0.856,0.799,0.864,0.564,0.222,0.032,0.6,0.5,0.624,0.5,0.6,0.458,0.24,0.034,0.478,0.386,0.53,0.397,0.516
GaussianProcessClassifier,none,29,minmax,median,5,10,Validation_score,0.84,0.122,0.017,0.845,0.809,0.873,0.8,0.91,0.756,0.104,0.015,0.75,0.726,0.785,0.75,0.75,0.744,0.11,0.016,0.757,0.714,0.773,0.729,0.757,0.827,0.121,0.017,0.857,0.797,0.861,0.833,0.857,0.779,0.106,0.015,0.778,0.749,0.807,0.75,0.833,0.795,0.087,0.012,0.789,0.773,0.819,0.769,0.8,0.891,0.088,0.013,0.901,0.866,0.915,0.875,0.938,0.66,0.197,0.028,0.6,0.608,0.712,0.6,0.8,0.508,0.218,0.031,0.507,0.449,0.568,0.478,0.507
GaussianProcessClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.813,0.127,0.018,0.8,0.774,0.846,0.771,0.886,0.733,0.138,0.02,0.75,0.695,0.772,0.667,0.75,0.716,0.143,0.02,0.723,0.676,0.755,0.657,0.757,0.831,0.147,0.021,0.857,0.787,0.868,0.774,0.857,0.746,0.121,0.017,0.732,0.711,0.782,0.683,0.806,0.78,0.117,0.017,0.789,0.75,0.812,0.75,0.824,0.882,0.084,0.012,0.888,0.859,0.905,0.862,0.925,0.6,0.219,0.031,0.6,0.536,0.664,0.6,0.7,0.457,0.291,0.042,0.478,0.366,0.54,0.314,0.529
GradientBoostingClassifier,none,29,minmax,median,5,10,Validation_score,0.745,0.14,0.02,0.743,0.706,0.784,0.7,0.814,0.688,0.119,0.017,0.667,0.656,0.72,0.667,0.739,0.681,0.12,0.017,0.657,0.648,0.716,0.657,0.7,0.73,0.168,0.024,0.714,0.682,0.775,0.714,0.833,0.739,0.129,0.018,0.714,0.705,0.773,0.7,0.75,0.723,0.119,0.017,0.714,0.689,0.755,0.714,0.769,0.794,0.121,0.017,0.794,0.758,0.826,0.743,0.848,0.632,0.197,0.028,0.6,0.58,0.688,0.6,0.6,0.38,0.244,0.035,0.314,0.312,0.447,0.314,0.478
GradientBoostingClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.798,0.123,0.018,0.8,0.763,0.832,0.771,0.845,0.724,0.105,0.015,0.727,0.696,0.754,0.667,0.75,0.722,0.106,0.015,0.723,0.692,0.751,0.686,0.733,0.74,0.164,0.023,0.714,0.694,0.786,0.714,0.774,0.783,0.11,0.016,0.75,0.752,0.814,0.714,0.8,0.749,0.11,0.016,0.76,0.719,0.779,0.714,0.769,0.843,0.107,0.015,0.851,0.813,0.875,0.826,0.886,0.704,0.184,0.026,0.8,0.656,0.752,0.6,0.8,0.459,0.211,0.03,0.478,0.402,0.519,0.371,0.507
