Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,1430,minmax,median,5,10,Validation_score,0.969,0.049,0.007,1.0,0.955,0.982,0.969,1.0,0.913,0.086,0.012,0.933,0.884,0.935,0.933,0.938,0.913,0.087,0.012,0.938,0.89,0.937,0.906,0.938,0.91,0.108,0.015,0.875,0.88,0.94,0.875,1.0,0.921,0.102,0.015,1.0,0.891,0.947,0.882,1.0,0.912,0.091,0.013,0.933,0.886,0.934,0.923,0.937,0.972,0.044,0.006,1.0,0.96,0.984,0.975,1.0,0.916,0.109,0.016,1.0,0.886,0.947,0.875,1.0,0.831,0.17,0.024,0.875,0.781,0.877,0.873,0.882
CatBoostClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.987,0.023,0.003,1.0,0.981,0.993,1.0,1.0,0.931,0.069,0.01,0.933,0.911,0.948,0.933,0.938,0.931,0.07,0.01,0.938,0.913,0.95,0.929,0.969,0.925,0.095,0.014,1.0,0.897,0.949,0.875,1.0,0.941,0.082,0.012,1.0,0.919,0.962,0.889,1.0,0.929,0.072,0.01,0.933,0.908,0.948,0.933,0.941,0.989,0.02,0.003,1.0,0.983,0.994,1.0,1.0,0.936,0.092,0.013,1.0,0.909,0.959,0.875,1.0,0.867,0.135,0.019,0.875,0.827,0.901,0.873,0.941
ElasticNet,none,1430,minmax,median,5,10,Validation_score,0.909,0.089,0.013,0.929,0.883,0.934,0.892,0.969,0.841,0.1,0.014,0.871,0.815,0.867,0.806,0.904,0.841,0.1,0.014,0.871,0.817,0.869,0.812,0.906,0.848,0.119,0.017,0.875,0.814,0.879,0.857,0.875,0.849,0.121,0.017,0.875,0.812,0.882,0.817,0.889,0.842,0.098,0.014,0.857,0.815,0.869,0.824,0.904,0.927,0.075,0.011,0.951,0.906,0.948,0.929,0.97,0.835,0.14,0.02,0.875,0.798,0.871,0.804,0.875,0.691,0.199,0.028,0.75,0.638,0.747,0.63,0.776
ElasticNet,mrmr,10,minmax,median,5,10,Validation_score,0.995,0.015,0.002,1.0,0.99,0.999,1.0,1.0,0.959,0.057,0.008,1.0,0.942,0.974,0.938,1.0,0.959,0.057,0.008,1.0,0.943,0.975,0.938,1.0,0.949,0.087,0.012,1.0,0.922,0.972,1.0,1.0,0.971,0.061,0.009,1.0,0.954,0.987,1.0,1.0,0.957,0.061,0.009,1.0,0.938,0.973,0.933,1.0,0.996,0.013,0.002,1.0,0.992,0.999,1.0,1.0,0.97,0.065,0.009,1.0,0.95,0.987,1.0,1.0,0.923,0.108,0.015,1.0,0.892,0.95,0.882,1.0
GaussianNB,none,1430,minmax,median,5,10,Validation_score,0.615,0.129,0.018,0.617,0.579,0.655,0.579,0.668,0.594,0.117,0.017,0.562,0.561,0.628,0.562,0.625,0.595,0.116,0.017,0.562,0.563,0.628,0.562,0.625,0.63,0.163,0.023,0.625,0.586,0.677,0.625,0.714,0.592,0.123,0.018,0.571,0.558,0.626,0.556,0.625,0.603,0.128,0.018,0.612,0.57,0.637,0.58,0.649,0.601,0.105,0.015,0.594,0.573,0.631,0.571,0.629,0.559,0.168,0.024,0.536,0.513,0.606,0.5,0.625,0.194,0.236,0.034,0.135,0.129,0.263,0.099,0.258
GaussianNB,mrmr,10,minmax,median,5,10,Validation_score,0.945,0.078,0.011,0.975,0.92,0.966,0.964,1.0,0.892,0.075,0.011,0.875,0.87,0.912,0.875,0.933,0.893,0.073,0.01,0.875,0.873,0.913,0.875,0.938,0.895,0.106,0.015,0.875,0.866,0.924,0.875,1.0,0.902,0.1,0.014,0.889,0.874,0.931,0.875,1.0,0.891,0.075,0.011,0.882,0.868,0.911,0.875,0.933,0.943,0.095,0.014,0.979,0.915,0.968,0.961,1.0,0.891,0.125,0.018,0.875,0.851,0.924,0.875,1.0,0.796,0.138,0.02,0.775,0.757,0.832,0.75,0.875
GaussianProcessClassifier,none,1430,minmax,median,5,10,Validation_score,0.472,0.114,0.016,0.487,0.439,0.503,0.438,0.516,0.528,0.113,0.016,0.5,0.496,0.56,0.5,0.548,0.529,0.112,0.016,0.5,0.498,0.562,0.5,0.562,0.54,0.164,0.023,0.5,0.498,0.587,0.5,0.598,0.534,0.132,0.019,0.5,0.496,0.571,0.5,0.563,0.528,0.123,0.018,0.533,0.495,0.562,0.5,0.588,0.525,0.079,0.011,0.524,0.504,0.547,0.5,0.532,0.517,0.167,0.024,0.5,0.474,0.572,0.5,0.5,0.062,0.234,0.033,0.0,-0.002,0.121,0.0,0.126
GaussianProcessClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.991,0.021,0.003,1.0,0.985,0.996,1.0,1.0,0.956,0.06,0.009,1.0,0.938,0.972,0.938,1.0,0.957,0.059,0.008,1.0,0.942,0.972,0.938,1.0,0.949,0.084,0.012,1.0,0.925,0.97,1.0,1.0,0.967,0.068,0.01,1.0,0.946,0.984,1.0,1.0,0.955,0.061,0.009,1.0,0.937,0.971,0.933,1.0,0.993,0.017,0.002,1.0,0.987,0.997,1.0,1.0,0.965,0.076,0.011,1.0,0.944,0.985,1.0,1.0,0.918,0.114,0.016,1.0,0.882,0.947,0.882,1.0
GradientBoostingClassifier,none,1430,minmax,median,5,10,Validation_score,0.79,0.112,0.016,0.8,0.759,0.823,0.75,0.83,0.741,0.119,0.017,0.75,0.705,0.774,0.71,0.812,0.742,0.119,0.017,0.75,0.709,0.774,0.71,0.812,0.71,0.157,0.022,0.75,0.668,0.75,0.714,0.75,0.765,0.147,0.021,0.778,0.725,0.806,0.75,0.806,0.729,0.133,0.019,0.75,0.69,0.766,0.71,0.8,0.782,0.122,0.017,0.782,0.748,0.815,0.738,0.836,0.773,0.146,0.021,0.75,0.731,0.815,0.75,0.866,0.491,0.242,0.035,0.5,0.423,0.561,0.434,0.63
GradientBoostingClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.873,0.099,0.014,0.9,0.843,0.9,0.863,0.929,0.821,0.105,0.015,0.867,0.789,0.848,0.812,0.875,0.821,0.106,0.015,0.866,0.79,0.849,0.812,0.875,0.8,0.149,0.021,0.857,0.757,0.838,0.75,0.875,0.839,0.122,0.017,0.857,0.804,0.872,0.828,0.875,0.813,0.119,0.017,0.857,0.78,0.845,0.812,0.875,0.858,0.108,0.015,0.875,0.825,0.889,0.822,0.919,0.841,0.117,0.017,0.875,0.81,0.873,0.804,0.875,0.649,0.212,0.03,0.732,0.586,0.702,0.63,0.75
