Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,none,1430,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.968,0.046,0.007,0.982,0.955,0.98,0.969,1.0,0.901,0.07,0.01,0.904,0.88,0.921,0.875,0.938,0.901,0.07,0.01,0.902,0.881,0.921,0.875,0.938,0.891,0.103,0.015,0.875,0.86,0.919,0.875,0.939,0.92,0.096,0.014,1.0,0.891,0.946,0.889,1.0,0.899,0.071,0.01,0.906,0.879,0.918,0.875,0.933,0.972,0.044,0.006,0.986,0.958,0.983,0.975,1.0,0.911,0.11,0.016,1.0,0.88,0.941,0.875,1.0,0.812,0.136,0.019,0.824,0.775,0.848,0.764,0.882
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.991,0.017,0.002,1.0,0.986,0.995,1.0,1.0,0.96,0.055,0.008,1.0,0.945,0.975,0.938,1.0,0.961,0.055,0.008,1.0,0.944,0.974,0.938,1.0,0.964,0.067,0.01,1.0,0.944,0.982,1.0,1.0,0.959,0.065,0.009,1.0,0.94,0.976,1.0,1.0,0.96,0.055,0.008,1.0,0.944,0.976,0.941,1.0,0.992,0.015,0.002,1.0,0.988,0.996,1.0,1.0,0.957,0.07,0.01,1.0,0.936,0.975,1.0,1.0,0.923,0.108,0.015,1.0,0.891,0.951,0.882,1.0
ElasticNet,none,none,1430,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.989,0.045,0.006,1.0,0.975,0.997,1.0,1.0,0.959,0.052,0.007,0.969,0.943,0.972,0.938,1.0,0.959,0.051,0.007,0.969,0.945,0.972,0.938,1.0,0.949,0.084,0.012,1.0,0.926,0.97,1.0,1.0,0.97,0.054,0.008,1.0,0.955,0.984,1.0,1.0,0.957,0.055,0.008,0.971,0.941,0.971,0.933,1.0,0.992,0.027,0.004,1.0,0.983,0.997,1.0,1.0,0.97,0.054,0.008,1.0,0.954,0.985,1.0,1.0,0.922,0.099,0.014,0.941,0.892,0.947,0.882,1.0
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.993,0.022,0.003,1.0,0.986,0.998,1.0,1.0,0.956,0.064,0.009,1.0,0.94,0.972,0.938,1.0,0.957,0.063,0.009,1.0,0.939,0.972,0.938,1.0,0.947,0.094,0.013,1.0,0.919,0.972,1.0,1.0,0.969,0.068,0.01,1.0,0.948,0.987,1.0,1.0,0.955,0.067,0.01,1.0,0.935,0.972,0.933,1.0,0.994,0.017,0.002,1.0,0.989,0.998,1.0,1.0,0.967,0.075,0.011,1.0,0.942,0.985,1.0,1.0,0.918,0.12,0.017,1.0,0.887,0.949,0.882,1.0
GaussianNB,none,none,1430,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.615,0.129,0.018,0.617,0.579,0.652,0.578,0.664,0.594,0.117,0.017,0.562,0.563,0.628,0.548,0.625,0.595,0.116,0.017,0.562,0.563,0.623,0.549,0.621,0.63,0.163,0.023,0.625,0.581,0.673,0.625,0.714,0.592,0.123,0.018,0.571,0.558,0.626,0.551,0.625,0.603,0.128,0.018,0.612,0.566,0.638,0.58,0.649,0.601,0.105,0.015,0.594,0.575,0.633,0.571,0.629,0.559,0.168,0.024,0.536,0.511,0.605,0.5,0.625,0.194,0.236,0.034,0.135,0.134,0.259,0.103,0.258
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.945,0.078,0.011,0.975,0.923,0.966,0.959,0.992,0.892,0.075,0.011,0.875,0.871,0.912,0.875,0.933,0.893,0.073,0.01,0.875,0.874,0.913,0.875,0.938,0.895,0.106,0.015,0.875,0.866,0.923,0.875,1.0,0.902,0.1,0.014,0.889,0.875,0.929,0.875,1.0,0.891,0.075,0.011,0.882,0.871,0.912,0.875,0.933,0.943,0.095,0.014,0.979,0.914,0.966,0.962,1.0,0.891,0.125,0.018,0.875,0.852,0.924,0.875,1.0,0.796,0.138,0.02,0.775,0.758,0.835,0.75,0.875
GaussianProcessClassifier,none,none,1430,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.472,0.114,0.016,0.487,0.442,0.503,0.438,0.516,0.528,0.113,0.016,0.5,0.495,0.559,0.5,0.562,0.529,0.112,0.016,0.5,0.497,0.559,0.5,0.562,0.54,0.164,0.023,0.5,0.493,0.586,0.5,0.598,0.534,0.132,0.019,0.5,0.499,0.574,0.5,0.556,0.528,0.123,0.018,0.533,0.493,0.562,0.5,0.58,0.525,0.079,0.011,0.524,0.503,0.547,0.5,0.533,0.517,0.167,0.024,0.5,0.47,0.563,0.5,0.5,0.062,0.234,0.033,0.0,-0.003,0.134,0.0,0.126
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.991,0.021,0.003,1.0,0.985,0.996,1.0,1.0,0.956,0.06,0.009,1.0,0.938,0.971,0.938,1.0,0.957,0.059,0.008,1.0,0.94,0.972,0.938,1.0,0.949,0.084,0.012,1.0,0.924,0.97,1.0,1.0,0.967,0.068,0.01,1.0,0.946,0.985,1.0,1.0,0.955,0.061,0.009,1.0,0.937,0.971,0.933,1.0,0.993,0.017,0.002,1.0,0.988,0.997,1.0,1.0,0.965,0.076,0.011,1.0,0.942,0.982,1.0,1.0,0.918,0.114,0.016,1.0,0.886,0.949,0.882,1.0
GradientBoostingClassifier,none,none,1430,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.962,0.045,0.006,0.982,0.949,0.974,0.953,1.0,0.9,0.077,0.011,0.933,0.88,0.921,0.875,0.938,0.9,0.078,0.011,0.933,0.879,0.92,0.875,0.938,0.873,0.12,0.017,0.875,0.84,0.903,0.875,0.875,0.932,0.09,0.013,1.0,0.906,0.954,0.889,1.0,0.895,0.085,0.012,0.933,0.869,0.917,0.875,0.933,0.969,0.037,0.005,0.984,0.959,0.979,0.959,1.0,0.927,0.099,0.014,1.0,0.899,0.953,0.875,1.0,0.81,0.151,0.022,0.874,0.77,0.848,0.775,0.882
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.972,0.042,0.006,0.992,0.96,0.984,0.969,1.0,0.902,0.088,0.013,0.933,0.879,0.926,0.875,0.938,0.903,0.087,0.012,0.938,0.879,0.925,0.875,0.938,0.879,0.131,0.019,0.875,0.843,0.914,0.875,0.938,0.928,0.097,0.014,1.0,0.901,0.953,0.889,1.0,0.896,0.101,0.014,0.933,0.868,0.922,0.875,0.933,0.976,0.039,0.006,0.993,0.964,0.985,0.975,1.0,0.926,0.101,0.014,1.0,0.897,0.952,0.875,1.0,0.814,0.168,0.024,0.875,0.764,0.855,0.775,0.882
