Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,509,minmax,median,5,10,Validation_score,0.969,0.044,0.006,1.0,0.956,0.981,0.969,1.0,0.919,0.086,0.012,0.938,0.892,0.942,0.933,0.938,0.919,0.086,0.012,0.938,0.894,0.941,0.929,0.938,0.907,0.128,0.018,1.0,0.87,0.94,0.875,1.0,0.932,0.092,0.013,1.0,0.905,0.955,0.889,1.0,0.914,0.099,0.014,0.933,0.885,0.939,0.923,0.941,0.973,0.04,0.006,1.0,0.962,0.983,0.973,1.0,0.931,0.092,0.013,1.0,0.906,0.955,0.875,1.0,0.844,0.168,0.024,0.882,0.795,0.889,0.873,0.882
CatBoostClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.986,0.029,0.004,1.0,0.978,0.994,1.0,1.0,0.94,0.062,0.009,0.938,0.921,0.956,0.933,1.0,0.94,0.062,0.009,0.938,0.923,0.956,0.938,1.0,0.918,0.092,0.013,0.875,0.891,0.941,0.875,1.0,0.964,0.069,0.01,1.0,0.942,0.983,1.0,1.0,0.937,0.065,0.009,0.933,0.919,0.955,0.933,1.0,0.989,0.025,0.004,1.0,0.982,0.995,1.0,1.0,0.962,0.073,0.01,1.0,0.939,0.98,1.0,1.0,0.885,0.119,0.017,0.882,0.85,0.915,0.875,1.0
ElasticNet,none,509,minmax,median,5,10,Validation_score,0.98,0.037,0.005,1.0,0.969,0.989,0.984,1.0,0.928,0.06,0.009,0.938,0.912,0.945,0.933,0.938,0.928,0.06,0.009,0.938,0.912,0.946,0.929,0.938,0.959,0.07,0.01,1.0,0.938,0.976,1.0,1.0,0.91,0.083,0.012,0.889,0.887,0.933,0.889,1.0,0.931,0.058,0.008,0.941,0.914,0.946,0.933,0.941,0.974,0.059,0.008,1.0,0.956,0.989,0.993,1.0,0.898,0.102,0.015,0.875,0.869,0.927,0.875,1.0,0.864,0.115,0.016,0.882,0.834,0.895,0.873,0.882
ElasticNet,mrmr,10,minmax,median,5,10,Validation_score,0.986,0.028,0.004,1.0,0.978,0.993,1.0,1.0,0.947,0.053,0.008,0.938,0.932,0.962,0.938,1.0,0.948,0.052,0.007,0.938,0.934,0.961,0.938,1.0,0.959,0.064,0.009,1.0,0.941,0.977,1.0,1.0,0.942,0.075,0.011,1.0,0.923,0.961,0.889,1.0,0.948,0.053,0.008,0.941,0.933,0.963,0.933,1.0,0.986,0.037,0.005,1.0,0.974,0.994,1.0,1.0,0.936,0.081,0.012,1.0,0.914,0.959,0.875,1.0,0.899,0.102,0.015,0.882,0.871,0.926,0.882,1.0
GaussianNB,none,509,minmax,median,5,10,Validation_score,0.625,0.13,0.019,0.608,0.59,0.659,0.586,0.656,0.587,0.117,0.017,0.562,0.556,0.618,0.533,0.625,0.586,0.118,0.017,0.562,0.556,0.62,0.545,0.616,0.651,0.157,0.022,0.625,0.607,0.695,0.625,0.714,0.581,0.112,0.016,0.556,0.55,0.611,0.545,0.625,0.607,0.119,0.017,0.625,0.574,0.639,0.58,0.632,0.622,0.125,0.018,0.606,0.588,0.657,0.565,0.657,0.522,0.171,0.024,0.5,0.476,0.569,0.464,0.598,0.178,0.242,0.035,0.135,0.109,0.242,0.075,0.25
GaussianNB,mrmr,10,minmax,median,5,10,Validation_score,0.952,0.083,0.012,0.992,0.927,0.974,0.969,1.0,0.911,0.07,0.01,0.933,0.893,0.93,0.875,0.938,0.912,0.068,0.01,0.938,0.894,0.93,0.902,0.938,0.916,0.093,0.013,0.875,0.889,0.942,0.875,1.0,0.917,0.097,0.014,0.944,0.889,0.942,0.882,1.0,0.911,0.069,0.01,0.933,0.893,0.93,0.882,0.933,0.953,0.094,0.013,0.993,0.925,0.976,0.97,1.0,0.909,0.112,0.016,0.938,0.876,0.937,0.875,1.0,0.832,0.132,0.019,0.875,0.795,0.868,0.775,0.882
GaussianProcessClassifier,none,509,minmax,median,5,10,Validation_score,0.587,0.144,0.021,0.625,0.548,0.623,0.595,0.656,0.601,0.13,0.019,0.612,0.563,0.636,0.562,0.667,0.599,0.13,0.019,0.616,0.559,0.633,0.562,0.661,0.535,0.182,0.026,0.571,0.485,0.58,0.5,0.625,0.622,0.182,0.026,0.646,0.572,0.671,0.571,0.683,0.564,0.162,0.023,0.602,0.517,0.606,0.533,0.649,0.656,0.118,0.017,0.667,0.624,0.689,0.627,0.701,0.664,0.179,0.026,0.625,0.616,0.715,0.625,0.75,0.207,0.273,0.039,0.234,0.127,0.283,0.135,0.327
GaussianProcessClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.989,0.02,0.003,1.0,0.983,0.994,1.0,1.0,0.934,0.06,0.009,0.938,0.917,0.949,0.933,0.938,0.935,0.059,0.008,0.938,0.917,0.95,0.938,0.938,0.936,0.078,0.011,1.0,0.913,0.956,0.875,1.0,0.939,0.081,0.012,1.0,0.914,0.961,0.889,1.0,0.934,0.06,0.009,0.933,0.915,0.95,0.933,0.941,0.99,0.018,0.003,1.0,0.985,0.994,1.0,1.0,0.934,0.088,0.013,1.0,0.908,0.959,0.875,1.0,0.874,0.116,0.017,0.882,0.841,0.905,0.875,0.882
GradientBoostingClassifier,none,509,minmax,median,5,10,Validation_score,0.854,0.094,0.013,0.854,0.828,0.878,0.817,0.914,0.81,0.099,0.014,0.812,0.783,0.835,0.8,0.867,0.81,0.099,0.014,0.812,0.782,0.837,0.804,0.875,0.791,0.14,0.02,0.804,0.755,0.829,0.75,0.875,0.84,0.135,0.019,0.857,0.803,0.875,0.778,0.875,0.804,0.104,0.015,0.812,0.775,0.834,0.769,0.857,0.845,0.111,0.016,0.864,0.815,0.876,0.842,0.912,0.828,0.155,0.022,0.875,0.785,0.871,0.75,0.875,0.635,0.199,0.028,0.653,0.577,0.692,0.63,0.75
GradientBoostingClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.889,0.095,0.014,0.929,0.862,0.915,0.867,0.938,0.84,0.1,0.014,0.871,0.812,0.869,0.812,0.875,0.84,0.1,0.014,0.871,0.811,0.866,0.812,0.875,0.818,0.139,0.02,0.857,0.782,0.857,0.75,0.875,0.861,0.122,0.017,0.875,0.825,0.893,0.845,0.889,0.833,0.11,0.016,0.857,0.802,0.862,0.8,0.882,0.877,0.109,0.016,0.889,0.844,0.907,0.875,0.946,0.862,0.115,0.016,0.875,0.828,0.892,0.857,0.875,0.69,0.203,0.029,0.75,0.634,0.743,0.63,0.775
