Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,none,509,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.972,0.041,0.006,1.0,0.96,0.983,0.982,1.0,0.912,0.081,0.012,0.933,0.888,0.934,0.904,0.938,0.912,0.08,0.011,0.938,0.889,0.933,0.875,0.938,0.9,0.086,0.012,0.875,0.876,0.921,0.875,0.875,0.932,0.104,0.015,1.0,0.904,0.959,0.944,1.0,0.911,0.076,0.011,0.933,0.89,0.932,0.875,0.933,0.974,0.044,0.006,1.0,0.962,0.986,0.986,1.0,0.924,0.125,0.018,1.0,0.887,0.955,1.0,1.0,0.831,0.156,0.022,0.875,0.785,0.869,0.775,0.882
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.989,0.022,0.003,1.0,0.983,0.995,1.0,1.0,0.934,0.06,0.009,0.938,0.918,0.95,0.933,0.938,0.934,0.059,0.008,0.938,0.917,0.951,0.938,0.938,0.915,0.091,0.013,0.875,0.888,0.937,0.875,1.0,0.957,0.074,0.011,1.0,0.936,0.976,1.0,1.0,0.932,0.063,0.009,0.933,0.914,0.948,0.933,0.941,0.991,0.017,0.002,1.0,0.986,0.996,1.0,1.0,0.954,0.079,0.011,1.0,0.931,0.974,1.0,1.0,0.875,0.115,0.016,0.882,0.839,0.905,0.875,0.882
ElasticNet,none,none,509,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.981,0.035,0.005,1.0,0.97,0.989,1.0,1.0,0.948,0.058,0.008,0.938,0.932,0.963,0.938,1.0,0.948,0.058,0.008,0.938,0.931,0.963,0.938,1.0,0.964,0.081,0.012,1.0,0.938,0.984,1.0,1.0,0.939,0.072,0.01,1.0,0.919,0.957,0.889,1.0,0.948,0.06,0.009,0.941,0.931,0.964,0.941,1.0,0.976,0.054,0.008,1.0,0.959,0.989,0.993,1.0,0.931,0.085,0.012,1.0,0.906,0.954,0.875,1.0,0.902,0.109,0.016,0.882,0.871,0.931,0.882,1.0
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.986,0.027,0.004,1.0,0.978,0.993,1.0,1.0,0.939,0.054,0.008,0.938,0.924,0.954,0.933,0.938,0.94,0.053,0.008,0.938,0.926,0.954,0.938,0.938,0.949,0.067,0.01,1.0,0.93,0.967,0.875,1.0,0.938,0.08,0.011,1.0,0.917,0.959,0.889,1.0,0.94,0.053,0.008,0.937,0.925,0.954,0.933,0.941,0.985,0.037,0.005,1.0,0.973,0.994,1.0,1.0,0.931,0.092,0.013,1.0,0.902,0.956,0.875,1.0,0.885,0.102,0.015,0.882,0.855,0.911,0.875,0.882
GaussianNB,none,none,509,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.625,0.13,0.019,0.608,0.592,0.66,0.585,0.656,0.587,0.117,0.017,0.562,0.553,0.619,0.533,0.625,0.586,0.118,0.017,0.562,0.554,0.617,0.545,0.625,0.651,0.157,0.022,0.625,0.609,0.698,0.625,0.714,0.581,0.112,0.016,0.556,0.551,0.612,0.545,0.625,0.607,0.119,0.017,0.625,0.571,0.641,0.588,0.632,0.622,0.125,0.018,0.606,0.589,0.657,0.566,0.658,0.522,0.171,0.024,0.5,0.479,0.568,0.464,0.598,0.178,0.242,0.035,0.135,0.112,0.246,0.094,0.25
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.952,0.083,0.012,0.992,0.928,0.972,0.969,1.0,0.911,0.07,0.01,0.933,0.892,0.93,0.875,0.938,0.912,0.068,0.01,0.938,0.894,0.931,0.875,0.938,0.916,0.093,0.013,0.875,0.887,0.941,0.875,1.0,0.917,0.097,0.014,0.944,0.889,0.945,0.889,1.0,0.911,0.069,0.01,0.933,0.892,0.929,0.889,0.933,0.953,0.094,0.013,0.993,0.923,0.976,0.97,1.0,0.909,0.112,0.016,0.938,0.876,0.938,0.875,1.0,0.832,0.132,0.019,0.875,0.796,0.868,0.775,0.882
GaussianProcessClassifier,none,none,509,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.587,0.144,0.021,0.625,0.545,0.626,0.591,0.656,0.601,0.13,0.019,0.612,0.564,0.637,0.562,0.667,0.599,0.13,0.019,0.616,0.563,0.634,0.562,0.661,0.535,0.182,0.026,0.571,0.482,0.585,0.5,0.625,0.622,0.182,0.026,0.646,0.576,0.668,0.571,0.683,0.564,0.162,0.023,0.602,0.515,0.607,0.533,0.632,0.656,0.118,0.017,0.667,0.624,0.688,0.627,0.705,0.664,0.179,0.026,0.625,0.617,0.711,0.625,0.75,0.207,0.273,0.039,0.234,0.123,0.275,0.135,0.327
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.989,0.02,0.003,1.0,0.983,0.994,1.0,1.0,0.934,0.06,0.009,0.938,0.917,0.95,0.933,0.938,0.935,0.059,0.008,0.938,0.918,0.95,0.938,0.938,0.936,0.078,0.011,1.0,0.913,0.957,0.875,1.0,0.939,0.081,0.012,1.0,0.914,0.96,0.889,1.0,0.934,0.06,0.009,0.933,0.917,0.95,0.933,0.941,0.99,0.018,0.003,1.0,0.985,0.995,1.0,1.0,0.934,0.088,0.013,1.0,0.909,0.957,0.875,1.0,0.874,0.116,0.017,0.882,0.842,0.906,0.875,0.882
GradientBoostingClassifier,none,none,509,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.969,0.042,0.006,0.984,0.957,0.98,0.964,1.0,0.905,0.088,0.013,0.933,0.879,0.93,0.875,0.938,0.906,0.087,0.012,0.929,0.881,0.928,0.875,0.938,0.899,0.098,0.014,0.875,0.87,0.924,0.875,1.0,0.919,0.101,0.014,1.0,0.89,0.944,0.875,1.0,0.905,0.085,0.012,0.933,0.881,0.929,0.875,0.933,0.975,0.035,0.005,0.986,0.964,0.983,0.973,1.0,0.912,0.121,0.017,1.0,0.879,0.943,0.875,1.0,0.817,0.171,0.024,0.873,0.764,0.859,0.75,0.882
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,,matthews_corrcoef,validation_score,0.968,0.04,0.006,0.984,0.956,0.978,0.973,0.992,0.895,0.086,0.012,0.933,0.87,0.918,0.875,0.938,0.895,0.086,0.012,0.938,0.873,0.917,0.875,0.938,0.887,0.116,0.017,0.875,0.857,0.916,0.875,0.938,0.912,0.105,0.015,1.0,0.881,0.94,0.875,1.0,0.893,0.089,0.013,0.933,0.869,0.918,0.875,0.933,0.974,0.033,0.005,0.986,0.964,0.983,0.982,0.993,0.904,0.125,0.018,1.0,0.866,0.939,0.875,1.0,0.8,0.164,0.023,0.875,0.755,0.846,0.756,0.882
