Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,149,minmax,median,5,10,Validation_score,0.921,0.072,0.01,0.944,0.902,0.941,0.905,0.969,0.845,0.099,0.014,0.875,0.816,0.871,0.824,0.882,0.845,0.099,0.014,0.875,0.817,0.869,0.812,0.882,0.832,0.143,0.02,0.875,0.792,0.868,0.75,0.875,0.857,0.12,0.017,0.875,0.826,0.89,0.829,0.889,0.836,0.108,0.015,0.866,0.805,0.864,0.8,0.882,0.926,0.069,0.01,0.952,0.906,0.945,0.902,0.973,0.857,0.135,0.019,0.875,0.819,0.892,0.875,0.889,0.701,0.194,0.028,0.757,0.649,0.754,0.648,0.779
CatBoostClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.911,0.066,0.009,0.926,0.893,0.929,0.891,0.953,0.823,0.086,0.012,0.824,0.799,0.846,0.812,0.875,0.823,0.085,0.012,0.823,0.799,0.844,0.812,0.875,0.802,0.128,0.018,0.875,0.765,0.838,0.75,0.875,0.842,0.114,0.016,0.857,0.812,0.876,0.8,0.875,0.812,0.092,0.013,0.824,0.788,0.837,0.785,0.875,0.91,0.072,0.01,0.926,0.889,0.929,0.898,0.953,0.843,0.136,0.019,0.875,0.804,0.877,0.826,0.889,0.658,0.166,0.024,0.653,0.608,0.702,0.63,0.764
ElasticNet,none,149,minmax,median,5,10,Validation_score,0.91,0.075,0.011,0.931,0.889,0.929,0.89,0.953,0.825,0.097,0.014,0.824,0.798,0.851,0.812,0.882,0.827,0.096,0.014,0.826,0.797,0.855,0.812,0.882,0.838,0.142,0.02,0.875,0.798,0.875,0.811,0.875,0.827,0.127,0.018,0.845,0.789,0.863,0.8,0.875,0.821,0.101,0.014,0.842,0.792,0.85,0.8,0.875,0.918,0.074,0.011,0.942,0.897,0.935,0.906,0.953,0.816,0.152,0.022,0.875,0.777,0.858,0.778,0.889,0.668,0.187,0.027,0.674,0.614,0.719,0.63,0.764
ElasticNet,mrmr,10,minmax,median,5,10,Validation_score,0.913,0.066,0.009,0.917,0.894,0.93,0.903,0.944,0.815,0.101,0.014,0.818,0.788,0.844,0.765,0.875,0.818,0.097,0.014,0.816,0.79,0.845,0.778,0.854,0.86,0.124,0.018,0.875,0.825,0.895,0.875,0.875,0.806,0.137,0.02,0.8,0.766,0.844,0.75,0.866,0.82,0.091,0.013,0.824,0.794,0.843,0.8,0.857,0.919,0.064,0.009,0.931,0.901,0.938,0.906,0.949,0.775,0.193,0.028,0.778,0.726,0.828,0.75,0.875,0.654,0.185,0.026,0.653,0.597,0.706,0.619,0.75
GaussianNB,none,149,minmax,median,5,10,Validation_score,0.712,0.123,0.018,0.722,0.677,0.746,0.688,0.75,0.665,0.104,0.015,0.688,0.634,0.695,0.647,0.697,0.671,0.102,0.015,0.688,0.642,0.699,0.653,0.708,0.81,0.126,0.018,0.875,0.775,0.845,0.75,0.875,0.626,0.094,0.013,0.625,0.601,0.653,0.6,0.636,0.7,0.087,0.012,0.703,0.678,0.724,0.667,0.71,0.66,0.122,0.017,0.64,0.628,0.694,0.621,0.679,0.531,0.178,0.025,0.556,0.482,0.578,0.5,0.625,0.36,0.21,0.03,0.378,0.3,0.416,0.31,0.417
GaussianNB,mrmr,10,minmax,median,5,10,Validation_score,0.805,0.089,0.013,0.805,0.78,0.83,0.789,0.838,0.714,0.098,0.014,0.706,0.688,0.739,0.688,0.757,0.719,0.096,0.014,0.722,0.692,0.746,0.688,0.757,0.865,0.127,0.018,0.875,0.828,0.9,0.812,0.938,0.663,0.099,0.014,0.667,0.636,0.692,0.615,0.7,0.744,0.087,0.012,0.756,0.721,0.766,0.717,0.778,0.793,0.107,0.015,0.786,0.762,0.825,0.74,0.857,0.574,0.159,0.023,0.556,0.532,0.619,0.5,0.625,0.469,0.195,0.028,0.508,0.413,0.522,0.407,0.549
GaussianProcessClassifier,none,149,minmax,median,5,10,Validation_score,0.808,0.124,0.018,0.847,0.77,0.841,0.797,0.875,0.747,0.116,0.017,0.757,0.717,0.779,0.706,0.812,0.751,0.113,0.016,0.753,0.718,0.781,0.694,0.812,0.828,0.127,0.018,0.875,0.79,0.865,0.75,0.875,0.732,0.149,0.021,0.721,0.695,0.775,0.667,0.778,0.763,0.096,0.014,0.762,0.737,0.79,0.721,0.8,0.834,0.109,0.016,0.871,0.804,0.862,0.83,0.901,0.674,0.224,0.032,0.667,0.61,0.734,0.625,0.778,0.525,0.222,0.032,0.522,0.46,0.586,0.436,0.63
GaussianProcessClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.904,0.071,0.01,0.905,0.884,0.922,0.875,0.942,0.799,0.106,0.015,0.812,0.768,0.827,0.765,0.824,0.803,0.102,0.015,0.812,0.775,0.833,0.767,0.826,0.868,0.107,0.015,0.875,0.838,0.898,0.875,0.875,0.778,0.136,0.019,0.778,0.742,0.815,0.727,0.857,0.81,0.09,0.013,0.8,0.786,0.835,0.789,0.824,0.916,0.065,0.009,0.922,0.898,0.933,0.908,0.945,0.738,0.197,0.028,0.778,0.678,0.786,0.667,0.875,0.623,0.194,0.028,0.63,0.572,0.679,0.577,0.663
GradientBoostingClassifier,none,149,minmax,median,5,10,Validation_score,0.772,0.115,0.016,0.789,0.74,0.805,0.711,0.839,0.702,0.103,0.015,0.697,0.676,0.729,0.688,0.75,0.701,0.102,0.015,0.691,0.672,0.729,0.688,0.75,0.68,0.162,0.023,0.75,0.635,0.722,0.625,0.75,0.711,0.139,0.02,0.7,0.673,0.748,0.667,0.75,0.682,0.12,0.017,0.706,0.648,0.715,0.667,0.737,0.764,0.131,0.019,0.769,0.729,0.801,0.706,0.851,0.721,0.167,0.024,0.75,0.676,0.769,0.646,0.778,0.415,0.209,0.03,0.407,0.36,0.471,0.378,0.516
GradientBoostingClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.866,0.108,0.015,0.891,0.832,0.895,0.875,0.917,0.779,0.106,0.015,0.812,0.749,0.806,0.765,0.824,0.779,0.105,0.015,0.812,0.749,0.807,0.767,0.819,0.78,0.138,0.02,0.75,0.742,0.82,0.75,0.875,0.781,0.132,0.019,0.789,0.746,0.817,0.75,0.857,0.772,0.11,0.016,0.8,0.739,0.801,0.75,0.824,0.867,0.111,0.016,0.898,0.836,0.897,0.864,0.931,0.778,0.156,0.022,0.778,0.735,0.821,0.75,0.875,0.569,0.211,0.03,0.63,0.507,0.625,0.528,0.65
