Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,181,minmax,median,5,10,Validation_score,0.666,0.125,0.018,0.667,0.63,0.699,0.61,0.708,0.622,0.097,0.014,0.625,0.598,0.651,0.562,0.625,0.561,0.103,0.015,0.542,0.536,0.59,0.517,0.587,0.842,0.129,0.018,0.894,0.807,0.876,0.8,0.9,0.652,0.072,0.01,0.643,0.632,0.671,0.636,0.667,0.729,0.077,0.011,0.727,0.707,0.75,0.7,0.75,0.805,0.088,0.013,0.824,0.779,0.829,0.778,0.848,0.28,0.193,0.028,0.286,0.23,0.338,0.167,0.333,0.142,0.257,0.037,0.098,0.075,0.219,0.066,0.221
CatBoostClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.685,0.139,0.02,0.691,0.645,0.722,0.65,0.74,0.648,0.097,0.014,0.625,0.621,0.674,0.625,0.688,0.61,0.098,0.014,0.594,0.582,0.638,0.575,0.643,0.78,0.137,0.02,0.8,0.743,0.817,0.75,0.8,0.69,0.074,0.011,0.667,0.67,0.709,0.667,0.714,0.726,0.088,0.013,0.727,0.701,0.748,0.7,0.762,0.796,0.108,0.015,0.83,0.766,0.825,0.782,0.848,0.44,0.171,0.024,0.5,0.388,0.485,0.333,0.5,0.244,0.214,0.031,0.222,0.187,0.307,0.156,0.313
ElasticNet,none,181,minmax,median,5,10,Validation_score,0.791,0.104,0.015,0.783,0.762,0.818,0.733,0.858,0.714,0.094,0.013,0.75,0.688,0.74,0.688,0.75,0.685,0.103,0.015,0.671,0.657,0.715,0.65,0.733,0.815,0.121,0.017,0.8,0.781,0.849,0.8,0.889,0.75,0.089,0.013,0.727,0.726,0.776,0.714,0.778,0.775,0.079,0.011,0.791,0.751,0.796,0.762,0.818,0.88,0.065,0.009,0.887,0.862,0.897,0.856,0.923,0.556,0.193,0.028,0.571,0.503,0.608,0.5,0.667,0.394,0.213,0.03,0.447,0.334,0.451,0.313,0.488
ElasticNet,mrmr,10,minmax,median,5,10,Validation_score,0.733,0.143,0.02,0.717,0.691,0.772,0.691,0.817,0.684,0.094,0.013,0.688,0.66,0.71,0.656,0.688,0.634,0.1,0.014,0.63,0.605,0.659,0.6,0.671,0.853,0.136,0.019,0.894,0.816,0.89,0.8,0.9,0.702,0.07,0.01,0.696,0.682,0.72,0.667,0.714,0.764,0.078,0.011,0.783,0.742,0.785,0.737,0.8,0.841,0.085,0.012,0.823,0.817,0.865,0.804,0.892,0.415,0.188,0.027,0.429,0.364,0.464,0.333,0.5,0.321,0.235,0.034,0.333,0.255,0.387,0.289,0.393
GaussianNB,none,181,minmax,median,5,10,Validation_score,0.807,0.085,0.012,0.809,0.782,0.829,0.783,0.85,0.73,0.09,0.013,0.75,0.705,0.755,0.688,0.75,0.739,0.091,0.013,0.725,0.715,0.765,0.695,0.775,0.696,0.127,0.018,0.7,0.659,0.73,0.683,0.7,0.844,0.098,0.014,0.845,0.813,0.871,0.789,0.875,0.755,0.093,0.013,0.764,0.73,0.779,0.721,0.8,0.86,0.076,0.011,0.872,0.838,0.88,0.835,0.904,0.783,0.144,0.021,0.833,0.742,0.822,0.667,0.833,0.477,0.181,0.026,0.457,0.43,0.524,0.4,0.554
GaussianNB,mrmr,10,minmax,median,5,10,Validation_score,0.733,0.136,0.019,0.758,0.693,0.77,0.683,0.788,0.662,0.112,0.016,0.688,0.632,0.694,0.625,0.688,0.632,0.115,0.016,0.639,0.603,0.666,0.608,0.683,0.76,0.184,0.026,0.8,0.713,0.812,0.7,0.894,0.718,0.102,0.015,0.714,0.687,0.748,0.692,0.75,0.725,0.111,0.016,0.737,0.696,0.755,0.696,0.783,0.824,0.099,0.014,0.834,0.796,0.852,0.789,0.871,0.505,0.233,0.033,0.5,0.436,0.564,0.5,0.619,0.291,0.25,0.036,0.313,0.219,0.362,0.264,0.358
GaussianProcessClassifier,none,181,minmax,median,5,10,Validation_score,0.653,0.144,0.021,0.634,0.615,0.689,0.602,0.69,0.67,0.111,0.016,0.688,0.636,0.702,0.625,0.719,0.642,0.119,0.017,0.65,0.612,0.676,0.593,0.7,0.77,0.137,0.02,0.8,0.734,0.809,0.7,0.8,0.72,0.098,0.014,0.707,0.694,0.75,0.667,0.739,0.738,0.094,0.013,0.737,0.711,0.763,0.7,0.783,0.764,0.112,0.016,0.764,0.734,0.797,0.71,0.784,0.514,0.198,0.028,0.5,0.458,0.568,0.464,0.571,0.303,0.25,0.036,0.323,0.23,0.365,0.2,0.429
GaussianProcessClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.732,0.146,0.021,0.723,0.694,0.771,0.683,0.783,0.686,0.092,0.013,0.688,0.66,0.71,0.625,0.75,0.631,0.102,0.015,0.63,0.603,0.66,0.585,0.667,0.88,0.118,0.017,0.9,0.846,0.914,0.8,1.0,0.698,0.072,0.01,0.7,0.678,0.717,0.667,0.721,0.773,0.069,0.01,0.78,0.753,0.79,0.737,0.8,0.838,0.09,0.013,0.833,0.814,0.863,0.813,0.88,0.381,0.196,0.028,0.333,0.327,0.431,0.333,0.5,0.319,0.244,0.035,0.333,0.25,0.388,0.256,0.447
GradientBoostingClassifier,none,181,minmax,median,5,10,Validation_score,0.633,0.134,0.019,0.634,0.596,0.669,0.6,0.691,0.6,0.105,0.015,0.625,0.569,0.63,0.562,0.625,0.577,0.115,0.016,0.569,0.544,0.606,0.54,0.642,0.689,0.131,0.019,0.7,0.652,0.725,0.6,0.7,0.678,0.101,0.014,0.667,0.651,0.705,0.64,0.727,0.675,0.088,0.013,0.667,0.652,0.699,0.636,0.717,0.776,0.1,0.014,0.801,0.747,0.803,0.774,0.825,0.465,0.216,0.031,0.5,0.402,0.526,0.333,0.5,0.158,0.239,0.034,0.156,0.094,0.225,0.098,0.293
GradientBoostingClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.674,0.136,0.019,0.683,0.637,0.711,0.65,0.717,0.631,0.109,0.016,0.625,0.6,0.661,0.625,0.688,0.603,0.111,0.016,0.583,0.574,0.634,0.567,0.633,0.727,0.16,0.023,0.739,0.68,0.767,0.7,0.8,0.691,0.095,0.014,0.667,0.666,0.718,0.667,0.714,0.7,0.108,0.015,0.727,0.671,0.73,0.683,0.743,0.794,0.104,0.015,0.804,0.767,0.821,0.779,0.84,0.48,0.193,0.028,0.5,0.424,0.531,0.333,0.5,0.222,0.231,0.033,0.181,0.157,0.284,0.149,0.303
KNeighborsClassifier,none,181,minmax,median,5,10,Validation_score,0.73,0.097,0.014,0.729,0.702,0.758,0.683,0.775,0.671,0.096,0.014,0.688,0.644,0.699,0.625,0.75,0.656,0.096,0.014,0.654,0.63,0.684,0.626,0.708,0.725,0.128,0.018,0.778,0.689,0.758,0.7,0.8,0.737,0.081,0.012,0.727,0.713,0.761,0.667,0.778,0.726,0.091,0.013,0.743,0.7,0.751,0.706,0.77,0.796,0.069,0.01,0.809,0.777,0.814,0.786,0.818,0.586,0.146,0.021,0.571,0.543,0.627,0.5,0.667,0.317,0.195,0.028,0.336,0.264,0.372,0.258,0.447
KNeighborsClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.706,0.144,0.021,0.728,0.664,0.745,0.7,0.762,0.655,0.117,0.017,0.688,0.624,0.689,0.625,0.688,0.627,0.12,0.017,0.65,0.591,0.657,0.592,0.683,0.748,0.165,0.024,0.739,0.702,0.793,0.7,0.8,0.71,0.094,0.013,0.727,0.685,0.737,0.692,0.75,0.72,0.108,0.015,0.737,0.689,0.751,0.667,0.762,0.785,0.099,0.014,0.803,0.756,0.812,0.753,0.841,0.505,0.2,0.029,0.5,0.453,0.558,0.5,0.537,0.275,0.262,0.037,0.313,0.204,0.346,0.163,0.358
LGBMClassifier,none,181,minmax,median,5,10,Validation_score,0.639,0.131,0.019,0.667,0.605,0.674,0.617,0.7,0.605,0.105,0.015,0.625,0.576,0.636,0.562,0.626,0.571,0.109,0.016,0.567,0.542,0.602,0.533,0.608,0.726,0.13,0.019,0.7,0.689,0.763,0.683,0.8,0.668,0.096,0.014,0.667,0.642,0.694,0.636,0.7,0.689,0.089,0.013,0.7,0.663,0.715,0.667,0.727,0.787,0.097,0.014,0.806,0.757,0.812,0.782,0.833,0.416,0.197,0.028,0.333,0.362,0.468,0.333,0.5,0.151,0.239,0.034,0.149,0.082,0.216,0.073,0.2
