Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
CatBoostClassifier,none,69,minmax,median,5,10,Validation_score,0.927,0.044,0.006,0.93,0.914,0.939,0.92,0.94,0.84,0.071,0.01,0.85,0.821,0.859,0.8,0.85,0.84,0.071,0.01,0.85,0.822,0.86,0.8,0.85,0.808,0.116,0.017,0.8,0.774,0.838,0.8,0.85,0.873,0.095,0.014,0.882,0.846,0.899,0.833,0.9,0.833,0.077,0.011,0.833,0.811,0.853,0.812,0.857,0.944,0.032,0.005,0.947,0.935,0.953,0.937,0.959,0.872,0.102,0.015,0.9,0.842,0.9,0.8,0.9,0.691,0.142,0.02,0.704,0.647,0.731,0.612,0.734
CatBoostClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.906,0.063,0.009,0.915,0.888,0.922,0.885,0.935,0.826,0.076,0.011,0.85,0.803,0.846,0.8,0.85,0.826,0.076,0.011,0.85,0.803,0.846,0.8,0.85,0.814,0.106,0.015,0.8,0.788,0.844,0.8,0.9,0.849,0.107,0.015,0.875,0.817,0.876,0.818,0.9,0.824,0.076,0.011,0.838,0.801,0.843,0.8,0.857,0.93,0.045,0.006,0.938,0.917,0.943,0.918,0.953,0.838,0.132,0.019,0.9,0.796,0.876,0.8,0.9,0.663,0.151,0.022,0.704,0.619,0.706,0.612,0.734
ElasticNet,none,69,minmax,median,5,10,Validation_score,0.897,0.07,0.01,0.91,0.877,0.915,0.87,0.93,0.805,0.092,0.013,0.8,0.779,0.829,0.75,0.85,0.805,0.092,0.013,0.8,0.78,0.831,0.75,0.85,0.854,0.115,0.016,0.9,0.824,0.884,0.8,0.9,0.793,0.11,0.016,0.778,0.764,0.824,0.75,0.833,0.815,0.084,0.012,0.818,0.791,0.837,0.762,0.85,0.913,0.065,0.009,0.927,0.895,0.93,0.898,0.952,0.756,0.161,0.023,0.8,0.712,0.796,0.7,0.8,0.624,0.18,0.026,0.612,0.573,0.671,0.524,0.719
ElasticNet,mrmr,10,minmax,median,5,10,Validation_score,0.782,0.103,0.015,0.8,0.754,0.81,0.77,0.83,0.704,0.097,0.014,0.7,0.677,0.73,0.65,0.75,0.704,0.097,0.014,0.7,0.677,0.73,0.65,0.75,0.76,0.115,0.016,0.8,0.728,0.794,0.7,0.8,0.694,0.104,0.015,0.667,0.666,0.721,0.64,0.727,0.72,0.088,0.013,0.732,0.697,0.744,0.696,0.762,0.801,0.094,0.013,0.809,0.775,0.827,0.777,0.837,0.648,0.157,0.022,0.65,0.604,0.692,0.6,0.7,0.417,0.197,0.028,0.422,0.364,0.471,0.314,0.503
GaussianNB,none,69,minmax,median,5,10,Validation_score,0.67,0.099,0.014,0.67,0.643,0.698,0.64,0.705,0.622,0.085,0.012,0.6,0.6,0.647,0.6,0.65,0.622,0.085,0.012,0.6,0.598,0.647,0.6,0.65,0.796,0.115,0.016,0.8,0.766,0.828,0.8,0.85,0.592,0.064,0.009,0.583,0.574,0.609,0.571,0.615,0.677,0.076,0.011,0.667,0.655,0.698,0.64,0.696,0.666,0.105,0.015,0.661,0.638,0.695,0.621,0.686,0.448,0.117,0.017,0.5,0.414,0.478,0.4,0.5,0.264,0.183,0.026,0.25,0.212,0.316,0.204,0.314
GaussianNB,mrmr,10,minmax,median,5,10,Validation_score,0.715,0.105,0.015,0.73,0.684,0.743,0.675,0.78,0.654,0.09,0.013,0.65,0.629,0.678,0.625,0.7,0.654,0.09,0.013,0.65,0.627,0.678,0.65,0.7,0.82,0.117,0.017,0.8,0.79,0.85,0.8,0.9,0.619,0.074,0.011,0.615,0.598,0.639,0.588,0.643,0.702,0.079,0.011,0.696,0.682,0.723,0.692,0.724,0.729,0.097,0.014,0.741,0.698,0.756,0.715,0.762,0.488,0.138,0.02,0.5,0.448,0.526,0.45,0.5,0.331,0.192,0.027,0.314,0.276,0.381,0.282,0.404
GaussianProcessClassifier,none,69,minmax,median,5,10,Validation_score,0.839,0.074,0.011,0.85,0.819,0.859,0.81,0.87,0.72,0.088,0.013,0.725,0.695,0.744,0.7,0.75,0.72,0.088,0.013,0.725,0.695,0.744,0.7,0.75,0.902,0.084,0.012,0.9,0.88,0.922,0.9,0.9,0.67,0.082,0.012,0.667,0.648,0.692,0.643,0.692,0.765,0.066,0.009,0.769,0.748,0.785,0.745,0.783,0.86,0.066,0.009,0.86,0.841,0.877,0.838,0.893,0.538,0.162,0.023,0.6,0.492,0.58,0.5,0.6,0.477,0.175,0.025,0.501,0.427,0.524,0.428,0.524
GaussianProcessClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.758,0.098,0.014,0.78,0.732,0.783,0.73,0.795,0.689,0.092,0.013,0.7,0.665,0.714,0.65,0.75,0.689,0.092,0.013,0.7,0.662,0.714,0.65,0.75,0.77,0.119,0.017,0.8,0.736,0.802,0.7,0.8,0.673,0.096,0.014,0.667,0.648,0.7,0.615,0.707,0.712,0.082,0.012,0.71,0.688,0.735,0.696,0.739,0.78,0.087,0.012,0.791,0.754,0.803,0.755,0.823,0.608,0.16,0.023,0.6,0.566,0.652,0.5,0.7,0.392,0.186,0.027,0.404,0.344,0.444,0.314,0.503
GradientBoostingClassifier,none,69,minmax,median,5,10,Validation_score,0.892,0.083,0.012,0.915,0.87,0.915,0.88,0.935,0.812,0.09,0.013,0.8,0.784,0.836,0.8,0.85,0.812,0.09,0.013,0.8,0.787,0.837,0.8,0.85,0.8,0.125,0.018,0.8,0.764,0.834,0.8,0.9,0.831,0.109,0.016,0.826,0.8,0.862,0.789,0.889,0.808,0.093,0.013,0.818,0.783,0.834,0.8,0.842,0.905,0.08,0.011,0.926,0.882,0.925,0.91,0.949,0.824,0.13,0.019,0.8,0.79,0.86,0.8,0.9,0.634,0.179,0.026,0.612,0.585,0.684,0.6,0.704
GradientBoostingClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.87,0.081,0.012,0.88,0.846,0.89,0.85,0.9,0.787,0.089,0.013,0.8,0.764,0.811,0.75,0.85,0.787,0.089,0.013,0.8,0.761,0.812,0.75,0.85,0.758,0.137,0.02,0.8,0.72,0.796,0.7,0.8,0.816,0.112,0.016,0.818,0.783,0.846,0.789,0.857,0.777,0.102,0.015,0.8,0.747,0.803,0.762,0.824,0.897,0.061,0.009,0.9,0.88,0.913,0.891,0.921,0.816,0.125,0.018,0.8,0.782,0.85,0.8,0.9,0.585,0.179,0.026,0.612,0.535,0.632,0.524,0.704
