Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.823,0.16,0.023,0.44,1.0,0.873,0.777,0.864,0.775,0.882,0.889,0.125,0.018,0.681,1.0,0.875,0.854,0.923,0.875,1.0,0.926,0.095,0.014,0.75,1.0,1.0,0.899,0.952,0.875,1.0,0.908,0.082,0.012,0.716,1.0,0.933,0.884,0.929,0.875,0.935,0.908,0.082,0.012,0.716,1.0,0.929,0.884,0.93,0.875,0.938,0.928,0.091,0.013,0.762,1.0,1.0,0.9,0.952,0.875,1.0,0.903,0.092,0.013,0.71,1.0,0.928,0.877,0.928,0.889,0.933,0.97,0.053,0.008,0.882,1.0,0.983,0.953,0.983,0.969,1.0,0.97,0.062,0.009,0.869,1.0,0.986,0.952,0.984,0.975,1.0
ElasticNet,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.92,0.108,0.015,0.74,1.0,1.0,0.887,0.948,0.882,1.0,0.941,0.095,0.014,0.75,1.0,1.0,0.914,0.965,1.0,1.0,0.975,0.051,0.007,0.875,1.0,1.0,0.961,0.988,1.0,1.0,0.957,0.058,0.008,0.87,1.0,1.0,0.941,0.972,0.938,1.0,0.958,0.056,0.008,0.87,1.0,1.0,0.943,0.973,0.938,1.0,0.974,0.052,0.007,0.875,1.0,1.0,0.959,0.987,1.0,1.0,0.955,0.063,0.009,0.857,1.0,1.0,0.936,0.971,0.933,1.0,0.989,0.046,0.007,0.964,1.0,1.0,0.973,0.997,1.0,1.0,0.992,0.028,0.004,0.966,1.0,1.0,0.983,0.997,1.0,1.0
GaussianNB,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.194,0.236,0.034,-0.165,0.638,0.135,0.133,0.258,0.099,0.258,0.63,0.163,0.023,0.326,0.875,0.625,0.583,0.675,0.625,0.714,0.559,0.168,0.024,0.306,0.819,0.536,0.512,0.604,0.5,0.625,0.594,0.117,0.017,0.417,0.807,0.562,0.564,0.629,0.562,0.625,0.595,0.116,0.017,0.418,0.8,0.562,0.566,0.627,0.549,0.625,0.592,0.123,0.018,0.399,0.809,0.571,0.558,0.629,0.555,0.625,0.603,0.128,0.018,0.363,0.823,0.612,0.567,0.637,0.58,0.649,0.615,0.129,0.018,0.436,0.851,0.617,0.58,0.654,0.578,0.668,0.601,0.105,0.015,0.448,0.784,0.594,0.574,0.632,0.572,0.629
GaussianProcessClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.062,0.234,0.033,-0.378,0.378,0.0,-0.007,0.127,0.0,0.126,0.54,0.164,0.023,0.306,0.857,0.5,0.496,0.588,0.5,0.571,0.517,0.167,0.024,0.25,0.809,0.5,0.472,0.563,0.5,0.5,0.528,0.113,0.016,0.312,0.678,0.5,0.499,0.56,0.5,0.562,0.529,0.112,0.016,0.312,0.683,0.5,0.499,0.558,0.5,0.562,0.534,0.132,0.019,0.315,0.761,0.5,0.499,0.569,0.5,0.563,0.528,0.123,0.018,0.342,0.718,0.533,0.49,0.56,0.5,0.588,0.472,0.114,0.016,0.256,0.617,0.487,0.441,0.504,0.441,0.516,0.525,0.079,0.011,0.395,0.676,0.524,0.503,0.547,0.5,0.534
GradientBoostingClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.811,0.154,0.022,0.507,1.0,0.874,0.764,0.855,0.775,0.882,0.883,0.118,0.017,0.75,1.0,0.875,0.851,0.915,0.875,0.938,0.92,0.1,0.014,0.73,1.0,1.0,0.891,0.946,0.875,1.0,0.902,0.079,0.011,0.741,1.0,0.933,0.881,0.923,0.875,0.938,0.901,0.08,0.011,0.74,1.0,0.933,0.879,0.924,0.875,0.938,0.924,0.091,0.013,0.75,1.0,1.0,0.899,0.95,0.889,1.0,0.898,0.088,0.013,0.75,1.0,0.933,0.872,0.921,0.875,0.933,0.958,0.061,0.009,0.875,1.0,0.982,0.938,0.974,0.964,1.0,0.965,0.058,0.008,0.897,1.0,0.986,0.946,0.978,0.972,1.0
KNeighborsClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.121,0.241,0.034,-0.305,0.413,0.189,0.048,0.189,0.047,0.25,0.495,0.212,0.03,0.125,0.809,0.5,0.436,0.555,0.375,0.625,0.61,0.228,0.033,0.25,1.0,0.625,0.546,0.671,0.571,0.689,0.553,0.111,0.016,0.352,0.688,0.581,0.522,0.582,0.533,0.625,0.552,0.11,0.016,0.36,0.688,0.567,0.522,0.583,0.54,0.625,0.588,0.2,0.029,0.288,1.0,0.6,0.532,0.645,0.528,0.625,0.506,0.159,0.023,0.182,0.706,0.539,0.463,0.545,0.485,0.594,0.568,0.125,0.018,0.375,0.738,0.566,0.531,0.601,0.533,0.641,0.6,0.095,0.014,0.445,0.773,0.614,0.574,0.626,0.563,0.647
LGBMClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.814,0.168,0.024,0.516,1.0,0.875,0.771,0.86,0.775,0.882,0.902,0.129,0.018,0.681,1.0,0.938,0.866,0.936,0.875,1.0,0.904,0.111,0.016,0.625,1.0,0.875,0.872,0.932,0.875,1.0,0.903,0.087,0.012,0.75,1.0,0.933,0.88,0.926,0.875,0.938,0.903,0.088,0.013,0.75,1.0,0.938,0.879,0.926,0.875,0.938,0.911,0.098,0.014,0.7,1.0,0.889,0.884,0.936,0.875,1.0,0.9,0.096,0.014,0.743,1.0,0.933,0.873,0.926,0.875,0.941,0.967,0.046,0.007,0.872,1.0,0.984,0.953,0.979,0.973,1.0,0.971,0.043,0.006,0.872,1.0,0.986,0.959,0.983,0.97,1.0
LinearDiscriminantAnalysis,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.345,0.216,0.031,-0.03,0.63,0.378,0.282,0.406,0.3,0.464,0.671,0.133,0.019,0.5,0.875,0.625,0.636,0.71,0.625,0.714,0.665,0.175,0.025,0.375,0.875,0.732,0.619,0.712,0.625,0.75,0.669,0.106,0.015,0.482,0.812,0.688,0.638,0.698,0.646,0.733,0.668,0.106,0.015,0.485,0.812,0.688,0.639,0.698,0.643,0.723,0.685,0.121,0.017,0.5,0.867,0.7,0.653,0.719,0.667,0.714,0.668,0.099,0.014,0.533,0.824,0.667,0.64,0.695,0.615,0.714,0.721,0.117,0.017,0.514,0.868,0.75,0.69,0.753,0.68,0.777,0.764,0.114,0.016,0.542,0.912,0.773,0.734,0.796,0.729,0.819
LogisticRegression,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.881,0.122,0.017,0.65,1.0,0.882,0.846,0.917,0.875,1.0,0.942,0.098,0.014,0.75,1.0,1.0,0.914,0.968,1.0,1.0,0.934,0.081,0.012,0.857,1.0,1.0,0.911,0.955,0.875,1.0,0.937,0.064,0.009,0.812,1.0,0.938,0.917,0.954,0.933,0.969,0.938,0.064,0.009,0.812,1.0,0.938,0.92,0.957,0.938,1.0,0.938,0.071,0.01,0.844,1.0,1.0,0.918,0.958,0.889,1.0,0.936,0.068,0.01,0.8,1.0,0.941,0.917,0.954,0.933,1.0,0.983,0.041,0.006,0.929,1.0,1.0,0.971,0.993,1.0,1.0,0.987,0.03,0.004,0.929,1.0,1.0,0.977,0.994,1.0,1.0
RandomForestClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.672,0.196,0.028,0.357,1.0,0.652,0.614,0.725,0.63,0.757,0.825,0.139,0.02,0.532,1.0,0.875,0.786,0.863,0.75,0.875,0.839,0.125,0.018,0.625,1.0,0.857,0.803,0.871,0.75,0.875,0.83,0.099,0.014,0.667,1.0,0.812,0.803,0.856,0.812,0.871,0.832,0.099,0.014,0.674,1.0,0.812,0.804,0.858,0.812,0.875,0.846,0.116,0.017,0.667,1.0,0.857,0.816,0.877,0.778,0.875,0.827,0.104,0.015,0.638,1.0,0.824,0.798,0.856,0.8,0.875,0.925,0.076,0.011,0.791,1.0,0.953,0.902,0.945,0.902,0.969,0.936,0.065,0.009,0.809,1.0,0.953,0.918,0.953,0.921,0.975
SVC,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.347,0.197,0.028,0.018,0.63,0.359,0.292,0.398,0.25,0.468,0.66,0.129,0.018,0.5,0.875,0.625,0.625,0.696,0.625,0.714,0.68,0.148,0.021,0.399,0.875,0.732,0.64,0.719,0.625,0.75,0.671,0.095,0.014,0.515,0.812,0.677,0.644,0.698,0.625,0.733,0.67,0.096,0.014,0.508,0.812,0.679,0.644,0.698,0.625,0.723,0.684,0.111,0.016,0.5,0.846,0.683,0.654,0.713,0.625,0.714,0.665,0.1,0.014,0.515,0.824,0.667,0.635,0.691,0.625,0.714,0.714,0.118,0.017,0.541,0.885,0.719,0.682,0.745,0.658,0.768,0.757,0.108,0.015,0.589,0.9,0.76,0.725,0.786,0.725,0.802
XGBClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.841,0.16,0.023,0.548,1.0,0.882,0.796,0.884,0.873,0.882,0.904,0.103,0.015,0.75,1.0,0.875,0.872,0.931,0.875,1.0,0.931,0.095,0.014,0.75,1.0,1.0,0.904,0.956,0.875,1.0,0.918,0.081,0.012,0.773,1.0,0.938,0.894,0.939,0.933,0.938,0.918,0.081,0.012,0.766,1.0,0.938,0.894,0.939,0.929,0.938,0.934,0.091,0.013,0.75,1.0,1.0,0.907,0.957,0.889,1.0,0.915,0.084,0.012,0.738,1.0,0.933,0.89,0.937,0.923,0.941,0.974,0.042,0.006,0.874,1.0,1.0,0.961,0.985,0.982,1.0,0.977,0.039,0.006,0.892,1.0,1.0,0.966,0.987,0.982,1.0
CatBoostClassifier,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,one_sem,0.818,0.154,0.022,0.481,1.0,0.875,0.77,0.856,0.873,0.882,0.889,0.118,0.017,0.681,1.0,0.875,0.856,0.92,0.875,0.938,0.921,0.097,0.014,0.75,1.0,1.0,0.895,0.947,0.875,1.0,0.905,0.078,0.011,0.738,1.0,0.933,0.883,0.925,0.933,0.938,0.905,0.078,0.011,0.74,1.0,0.938,0.883,0.926,0.929,0.938,0.924,0.095,0.014,0.75,1.0,1.0,0.897,0.949,0.882,1.0,0.901,0.088,0.013,0.727,1.0,0.933,0.874,0.923,0.906,0.933,0.969,0.045,0.006,0.882,1.0,0.984,0.956,0.98,0.969,1.0,0.972,0.042,0.006,0.885,1.0,0.986,0.96,0.983,0.973,1.0
ElasticNet,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,one_sem,0.903,0.105,0.015,0.732,1.0,0.882,0.873,0.932,0.878,1.0,0.941,0.081,0.012,0.857,1.0,1.0,0.919,0.964,0.875,1.0,0.959,0.065,0.009,0.857,1.0,1.0,0.94,0.977,1.0,1.0,0.949,0.055,0.008,0.867,1.0,0.938,0.934,0.963,0.938,1.0,0.95,0.054,0.008,0.866,1.0,0.938,0.934,0.963,0.938,1.0,0.96,0.062,0.009,0.865,1.0,1.0,0.942,0.977,1.0,1.0,0.948,0.056,0.008,0.865,1.0,0.937,0.932,0.964,0.933,1.0,0.988,0.041,0.006,0.954,1.0,1.0,0.977,0.996,1.0,1.0,0.991,0.026,0.004,0.958,1.0,1.0,0.983,0.997,1.0,1.0
GaussianNB,full,chi2,1430,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,one_sem,0.194,0.236,0.034,-0.165,0.638,0.135,0.131,0.262,0.099,0.258,0.63,0.163,0.023,0.326,0.875,0.625,0.584,0.673,0.625,0.714,0.559,0.168,0.024,0.306,0.819,0.536,0.515,0.605,0.5,0.625,0.594,0.117,0.017,0.417,0.807,0.562,0.562,0.627,0.562,0.612,0.595,0.116,0.017,0.418,0.8,0.562,0.562,0.627,0.549,0.621,0.592,0.123,0.018,0.399,0.809,0.571,0.56,0.625,0.551,0.612,0.603,0.128,0.018,0.363,0.823,0.612,0.568,0.637,0.588,0.646,0.615,0.129,0.018,0.436,0.851,0.617,0.577,0.653,0.57,0.668,0.601,0.105,0.015,0.448,0.784,0.594,0.57,0.631,0.571,0.629
