Est,Fs_num,Sel_way,Fs_inner,Norm,Miss_vals,Splits,Rnds,Class_blnc,Scoring,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed
CatBoostClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.831,0.17,0.024,0.481,1.0,0.875,0.78,0.874,0.873,0.882,0.969,0.049,0.007,0.875,1.0,1.0,0.954,0.981,0.969,1.0,0.913,0.086,0.012,0.733,1.0,0.933,0.887,0.935,0.933,0.938,0.913,0.087,0.012,0.731,1.0,0.938,0.888,0.936,0.929,0.938,0.91,0.108,0.015,0.75,1.0,0.875,0.882,0.938,0.875,1.0,0.921,0.102,0.015,0.717,1.0,1.0,0.89,0.948,0.882,1.0,0.912,0.091,0.013,0.726,1.0,0.933,0.887,0.936,0.923,0.937,0.972,0.044,0.006,0.88,1.0,1.0,0.959,0.984,0.975,1.0,0.916,0.109,0.016,0.73,1.0,1.0,0.886,0.944,0.875,1.0
ElasticNet,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.691,0.199,0.028,0.289,0.882,0.75,0.636,0.746,0.607,0.775,0.909,0.088,0.013,0.703,1.0,0.929,0.884,0.932,0.892,0.969,0.841,0.099,0.014,0.644,0.938,0.871,0.813,0.867,0.8,0.904,0.841,0.099,0.014,0.641,0.938,0.871,0.815,0.867,0.808,0.902,0.846,0.122,0.017,0.625,1.0,0.875,0.811,0.881,0.857,0.875,0.85,0.119,0.017,0.63,1.0,0.875,0.813,0.883,0.817,0.889,0.842,0.098,0.014,0.644,0.941,0.857,0.814,0.868,0.824,0.904,0.928,0.074,0.011,0.782,1.0,0.947,0.907,0.946,0.926,0.968,0.837,0.137,0.02,0.571,1.0,0.875,0.798,0.875,0.857,0.875
GaussianNB,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.194,0.236,0.034,-0.165,0.638,0.135,0.133,0.26,0.099,0.258,0.615,0.129,0.018,0.436,0.851,0.617,0.58,0.651,0.571,0.664,0.594,0.117,0.017,0.417,0.807,0.562,0.562,0.626,0.548,0.625,0.595,0.116,0.017,0.418,0.8,0.562,0.563,0.627,0.549,0.625,0.63,0.163,0.023,0.326,0.875,0.625,0.586,0.675,0.625,0.714,0.592,0.123,0.018,0.399,0.809,0.571,0.558,0.627,0.551,0.625,0.603,0.128,0.018,0.363,0.823,0.612,0.569,0.639,0.58,0.649,0.601,0.105,0.015,0.448,0.784,0.594,0.574,0.63,0.571,0.629,0.559,0.168,0.024,0.306,0.819,0.536,0.515,0.604,0.5,0.625
GaussianProcessClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.062,0.234,0.033,-0.378,0.378,0.0,-0.003,0.127,0.0,0.126,0.472,0.114,0.016,0.256,0.617,0.487,0.441,0.503,0.441,0.517,0.528,0.113,0.016,0.312,0.678,0.5,0.498,0.561,0.5,0.562,0.529,0.112,0.016,0.312,0.683,0.5,0.497,0.561,0.5,0.554,0.54,0.164,0.023,0.306,0.857,0.5,0.494,0.589,0.5,0.598,0.534,0.132,0.019,0.315,0.761,0.5,0.498,0.572,0.5,0.558,0.528,0.123,0.018,0.342,0.718,0.533,0.493,0.561,0.5,0.588,0.525,0.079,0.011,0.395,0.676,0.524,0.502,0.548,0.5,0.533,0.517,0.167,0.024,0.25,0.809,0.5,0.471,0.563,0.5,0.5
GradientBoostingClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.503,0.23,0.033,0.126,0.775,0.5,0.442,0.568,0.464,0.63,0.786,0.108,0.015,0.6,0.95,0.793,0.756,0.817,0.741,0.82,0.746,0.113,0.016,0.562,0.875,0.75,0.714,0.775,0.733,0.812,0.747,0.113,0.016,0.562,0.875,0.75,0.718,0.777,0.732,0.812,0.716,0.151,0.022,0.5,0.944,0.75,0.675,0.754,0.67,0.75,0.773,0.14,0.02,0.563,1.0,0.778,0.736,0.813,0.75,0.817,0.734,0.123,0.018,0.533,0.889,0.75,0.701,0.767,0.732,0.8,0.783,0.115,0.016,0.588,0.954,0.786,0.749,0.814,0.743,0.817,0.779,0.146,0.021,0.556,1.0,0.75,0.736,0.817,0.75,0.866
KNeighborsClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.069,0.249,0.036,-0.338,0.425,0.126,0.004,0.142,0.0,0.189,0.551,0.131,0.019,0.357,0.788,0.546,0.518,0.587,0.509,0.571,0.533,0.122,0.017,0.341,0.713,0.548,0.496,0.568,0.5,0.563,0.533,0.121,0.017,0.341,0.712,0.558,0.502,0.565,0.5,0.576,0.497,0.184,0.026,0.181,0.75,0.5,0.442,0.547,0.429,0.562,0.542,0.144,0.021,0.266,0.75,0.556,0.501,0.583,0.5,0.6,0.504,0.15,0.021,0.222,0.711,0.533,0.461,0.543,0.429,0.571,0.587,0.087,0.012,0.439,0.742,0.588,0.563,0.612,0.548,0.609,0.568,0.199,0.028,0.25,0.875,0.571,0.506,0.623,0.5,0.625
LGBMClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.832,0.134,0.019,0.63,1.0,0.875,0.792,0.868,0.76,0.882,0.971,0.038,0.005,0.882,1.0,0.984,0.959,0.981,0.967,1.0,0.913,0.069,0.01,0.806,1.0,0.933,0.894,0.93,0.875,0.938,0.913,0.069,0.01,0.798,1.0,0.938,0.893,0.931,0.875,0.938,0.904,0.095,0.014,0.75,1.0,0.875,0.877,0.929,0.875,1.0,0.925,0.086,0.012,0.778,1.0,1.0,0.9,0.949,0.875,1.0,0.91,0.072,0.01,0.773,1.0,0.933,0.891,0.928,0.875,0.933,0.977,0.031,0.004,0.909,1.0,0.986,0.969,0.985,0.977,1.0,0.921,0.094,0.013,0.75,1.0,1.0,0.895,0.947,0.875,1.0
LinearDiscriminantAnalysis,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.073,0.254,0.036,-0.355,0.488,0.083,0.0,0.141,0.0,0.189,0.522,0.157,0.022,0.273,0.752,0.5,0.48,0.566,0.453,0.578,0.536,0.123,0.018,0.333,0.742,0.533,0.499,0.568,0.483,0.6,0.536,0.123,0.018,0.329,0.738,0.54,0.503,0.569,0.491,0.589,0.543,0.185,0.026,0.191,0.819,0.536,0.492,0.593,0.5,0.625,0.532,0.138,0.02,0.26,0.721,0.523,0.496,0.57,0.5,0.571,0.53,0.148,0.021,0.23,0.734,0.533,0.489,0.568,0.5,0.586,0.589,0.137,0.02,0.412,0.815,0.568,0.552,0.626,0.517,0.645,0.529,0.163,0.023,0.25,0.75,0.536,0.482,0.573,0.5,0.625
LogisticRegression,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.321,0.212,0.03,0.0,0.63,0.359,0.264,0.375,0.25,0.464,0.708,0.123,0.018,0.514,0.875,0.725,0.671,0.741,0.656,0.766,0.658,0.104,0.015,0.5,0.812,0.677,0.63,0.686,0.612,0.733,0.658,0.104,0.015,0.5,0.812,0.679,0.63,0.686,0.625,0.723,0.663,0.123,0.018,0.461,0.875,0.625,0.629,0.7,0.625,0.75,0.669,0.12,0.017,0.5,0.857,0.667,0.638,0.704,0.612,0.714,0.659,0.1,0.014,0.515,0.813,0.667,0.63,0.686,0.615,0.706,0.76,0.114,0.016,0.565,0.918,0.759,0.731,0.791,0.735,0.825,0.652,0.17,0.024,0.375,0.875,0.714,0.604,0.697,0.625,0.75
RandomForestClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.539,0.238,0.034,0.158,0.874,0.589,0.474,0.607,0.5,0.646,0.851,0.114,0.016,0.61,0.996,0.875,0.82,0.882,0.821,0.902,0.76,0.118,0.017,0.579,0.933,0.775,0.728,0.789,0.742,0.812,0.761,0.117,0.017,0.579,0.933,0.772,0.729,0.791,0.75,0.812,0.697,0.183,0.026,0.375,1.0,0.732,0.645,0.746,0.625,0.75,0.811,0.148,0.021,0.571,1.0,0.789,0.769,0.851,0.75,0.861,0.737,0.141,0.02,0.5,0.929,0.769,0.701,0.777,0.714,0.8,0.857,0.111,0.016,0.651,0.994,0.886,0.827,0.887,0.843,0.912,0.824,0.145,0.021,0.625,1.0,0.857,0.787,0.864,0.75,0.875
SVC,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.115,0.236,0.034,-0.258,0.484,0.126,0.048,0.184,0.126,0.196,0.587,0.145,0.021,0.359,0.794,0.593,0.547,0.625,0.531,0.648,0.552,0.114,0.016,0.375,0.742,0.562,0.522,0.585,0.533,0.6,0.555,0.114,0.016,0.375,0.742,0.562,0.524,0.585,0.545,0.585,0.601,0.165,0.024,0.375,0.867,0.625,0.557,0.646,0.5,0.625,0.56,0.128,0.018,0.386,0.75,0.556,0.525,0.596,0.5,0.577,0.568,0.115,0.016,0.386,0.744,0.58,0.536,0.598,0.533,0.612,0.654,0.116,0.017,0.454,0.813,0.639,0.622,0.687,0.626,0.708,0.509,0.191,0.027,0.25,0.809,0.5,0.456,0.564,0.464,0.501
XGBClassifier,1430,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.792,0.152,0.022,0.495,1.0,0.873,0.75,0.832,0.76,0.875,0.958,0.045,0.006,0.859,1.0,0.969,0.945,0.97,0.955,0.983,0.891,0.079,0.011,0.733,1.0,0.933,0.867,0.912,0.875,0.933,0.891,0.079,0.011,0.745,1.0,0.929,0.869,0.911,0.875,0.938,0.884,0.114,0.016,0.73,1.0,0.875,0.851,0.914,0.875,0.938,0.908,0.102,0.015,0.712,1.0,0.889,0.881,0.934,0.875,1.0,0.889,0.082,0.012,0.75,1.0,0.923,0.867,0.912,0.875,0.933,0.965,0.039,0.006,0.894,1.0,0.975,0.954,0.976,0.959,0.986,0.898,0.119,0.017,0.625,1.0,0.875,0.864,0.929,0.875,1.0
