Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.908,0.111,0.016,1.0,0.874,0.939,0.882,1.0,0.954,0.071,0.01,1.0,0.933,0.972,1.0,1.0,0.952,0.071,0.01,1.0,0.931,0.97,1.0,1.0,0.953,0.057,0.008,1.0,0.937,0.967,0.938,1.0,0.953,0.057,0.008,1.0,0.937,0.968,0.938,1.0,0.954,0.066,0.009,1.0,0.936,0.971,1.0,1.0,0.952,0.057,0.008,1.0,0.934,0.968,0.933,1.0,0.991,0.017,0.002,1.0,0.986,0.996,1.0,1.0,0.992,0.015,0.002,1.0,0.988,0.996,1.0,1.0
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.921,0.118,0.017,1.0,0.884,0.952,0.882,1.0,0.947,0.091,0.013,1.0,0.922,0.97,1.0,1.0,0.97,0.074,0.011,1.0,0.948,0.988,1.0,1.0,0.958,0.063,0.009,1.0,0.939,0.974,0.938,1.0,0.958,0.062,0.009,1.0,0.939,0.975,0.938,1.0,0.972,0.067,0.01,1.0,0.952,0.987,1.0,1.0,0.956,0.065,0.009,1.0,0.936,0.974,0.933,1.0,0.994,0.017,0.002,1.0,0.988,0.998,1.0,1.0,0.994,0.015,0.002,1.0,0.99,0.998,1.0,1.0
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.796,0.138,0.02,0.775,0.756,0.832,0.75,0.875,0.895,0.106,0.015,0.875,0.864,0.923,0.875,1.0,0.891,0.125,0.018,0.875,0.855,0.924,0.875,1.0,0.892,0.075,0.011,0.875,0.87,0.912,0.875,0.933,0.893,0.073,0.01,0.875,0.873,0.914,0.875,0.938,0.902,0.1,0.014,0.889,0.873,0.929,0.875,1.0,0.891,0.075,0.011,0.882,0.869,0.912,0.875,0.933,0.945,0.078,0.011,0.975,0.923,0.966,0.959,1.0,0.943,0.095,0.014,0.979,0.915,0.966,0.962,1.0
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.918,0.114,0.016,1.0,0.886,0.946,0.882,1.0,0.949,0.084,0.012,1.0,0.924,0.972,1.0,1.0,0.965,0.076,0.011,1.0,0.941,0.984,1.0,1.0,0.956,0.06,0.009,1.0,0.94,0.971,0.938,1.0,0.957,0.059,0.008,1.0,0.942,0.972,0.938,1.0,0.967,0.068,0.01,1.0,0.946,0.985,1.0,1.0,0.955,0.061,0.009,1.0,0.938,0.971,0.937,1.0,0.991,0.021,0.003,1.0,0.985,0.997,1.0,1.0,0.993,0.017,0.002,1.0,0.988,0.997,1.0,1.0
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.793,0.161,0.023,0.873,0.746,0.835,0.769,0.879,0.885,0.107,0.015,0.875,0.854,0.913,0.875,0.938,0.9,0.117,0.017,0.938,0.867,0.932,0.875,1.0,0.892,0.082,0.012,0.933,0.871,0.914,0.871,0.935,0.892,0.082,0.012,0.929,0.87,0.914,0.875,0.938,0.908,0.104,0.015,0.944,0.878,0.934,0.875,1.0,0.891,0.083,0.012,0.928,0.868,0.913,0.857,0.933,0.974,0.035,0.005,0.983,0.963,0.983,0.975,1.0,0.978,0.031,0.004,0.986,0.969,0.985,0.979,1.0
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.917,0.116,0.017,1.0,0.885,0.947,0.882,1.0,0.936,0.096,0.014,1.0,0.91,0.959,0.998,1.0,0.977,0.056,0.008,1.0,0.961,0.992,1.0,1.0,0.956,0.061,0.009,1.0,0.938,0.973,0.938,1.0,0.956,0.06,0.009,1.0,0.938,0.973,0.938,1.0,0.977,0.055,0.008,1.0,0.962,0.991,1.0,1.0,0.953,0.065,0.009,1.0,0.935,0.971,0.937,1.0,0.987,0.034,0.005,1.0,0.977,0.996,1.0,1.0,0.984,0.043,0.006,1.0,0.971,0.995,1.0,1.0
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.842,0.139,0.02,0.873,0.801,0.88,0.775,0.882,0.904,0.121,0.017,1.0,0.869,0.939,0.875,1.0,0.929,0.088,0.013,1.0,0.902,0.952,0.875,1.0,0.917,0.074,0.011,0.933,0.893,0.936,0.875,0.938,0.916,0.074,0.011,0.929,0.895,0.936,0.875,0.938,0.933,0.08,0.011,1.0,0.91,0.955,0.889,1.0,0.912,0.081,0.012,0.933,0.888,0.933,0.875,0.941,0.981,0.03,0.004,1.0,0.972,0.988,0.982,1.0,0.985,0.024,0.003,1.0,0.977,0.991,0.982,1.0
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.903,0.122,0.017,0.941,0.868,0.937,0.882,1.0,0.934,0.095,0.014,1.0,0.905,0.959,0.938,1.0,0.965,0.076,0.011,1.0,0.94,0.982,1.0,1.0,0.949,0.064,0.009,0.969,0.93,0.966,0.938,1.0,0.949,0.064,0.009,0.969,0.931,0.966,0.938,1.0,0.967,0.069,0.01,1.0,0.947,0.984,1.0,1.0,0.947,0.067,0.01,0.971,0.927,0.963,0.933,1.0,0.988,0.029,0.004,1.0,0.98,0.995,1.0,1.0,0.99,0.024,0.003,1.0,0.983,0.996,1.0,1.0
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.913,0.124,0.018,1.0,0.877,0.946,0.882,1.0,0.941,0.092,0.013,1.0,0.915,0.965,1.0,1.0,0.967,0.079,0.011,1.0,0.945,0.988,1.0,1.0,0.954,0.066,0.009,1.0,0.933,0.972,0.938,1.0,0.954,0.065,0.009,1.0,0.934,0.972,0.938,1.0,0.97,0.071,0.01,1.0,0.949,0.988,1.0,1.0,0.952,0.068,0.01,1.0,0.933,0.97,0.933,1.0,0.988,0.028,0.004,1.0,0.981,0.995,1.0,1.0,0.99,0.022,0.003,1.0,0.984,0.996,1.0,1.0
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.867,0.137,0.02,0.882,0.832,0.905,0.874,1.0,0.92,0.105,0.015,1.0,0.891,0.949,0.875,1.0,0.941,0.084,0.012,1.0,0.919,0.962,0.936,1.0,0.931,0.071,0.01,0.938,0.913,0.949,0.933,1.0,0.931,0.071,0.01,0.938,0.91,0.95,0.929,1.0,0.944,0.076,0.011,1.0,0.922,0.965,0.943,1.0,0.928,0.076,0.011,0.933,0.907,0.949,0.928,1.0,0.985,0.025,0.004,1.0,0.978,0.992,0.992,1.0,0.986,0.028,0.004,1.0,0.978,0.993,0.993,1.0
