Est,Fs_num,Sel_way,Fs_inner,Norm,Miss_vals,Splits,Rnds,Class_blnc,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed
CatBoostClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.867,0.135,0.019,0.875,0.83,0.904,0.873,0.941,0.987,0.023,0.003,1.0,0.98,0.993,1.0,1.0,0.931,0.069,0.01,0.933,0.911,0.95,0.933,0.969,0.931,0.07,0.01,0.938,0.911,0.948,0.929,0.969,0.925,0.095,0.014,1.0,0.896,0.95,0.875,1.0,0.941,0.082,0.012,1.0,0.918,0.962,0.889,1.0,0.929,0.072,0.01,0.933,0.909,0.949,0.933,0.971,0.989,0.02,0.003,1.0,0.983,0.994,1.0,1.0,0.936,0.092,0.013,1.0,0.91,0.961,0.875,1.0
ElasticNet,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.923,0.108,0.015,1.0,0.892,0.951,0.882,1.0,0.995,0.015,0.002,1.0,0.991,0.999,1.0,1.0,0.959,0.057,0.008,1.0,0.942,0.974,0.938,1.0,0.959,0.057,0.008,1.0,0.942,0.975,0.938,1.0,0.949,0.087,0.012,1.0,0.924,0.972,1.0,1.0,0.971,0.061,0.009,1.0,0.954,0.987,1.0,1.0,0.957,0.061,0.009,1.0,0.94,0.973,0.933,1.0,0.996,0.013,0.002,1.0,0.992,0.999,1.0,1.0,0.97,0.065,0.009,1.0,0.952,0.987,1.0,1.0
GaussianNB,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.796,0.138,0.02,0.775,0.756,0.83,0.75,0.875,0.945,0.078,0.011,0.975,0.922,0.965,0.959,1.0,0.892,0.075,0.011,0.875,0.87,0.914,0.875,0.933,0.893,0.073,0.01,0.875,0.874,0.912,0.875,0.938,0.895,0.106,0.015,0.875,0.865,0.924,0.875,1.0,0.902,0.1,0.014,0.889,0.874,0.927,0.875,1.0,0.891,0.075,0.011,0.882,0.869,0.911,0.875,0.933,0.943,0.095,0.014,0.979,0.916,0.968,0.962,1.0,0.891,0.125,0.018,0.875,0.85,0.924,0.875,1.0
GaussianProcessClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.918,0.114,0.016,1.0,0.886,0.946,0.882,1.0,0.991,0.021,0.003,1.0,0.984,0.997,1.0,1.0,0.956,0.06,0.009,1.0,0.938,0.972,0.938,1.0,0.957,0.059,0.008,1.0,0.94,0.972,0.938,1.0,0.949,0.084,0.012,1.0,0.924,0.97,1.0,1.0,0.967,0.068,0.01,1.0,0.948,0.985,1.0,1.0,0.955,0.061,0.009,1.0,0.935,0.971,0.933,1.0,0.993,0.017,0.002,1.0,0.987,0.997,1.0,1.0,0.965,0.076,0.011,1.0,0.944,0.985,1.0,1.0
GradientBoostingClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.655,0.213,0.03,0.732,0.592,0.707,0.645,0.75,0.873,0.098,0.014,0.9,0.846,0.901,0.863,0.929,0.823,0.106,0.015,0.867,0.792,0.851,0.812,0.875,0.823,0.106,0.015,0.866,0.794,0.851,0.812,0.875,0.8,0.149,0.021,0.857,0.756,0.838,0.75,0.875,0.843,0.124,0.018,0.866,0.808,0.876,0.833,0.875,0.815,0.12,0.017,0.857,0.781,0.847,0.824,0.875,0.858,0.108,0.015,0.876,0.829,0.887,0.824,0.922,0.847,0.118,0.017,0.875,0.813,0.879,0.857,0.875
KNeighborsClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.88,0.125,0.018,0.882,0.843,0.913,0.874,1.0,0.979,0.032,0.005,0.992,0.969,0.987,0.982,1.0,0.937,0.065,0.009,0.938,0.918,0.955,0.933,1.0,0.937,0.065,0.009,0.938,0.916,0.953,0.933,1.0,0.915,0.101,0.014,1.0,0.888,0.94,0.875,1.0,0.96,0.072,0.01,1.0,0.94,0.979,1.0,1.0,0.933,0.07,0.01,0.933,0.913,0.952,0.933,1.0,0.975,0.035,0.005,0.986,0.965,0.984,0.975,1.0,0.959,0.074,0.011,1.0,0.938,0.979,1.0,1.0
LGBMClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.841,0.121,0.017,0.875,0.808,0.874,0.775,0.882,0.979,0.027,0.004,1.0,0.971,0.987,0.975,1.0,0.917,0.063,0.009,0.933,0.898,0.934,0.875,0.938,0.917,0.063,0.009,0.938,0.899,0.933,0.875,0.938,0.895,0.112,0.016,0.875,0.862,0.925,0.875,1.0,0.94,0.068,0.01,1.0,0.92,0.958,0.889,1.0,0.912,0.071,0.01,0.933,0.891,0.93,0.875,0.937,0.984,0.021,0.003,1.0,0.978,0.989,0.979,1.0,0.939,0.068,0.01,1.0,0.919,0.957,0.875,1.0
LinearDiscriminantAnalysis,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.883,0.113,0.016,0.882,0.851,0.913,0.875,1.0,0.984,0.025,0.004,1.0,0.977,0.991,0.984,1.0,0.937,0.061,0.009,0.938,0.921,0.954,0.933,1.0,0.938,0.06,0.009,0.938,0.921,0.954,0.938,1.0,0.913,0.109,0.016,1.0,0.884,0.941,0.875,1.0,0.965,0.066,0.009,1.0,0.945,0.982,1.0,1.0,0.933,0.067,0.01,0.933,0.915,0.95,0.933,1.0,0.987,0.023,0.003,1.0,0.98,0.993,0.986,1.0,0.962,0.072,0.01,1.0,0.942,0.982,1.0,1.0
LogisticRegression,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.913,0.115,0.016,1.0,0.88,0.942,0.882,1.0,0.991,0.024,0.003,1.0,0.983,0.997,1.0,1.0,0.954,0.061,0.009,1.0,0.936,0.97,0.938,1.0,0.954,0.06,0.009,1.0,0.936,0.971,0.938,1.0,0.939,0.088,0.013,1.0,0.915,0.964,0.938,1.0,0.972,0.067,0.01,1.0,0.951,0.988,1.0,1.0,0.952,0.062,0.009,1.0,0.934,0.968,0.933,1.0,0.993,0.019,0.003,1.0,0.987,0.997,1.0,1.0,0.97,0.074,0.011,1.0,0.947,0.988,1.0,1.0
RandomForestClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.895,0.115,0.016,0.882,0.865,0.926,0.878,1.0,0.992,0.016,0.002,1.0,0.987,0.996,1.0,1.0,0.944,0.063,0.009,0.938,0.926,0.961,0.938,1.0,0.944,0.062,0.009,0.938,0.927,0.962,0.938,1.0,0.923,0.11,0.016,1.0,0.891,0.952,0.875,1.0,0.969,0.058,0.008,1.0,0.953,0.984,1.0,1.0,0.94,0.072,0.01,0.937,0.92,0.959,0.933,1.0,0.993,0.014,0.002,1.0,0.988,0.996,1.0,1.0,0.966,0.063,0.009,1.0,0.949,0.982,1.0,1.0
SVC,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.9,0.118,0.017,0.882,0.866,0.931,0.875,1.0,0.989,0.022,0.003,1.0,0.983,0.995,1.0,1.0,0.946,0.064,0.009,0.938,0.928,0.963,0.933,1.0,0.946,0.064,0.009,0.938,0.929,0.964,0.938,1.0,0.928,0.108,0.015,1.0,0.896,0.956,0.875,1.0,0.968,0.071,0.01,1.0,0.947,0.985,1.0,1.0,0.942,0.07,0.01,0.941,0.922,0.96,0.933,1.0,0.991,0.018,0.003,1.0,0.986,0.996,1.0,1.0,0.965,0.079,0.011,1.0,0.942,0.982,1.0,1.0
XGBClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.834,0.159,0.023,0.875,0.788,0.875,0.873,0.882,0.974,0.042,0.006,0.984,0.961,0.986,0.982,1.0,0.914,0.081,0.012,0.933,0.89,0.935,0.933,0.938,0.914,0.082,0.012,0.938,0.893,0.937,0.929,0.938,0.902,0.114,0.016,0.875,0.869,0.931,0.875,1.0,0.929,0.093,0.013,1.0,0.903,0.955,0.889,1.0,0.911,0.089,0.013,0.933,0.885,0.935,0.923,0.937,0.978,0.038,0.005,0.986,0.967,0.987,0.982,1.0,0.926,0.102,0.015,1.0,0.897,0.954,0.875,1.0
