Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.092,0.241,0.034,-0.296,0.55,0.063,0.028,0.161,0.0,0.189,0.546,0.181,0.026,0.25,0.75,0.571,0.492,0.598,0.5,0.625,0.538,0.187,0.027,0.266,0.875,0.5,0.487,0.589,0.5,0.625,0.543,0.116,0.017,0.352,0.75,0.533,0.512,0.575,0.5,0.582,0.542,0.115,0.016,0.355,0.75,0.531,0.512,0.574,0.5,0.576,0.553,0.143,0.02,0.333,0.833,0.523,0.516,0.593,0.5,0.583,0.535,0.134,0.019,0.319,0.745,0.539,0.497,0.572,0.485,0.588,0.563,0.128,0.018,0.339,0.792,0.562,0.53,0.6,0.518,0.586,0.624,0.099,0.014,0.471,0.808,0.621,0.598,0.653,0.58,0.644
ElasticNet,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.069,0.181,0.026,-0.208,0.43,0.055,0.02,0.121,0.0,0.126,0.566,0.183,0.026,0.266,0.875,0.598,0.517,0.614,0.5,0.625,0.498,0.171,0.024,0.25,0.75,0.5,0.452,0.54,0.429,0.571,0.532,0.086,0.012,0.4,0.713,0.533,0.51,0.557,0.5,0.562,0.532,0.086,0.012,0.397,0.707,0.527,0.509,0.556,0.5,0.562,0.53,0.095,0.014,0.386,0.708,0.5,0.506,0.556,0.5,0.556,0.536,0.117,0.017,0.333,0.685,0.544,0.502,0.569,0.5,0.588,0.551,0.114,0.016,0.374,0.759,0.518,0.52,0.582,0.5,0.6,0.627,0.098,0.014,0.499,0.792,0.621,0.6,0.657,0.581,0.655
GaussianNB,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,-0.023,0.239,0.034,-0.334,0.437,-0.02,-0.086,0.04,-0.131,0.027,0.456,0.169,0.024,0.25,0.734,0.5,0.411,0.498,0.375,0.5,0.521,0.162,0.023,0.266,0.809,0.5,0.476,0.564,0.5,0.536,0.489,0.116,0.017,0.333,0.713,0.483,0.459,0.522,0.438,0.5,0.489,0.116,0.017,0.334,0.712,0.491,0.456,0.523,0.438,0.5,0.486,0.139,0.02,0.292,0.714,0.5,0.448,0.525,0.429,0.5,0.463,0.142,0.02,0.286,0.714,0.472,0.425,0.504,0.4,0.533,0.477,0.129,0.018,0.275,0.696,0.484,0.439,0.511,0.429,0.525,0.531,0.09,0.013,0.408,0.683,0.518,0.505,0.557,0.48,0.562
GaussianProcessClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,-0.023,0.243,0.035,-0.401,0.361,-0.027,-0.084,0.045,-0.135,0.026,0.683,0.174,0.025,0.375,0.875,0.625,0.636,0.732,0.625,0.75,0.3,0.175,0.025,0.0,0.601,0.286,0.255,0.347,0.25,0.375,0.49,0.105,0.015,0.322,0.648,0.483,0.461,0.517,0.438,0.533,0.491,0.105,0.015,0.317,0.65,0.487,0.463,0.521,0.438,0.522,0.493,0.081,0.012,0.379,0.62,0.5,0.472,0.517,0.462,0.5,0.566,0.102,0.015,0.4,0.715,0.563,0.539,0.593,0.526,0.62,0.528,0.154,0.022,0.3,0.743,0.518,0.483,0.57,0.482,0.594,0.63,0.127,0.018,0.432,0.816,0.636,0.596,0.665,0.574,0.69
GradientBoostingClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.112,0.209,0.03,-0.277,0.378,0.126,0.056,0.172,0.036,0.195,0.524,0.18,0.026,0.25,0.75,0.571,0.475,0.571,0.5,0.625,0.584,0.19,0.027,0.25,0.867,0.625,0.533,0.631,0.5,0.625,0.554,0.101,0.014,0.363,0.688,0.562,0.525,0.582,0.517,0.6,0.554,0.1,0.014,0.372,0.688,0.562,0.522,0.582,0.513,0.585,0.567,0.131,0.019,0.347,0.734,0.563,0.533,0.603,0.5,0.6,0.527,0.133,0.019,0.297,0.706,0.533,0.489,0.562,0.471,0.588,0.575,0.124,0.018,0.398,0.76,0.567,0.541,0.607,0.518,0.625,0.623,0.108,0.015,0.473,0.787,0.638,0.593,0.655,0.552,0.672
KNeighborsClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,-0.0,0.253,0.036,-0.378,0.413,-0.013,-0.066,0.067,-0.134,0.049,0.712,0.174,0.025,0.5,0.875,0.75,0.664,0.758,0.714,0.75,0.294,0.199,0.028,0.056,0.625,0.25,0.238,0.352,0.143,0.375,0.502,0.112,0.016,0.352,0.688,0.483,0.471,0.532,0.452,0.531,0.503,0.112,0.016,0.355,0.688,0.496,0.474,0.534,0.442,0.518,0.504,0.098,0.014,0.4,0.671,0.5,0.478,0.532,0.462,0.538,0.582,0.112,0.016,0.456,0.744,0.58,0.552,0.613,0.539,0.619,0.491,0.154,0.022,0.284,0.734,0.488,0.449,0.533,0.429,0.555,0.551,0.108,0.015,0.418,0.76,0.539,0.52,0.581,0.487,0.586
LGBMClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.118,0.247,0.035,-0.318,0.509,0.126,0.053,0.186,0.04,0.204,0.542,0.203,0.029,0.25,0.867,0.5,0.487,0.596,0.5,0.625,0.571,0.188,0.027,0.25,0.867,0.625,0.521,0.624,0.5,0.625,0.556,0.12,0.017,0.352,0.75,0.562,0.526,0.589,0.533,0.6,0.557,0.119,0.017,0.36,0.75,0.562,0.523,0.587,0.518,0.594,0.559,0.141,0.02,0.286,0.777,0.556,0.515,0.596,0.5,0.6,0.537,0.153,0.022,0.267,0.744,0.571,0.495,0.581,0.5,0.6,0.566,0.133,0.019,0.382,0.766,0.55,0.53,0.604,0.5,0.599,0.62,0.116,0.017,0.461,0.838,0.591,0.589,0.654,0.556,0.652
LinearDiscriminantAnalysis,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.043,0.213,0.03,-0.258,0.378,0.0,-0.015,0.106,-0.001,0.126,0.524,0.176,0.025,0.181,0.75,0.5,0.474,0.573,0.5,0.625,0.516,0.176,0.025,0.25,0.75,0.5,0.469,0.564,0.429,0.625,0.52,0.103,0.015,0.375,0.688,0.5,0.491,0.548,0.5,0.562,0.52,0.103,0.015,0.375,0.688,0.5,0.493,0.548,0.482,0.562,0.527,0.131,0.019,0.333,0.75,0.5,0.491,0.566,0.5,0.563,0.51,0.135,0.019,0.251,0.706,0.53,0.471,0.548,0.471,0.556,0.517,0.124,0.018,0.35,0.75,0.484,0.483,0.552,0.438,0.536,0.61,0.108,0.015,0.448,0.793,0.604,0.582,0.641,0.565,0.637
LogisticRegression,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.036,0.174,0.025,-0.258,0.334,0.0,-0.013,0.083,0.0,0.126,0.551,0.178,0.025,0.25,0.75,0.598,0.5,0.602,0.5,0.625,0.484,0.16,0.023,0.25,0.734,0.5,0.439,0.526,0.375,0.571,0.517,0.084,0.012,0.375,0.667,0.5,0.495,0.539,0.483,0.548,0.517,0.084,0.012,0.375,0.666,0.5,0.495,0.541,0.491,0.558,0.514,0.098,0.014,0.352,0.693,0.5,0.485,0.54,0.5,0.538,0.521,0.121,0.017,0.307,0.667,0.533,0.485,0.554,0.5,0.588,0.524,0.124,0.018,0.366,0.733,0.5,0.492,0.558,0.469,0.547,0.61,0.108,0.015,0.446,0.799,0.598,0.58,0.64,0.55,0.654
RandomForestClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.134,0.223,0.032,-0.199,0.519,0.126,0.075,0.193,0.02,0.25,0.531,0.208,0.03,0.125,0.857,0.5,0.475,0.586,0.5,0.625,0.596,0.176,0.025,0.326,0.875,0.598,0.549,0.643,0.5,0.625,0.563,0.108,0.015,0.4,0.75,0.562,0.534,0.594,0.517,0.6,0.564,0.107,0.015,0.41,0.75,0.562,0.532,0.593,0.509,0.612,0.574,0.145,0.021,0.386,0.79,0.556,0.535,0.616,0.5,0.6,0.531,0.159,0.023,0.21,0.75,0.58,0.483,0.571,0.5,0.625,0.582,0.119,0.017,0.366,0.755,0.584,0.552,0.615,0.536,0.625,0.616,0.102,0.015,0.451,0.794,0.617,0.589,0.646,0.579,0.637
