Est,Fs_num,Sel_way,Fs_inner,Norm,Miss_vals,Splits,Rnds,Class_blnc,Scoring,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed
CatBoostClassifier,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.142,0.228,0.033,-0.2,0.509,0.162,0.079,0.204,0.071,0.258,0.613,0.123,0.018,0.445,0.821,0.609,0.581,0.647,0.568,0.658,0.568,0.109,0.016,0.4,0.75,0.581,0.537,0.594,0.533,0.625,0.568,0.107,0.015,0.42,0.75,0.576,0.539,0.597,0.536,0.621,0.507,0.189,0.027,0.181,0.75,0.5,0.452,0.559,0.464,0.571,0.581,0.156,0.022,0.333,0.833,0.571,0.539,0.627,0.528,0.6,0.526,0.15,0.021,0.22,0.734,0.551,0.485,0.567,0.5,0.58,0.648,0.113,0.016,0.502,0.861,0.635,0.618,0.682,0.58,0.677,0.63,0.172,0.025,0.375,0.875,0.625,0.583,0.676,0.571,0.714
ElasticNet,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.062,0.25,0.036,-0.306,0.47,0.11,-0.008,0.13,-0.055,0.135,0.56,0.119,0.017,0.375,0.734,0.562,0.526,0.594,0.527,0.594,0.528,0.115,0.016,0.352,0.688,0.548,0.497,0.559,0.467,0.562,0.528,0.115,0.016,0.36,0.688,0.554,0.494,0.561,0.473,0.562,0.543,0.211,0.03,0.191,0.944,0.5,0.485,0.603,0.5,0.625,0.522,0.144,0.021,0.288,0.721,0.545,0.481,0.562,0.477,0.571,0.52,0.156,0.022,0.229,0.723,0.53,0.475,0.559,0.5,0.588,0.634,0.101,0.014,0.476,0.8,0.63,0.606,0.66,0.597,0.672,0.514,0.171,0.024,0.25,0.809,0.5,0.466,0.56,0.464,0.571
GaussianNB,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,-0.023,0.239,0.034,-0.334,0.437,-0.02,-0.093,0.039,-0.135,0.0,0.477,0.129,0.018,0.275,0.696,0.484,0.44,0.511,0.42,0.525,0.489,0.116,0.017,0.333,0.713,0.483,0.458,0.521,0.438,0.5,0.489,0.116,0.017,0.334,0.712,0.491,0.456,0.524,0.438,0.5,0.456,0.169,0.024,0.25,0.734,0.5,0.411,0.503,0.375,0.5,0.486,0.139,0.02,0.292,0.714,0.5,0.448,0.526,0.429,0.5,0.463,0.142,0.02,0.286,0.714,0.472,0.42,0.503,0.4,0.533,0.531,0.09,0.013,0.408,0.683,0.518,0.506,0.555,0.48,0.562,0.521,0.162,0.023,0.266,0.809,0.5,0.477,0.566,0.5,0.501
GaussianProcessClassifier,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,-0.023,0.243,0.035,-0.401,0.361,-0.027,-0.082,0.045,-0.135,0.026,0.528,0.154,0.022,0.3,0.743,0.518,0.485,0.569,0.469,0.594,0.49,0.105,0.015,0.322,0.648,0.483,0.459,0.519,0.438,0.517,0.491,0.105,0.015,0.317,0.65,0.487,0.462,0.521,0.438,0.522,0.683,0.174,0.025,0.375,0.875,0.625,0.635,0.732,0.625,0.75,0.493,0.081,0.012,0.379,0.62,0.5,0.471,0.516,0.462,0.5,0.566,0.102,0.015,0.4,0.715,0.563,0.538,0.595,0.526,0.62,0.63,0.127,0.018,0.432,0.816,0.636,0.594,0.666,0.575,0.686,0.3,0.175,0.025,0.0,0.601,0.286,0.248,0.345,0.25,0.375
GradientBoostingClassifier,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.1,0.245,0.035,-0.289,0.475,0.075,0.033,0.172,0.0,0.218,0.583,0.134,0.019,0.351,0.792,0.608,0.544,0.62,0.54,0.641,0.547,0.117,0.017,0.375,0.713,0.533,0.515,0.579,0.5,0.6,0.547,0.117,0.017,0.375,0.712,0.536,0.515,0.578,0.5,0.607,0.514,0.178,0.025,0.25,0.75,0.5,0.467,0.565,0.402,0.625,0.559,0.143,0.02,0.333,0.818,0.556,0.52,0.597,0.5,0.6,0.522,0.136,0.019,0.307,0.727,0.539,0.488,0.557,0.462,0.571,0.635,0.105,0.015,0.485,0.802,0.645,0.608,0.663,0.579,0.668,0.581,0.186,0.027,0.306,0.867,0.625,0.528,0.635,0.5,0.67
KNeighborsClassifier,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,-0.005,0.259,0.037,-0.388,0.373,0.0,-0.08,0.062,-0.178,0.16,0.49,0.134,0.019,0.297,0.692,0.496,0.453,0.527,0.411,0.562,0.493,0.097,0.014,0.322,0.625,0.5,0.466,0.52,0.438,0.548,0.495,0.098,0.014,0.329,0.625,0.5,0.468,0.521,0.438,0.562,0.791,0.172,0.025,0.5,1.0,0.866,0.742,0.84,0.75,0.875,0.496,0.066,0.009,0.385,0.587,0.5,0.479,0.514,0.467,0.533,0.604,0.091,0.013,0.444,0.721,0.632,0.578,0.628,0.594,0.667,0.529,0.089,0.013,0.413,0.696,0.504,0.505,0.556,0.481,0.547,0.198,0.155,0.022,0.0,0.429,0.143,0.159,0.24,0.125,0.25
LGBMClassifier,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.153,0.212,0.03,-0.165,0.475,0.13,0.094,0.214,0.047,0.258,0.59,0.124,0.018,0.406,0.801,0.57,0.554,0.624,0.541,0.616,0.573,0.1,0.014,0.417,0.713,0.562,0.543,0.6,0.533,0.625,0.572,0.099,0.014,0.423,0.712,0.562,0.543,0.599,0.522,0.625,0.556,0.196,0.028,0.25,0.875,0.571,0.503,0.609,0.5,0.625,0.578,0.126,0.018,0.4,0.75,0.577,0.545,0.612,0.545,0.612,0.552,0.136,0.019,0.308,0.737,0.571,0.511,0.586,0.5,0.615,0.637,0.104,0.015,0.499,0.812,0.61,0.607,0.666,0.579,0.638,0.588,0.168,0.024,0.326,0.819,0.571,0.539,0.636,0.5,0.625
LinearDiscriminantAnalysis,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,-0.005,0.252,0.036,-0.378,0.452,0.0,-0.071,0.063,-0.131,0.072,0.507,0.126,0.018,0.284,0.692,0.516,0.475,0.544,0.482,0.547,0.498,0.122,0.017,0.322,0.713,0.5,0.463,0.534,0.438,0.548,0.497,0.121,0.017,0.317,0.702,0.5,0.464,0.536,0.438,0.549,0.515,0.175,0.025,0.25,0.809,0.5,0.466,0.564,0.5,0.625,0.496,0.131,0.019,0.286,0.667,0.5,0.46,0.536,0.444,0.547,0.499,0.139,0.02,0.267,0.693,0.517,0.461,0.54,0.458,0.556,0.601,0.106,0.015,0.43,0.758,0.58,0.573,0.63,0.559,0.64,0.479,0.167,0.024,0.25,0.694,0.5,0.434,0.527,0.375,0.571
LogisticRegression,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.083,0.227,0.032,-0.26,0.488,0.094,0.022,0.148,0.0,0.135,0.535,0.123,0.018,0.341,0.759,0.518,0.503,0.568,0.484,0.554,0.54,0.108,0.015,0.375,0.742,0.533,0.51,0.57,0.5,0.562,0.54,0.109,0.016,0.375,0.738,0.545,0.511,0.569,0.5,0.562,0.568,0.181,0.026,0.25,0.75,0.536,0.52,0.619,0.5,0.625,0.539,0.125,0.018,0.386,0.75,0.519,0.505,0.573,0.5,0.571,0.543,0.133,0.019,0.319,0.73,0.544,0.506,0.579,0.5,0.6,0.625,0.112,0.016,0.449,0.817,0.615,0.594,0.656,0.564,0.662,0.511,0.177,0.025,0.25,0.809,0.536,0.464,0.563,0.375,0.625
RandomForestClassifier,532,full,chi2,minmax,median,5,10,auto,matthews_corrcoef,validation_score,0.151,0.236,0.034,-0.25,0.526,0.135,0.091,0.215,0.071,0.223,0.622,0.12,0.017,0.398,0.809,0.637,0.589,0.653,0.576,0.68,0.571,0.112,0.016,0.375,0.75,0.562,0.54,0.602,0.533,0.6,0.571,0.109,0.016,0.375,0.75,0.562,0.543,0.601,0.536,0.612,0.476,0.193,0.028,0.125,0.875,0.464,0.419,0.532,0.402,0.5,0.592,0.165,0.024,0.352,0.925,0.592,0.544,0.634,0.556,0.612,0.512,0.155,0.022,0.19,0.727,0.517,0.468,0.555,0.462,0.594,0.652,0.108,0.015,0.51,0.848,0.635,0.623,0.683,0.594,0.688,0.665,0.161,0.023,0.399,0.944,0.625,0.626,0.71,0.625,0.75
