Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.852,0.154,0.022,0.558,1.0,0.878,0.806,0.892,0.874,0.882,0.908,0.112,0.016,0.75,1.0,0.875,0.877,0.937,0.875,1.0,0.939,0.085,0.012,0.75,1.0,1.0,0.914,0.962,0.875,1.0,0.923,0.077,0.011,0.778,1.0,0.935,0.9,0.943,0.933,0.938,0.923,0.078,0.011,0.778,1.0,0.938,0.901,0.944,0.933,0.938,0.939,0.09,0.013,0.762,1.0,1.0,0.912,0.961,0.889,1.0,0.92,0.087,0.012,0.759,1.0,0.933,0.893,0.941,0.933,0.937,0.972,0.038,0.005,0.908,1.0,0.983,0.961,0.981,0.969,1.0,0.974,0.039,0.006,0.89,1.0,0.986,0.963,0.984,0.975,1.0
ElasticNet,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.913,0.104,0.015,0.75,1.0,0.941,0.884,0.941,0.882,1.0,0.974,0.059,0.008,0.875,1.0,1.0,0.957,0.988,1.0,1.0,0.934,0.084,0.012,0.798,1.0,1.0,0.91,0.957,0.875,1.0,0.954,0.054,0.008,0.867,1.0,0.969,0.938,0.969,0.938,1.0,0.954,0.054,0.008,0.875,1.0,0.969,0.936,0.968,0.938,1.0,0.941,0.073,0.01,0.803,1.0,1.0,0.919,0.96,0.889,1.0,0.955,0.054,0.008,0.875,1.0,0.971,0.939,0.97,0.941,1.0,0.983,0.034,0.005,0.916,1.0,1.0,0.973,0.992,1.0,1.0,0.979,0.053,0.008,0.901,1.0,1.0,0.963,0.992,1.0,1.0
GaussianNB,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.178,0.242,0.035,-0.223,0.59,0.135,0.117,0.245,0.09,0.25,0.651,0.157,0.022,0.375,0.875,0.625,0.606,0.694,0.625,0.714,0.522,0.171,0.024,0.25,0.75,0.5,0.474,0.566,0.5,0.598,0.587,0.117,0.017,0.386,0.777,0.562,0.553,0.618,0.533,0.613,0.586,0.118,0.017,0.391,0.775,0.562,0.556,0.621,0.545,0.625,0.581,0.112,0.016,0.4,0.765,0.556,0.548,0.612,0.545,0.625,0.607,0.119,0.017,0.399,0.813,0.625,0.576,0.64,0.58,0.632,0.625,0.13,0.019,0.421,0.837,0.608,0.587,0.659,0.586,0.654,0.622,0.125,0.018,0.439,0.837,0.606,0.59,0.658,0.564,0.657
GaussianProcessClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.207,0.273,0.039,-0.375,0.562,0.234,0.128,0.282,0.135,0.327,0.535,0.182,0.026,0.125,0.75,0.571,0.484,0.586,0.5,0.625,0.664,0.179,0.026,0.375,0.875,0.625,0.612,0.709,0.625,0.75,0.601,0.13,0.019,0.322,0.777,0.612,0.566,0.634,0.581,0.667,0.599,0.13,0.019,0.321,0.77,0.616,0.559,0.635,0.562,0.661,0.622,0.182,0.026,0.222,0.833,0.646,0.571,0.674,0.571,0.683,0.564,0.162,0.023,0.16,0.769,0.602,0.515,0.607,0.533,0.646,0.587,0.144,0.021,0.283,0.765,0.625,0.547,0.628,0.602,0.658,0.656,0.118,0.017,0.474,0.811,0.667,0.624,0.689,0.627,0.7
GradientBoostingClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.793,0.192,0.027,0.476,1.0,0.873,0.741,0.846,0.756,0.882,0.889,0.107,0.015,0.714,1.0,0.875,0.858,0.916,0.875,1.0,0.897,0.143,0.02,0.665,1.0,1.0,0.852,0.934,0.875,1.0,0.892,0.099,0.014,0.733,1.0,0.933,0.863,0.918,0.871,0.938,0.893,0.097,0.014,0.736,1.0,0.929,0.865,0.918,0.875,0.938,0.908,0.116,0.017,0.688,1.0,1.0,0.875,0.938,0.875,1.0,0.893,0.093,0.013,0.73,1.0,0.923,0.866,0.916,0.866,0.937,0.965,0.051,0.007,0.882,1.0,0.984,0.949,0.978,0.964,1.0,0.97,0.049,0.007,0.907,1.0,0.986,0.956,0.983,0.975,1.0
KNeighborsClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.148,0.246,0.035,-0.275,0.509,0.175,0.073,0.213,0.126,0.227,0.495,0.208,0.03,0.125,0.75,0.5,0.44,0.555,0.429,0.571,0.648,0.169,0.024,0.326,0.875,0.714,0.599,0.692,0.625,0.75,0.572,0.119,0.017,0.375,0.75,0.581,0.537,0.601,0.548,0.612,0.571,0.117,0.017,0.375,0.75,0.576,0.536,0.604,0.54,0.607,0.58,0.149,0.021,0.288,0.8,0.6,0.54,0.619,0.556,0.667,0.519,0.169,0.024,0.173,0.744,0.551,0.476,0.567,0.5,0.58,0.597,0.137,0.02,0.366,0.814,0.6,0.559,0.633,0.562,0.636,0.624,0.106,0.015,0.458,0.812,0.613,0.594,0.652,0.588,0.642
LGBMClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.861,0.167,0.024,0.476,1.0,0.882,0.811,0.904,0.882,0.882,0.917,0.113,0.016,0.665,1.0,1.0,0.882,0.948,0.875,1.0,0.939,0.095,0.014,0.75,1.0,1.0,0.91,0.964,1.0,1.0,0.928,0.085,0.012,0.733,1.0,0.938,0.902,0.948,0.935,0.969,0.928,0.085,0.012,0.736,1.0,0.938,0.904,0.95,0.938,0.969,0.94,0.097,0.014,0.714,1.0,1.0,0.914,0.966,1.0,1.0,0.925,0.091,0.013,0.73,1.0,0.937,0.896,0.95,0.933,0.971,0.983,0.031,0.004,0.913,1.0,1.0,0.974,0.991,1.0,1.0,0.985,0.029,0.004,0.926,1.0,1.0,0.977,0.993,1.0,1.0
LinearDiscriminantAnalysis,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.718,0.178,0.025,0.39,0.947,0.756,0.67,0.763,0.732,0.775,0.877,0.119,0.017,0.665,1.0,0.875,0.842,0.909,0.875,1.0,0.829,0.147,0.021,0.5,1.0,0.875,0.79,0.869,0.804,0.875,0.853,0.091,0.013,0.688,0.972,0.875,0.828,0.876,0.867,0.875,0.853,0.092,0.013,0.688,0.972,0.875,0.825,0.878,0.857,0.875,0.849,0.113,0.016,0.65,1.0,0.875,0.818,0.878,0.8,0.889,0.856,0.089,0.013,0.684,0.974,0.875,0.83,0.88,0.845,0.889,0.926,0.078,0.011,0.781,1.0,0.953,0.905,0.946,0.916,0.969,0.929,0.09,0.013,0.694,1.0,0.966,0.902,0.952,0.932,0.975
LogisticRegression,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.839,0.161,0.023,0.516,1.0,0.882,0.794,0.884,0.873,0.882,0.954,0.083,0.012,0.798,1.0,1.0,0.927,0.975,1.0,1.0,0.878,0.122,0.017,0.625,1.0,0.875,0.842,0.909,0.875,0.938,0.916,0.083,0.012,0.75,1.0,0.938,0.893,0.939,0.933,0.938,0.916,0.084,0.012,0.75,1.0,0.938,0.894,0.938,0.929,0.938,0.893,0.098,0.014,0.7,1.0,0.889,0.866,0.921,0.875,0.944,0.92,0.079,0.011,0.778,1.0,0.941,0.897,0.941,0.933,0.941,0.962,0.059,0.008,0.848,1.0,0.983,0.945,0.976,0.969,1.0,0.963,0.063,0.009,0.856,1.0,0.986,0.944,0.98,0.97,1.0
RandomForestClassifier,full,chi2,509,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.815,0.161,0.023,0.502,1.0,0.874,0.768,0.858,0.769,0.882,0.91,0.106,0.015,0.665,1.0,0.875,0.877,0.939,0.875,1.0,0.898,0.115,0.016,0.625,1.0,0.875,0.866,0.928,0.875,1.0,0.903,0.084,0.012,0.733,1.0,0.933,0.881,0.925,0.875,0.938,0.904,0.083,0.012,0.745,1.0,0.933,0.879,0.926,0.875,0.938,0.906,0.099,0.014,0.694,1.0,0.889,0.877,0.933,0.875,1.0,0.904,0.085,0.012,0.714,1.0,0.933,0.881,0.926,0.882,0.937,0.963,0.048,0.007,0.875,1.0,0.982,0.95,0.976,0.967,1.0,0.962,0.052,0.007,0.858,1.0,0.986,0.948,0.975,0.975,1.0
