Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.889,0.114,0.016,0.882,0.856,0.916,0.882,0.882,0.925,0.077,0.011,0.875,0.904,0.946,0.875,1.0,0.959,0.074,0.011,1.0,0.939,0.978,1.0,1.0,0.942,0.058,0.008,0.938,0.926,0.956,0.938,0.938,0.942,0.057,0.008,0.938,0.925,0.956,0.938,0.938,0.961,0.071,0.01,1.0,0.941,0.979,1.0,1.0,0.941,0.058,0.008,0.933,0.924,0.956,0.933,0.941,0.99,0.02,0.003,1.0,0.984,0.995,1.0,1.0,0.992,0.017,0.002,1.0,0.987,0.996,1.0,1.0
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.888,0.1,0.014,0.882,0.86,0.915,0.875,0.882,0.952,0.067,0.01,1.0,0.932,0.969,0.938,1.0,0.931,0.092,0.013,1.0,0.906,0.956,0.875,1.0,0.941,0.053,0.008,0.938,0.925,0.956,0.933,0.938,0.942,0.052,0.007,0.938,0.927,0.955,0.938,0.938,0.939,0.08,0.011,1.0,0.915,0.961,0.889,1.0,0.942,0.052,0.007,0.941,0.928,0.957,0.933,0.941,0.986,0.027,0.004,1.0,0.978,0.993,1.0,1.0,0.985,0.037,0.005,1.0,0.973,0.994,1.0,1.0
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.832,0.132,0.019,0.875,0.795,0.869,0.775,0.882,0.916,0.093,0.013,0.875,0.888,0.942,0.875,1.0,0.909,0.112,0.016,0.938,0.877,0.941,0.875,1.0,0.911,0.07,0.01,0.933,0.891,0.93,0.875,0.938,0.912,0.068,0.01,0.938,0.892,0.93,0.875,0.938,0.917,0.097,0.014,0.944,0.892,0.943,0.882,1.0,0.911,0.069,0.01,0.933,0.891,0.93,0.889,0.933,0.952,0.083,0.012,0.992,0.926,0.973,0.969,1.0,0.953,0.094,0.013,0.993,0.927,0.974,0.97,1.0
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.874,0.116,0.017,0.882,0.842,0.905,0.875,0.882,0.936,0.078,0.011,1.0,0.913,0.955,0.875,1.0,0.934,0.088,0.013,1.0,0.911,0.957,0.875,1.0,0.934,0.06,0.009,0.938,0.917,0.951,0.933,0.938,0.935,0.059,0.008,0.938,0.919,0.951,0.938,0.938,0.939,0.081,0.012,1.0,0.914,0.96,0.889,1.0,0.934,0.06,0.009,0.933,0.917,0.949,0.933,0.941,0.989,0.02,0.003,1.0,0.983,0.994,1.0,1.0,0.99,0.018,0.003,1.0,0.985,0.995,1.0,1.0
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.808,0.174,0.025,0.875,0.757,0.853,0.75,0.882,0.891,0.122,0.017,0.875,0.857,0.922,0.875,1.0,0.908,0.114,0.016,0.938,0.878,0.936,0.875,1.0,0.9,0.089,0.013,0.933,0.875,0.922,0.867,0.938,0.9,0.09,0.013,0.938,0.873,0.924,0.871,0.938,0.913,0.1,0.014,0.944,0.883,0.94,0.875,1.0,0.897,0.093,0.013,0.933,0.871,0.921,0.857,0.937,0.972,0.041,0.006,0.984,0.96,0.982,0.982,1.0,0.977,0.032,0.005,0.986,0.967,0.985,0.984,1.0
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.885,0.12,0.017,0.882,0.85,0.915,0.878,0.882,0.945,0.075,0.011,1.0,0.924,0.964,0.875,1.0,0.933,0.102,0.015,1.0,0.904,0.959,0.875,1.0,0.939,0.064,0.009,0.938,0.92,0.957,0.935,0.938,0.939,0.062,0.009,0.938,0.92,0.954,0.938,0.938,0.942,0.085,0.012,1.0,0.918,0.964,0.889,1.0,0.94,0.06,0.009,0.941,0.923,0.955,0.933,0.941,0.981,0.036,0.005,1.0,0.969,0.99,0.991,1.0,0.98,0.036,0.005,1.0,0.97,0.989,0.986,1.0
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.861,0.131,0.019,0.882,0.821,0.896,0.875,0.882,0.911,0.105,0.015,0.875,0.881,0.937,0.875,1.0,0.944,0.088,0.013,1.0,0.92,0.967,1.0,1.0,0.927,0.07,0.01,0.938,0.905,0.944,0.933,0.938,0.928,0.068,0.01,0.938,0.907,0.946,0.938,0.938,0.948,0.082,0.012,1.0,0.925,0.97,1.0,1.0,0.924,0.075,0.011,0.933,0.9,0.943,0.933,0.941,0.976,0.038,0.005,1.0,0.965,0.986,0.984,1.0,0.981,0.033,0.005,1.0,0.971,0.989,0.986,1.0
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.892,0.104,0.015,0.882,0.861,0.92,0.875,1.0,0.943,0.077,0.011,1.0,0.922,0.964,0.875,1.0,0.944,0.08,0.011,1.0,0.921,0.965,0.938,1.0,0.943,0.054,0.008,0.938,0.928,0.959,0.933,1.0,0.944,0.053,0.008,0.938,0.93,0.959,0.938,1.0,0.949,0.074,0.011,1.0,0.927,0.968,0.944,1.0,0.943,0.055,0.008,0.941,0.928,0.958,0.933,1.0,0.986,0.029,0.004,1.0,0.978,0.993,1.0,1.0,0.985,0.037,0.005,1.0,0.972,0.995,1.0,1.0
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.864,0.125,0.018,0.878,0.827,0.899,0.874,0.882,0.931,0.087,0.012,1.0,0.906,0.952,0.875,1.0,0.926,0.116,0.017,1.0,0.893,0.956,0.875,1.0,0.928,0.069,0.01,0.935,0.907,0.946,0.933,0.938,0.928,0.067,0.01,0.938,0.908,0.946,0.938,0.938,0.935,0.092,0.013,1.0,0.908,0.959,0.889,1.0,0.928,0.066,0.009,0.933,0.91,0.946,0.933,0.941,0.981,0.04,0.006,1.0,0.968,0.991,1.0,1.0,0.98,0.049,0.007,1.0,0.965,0.992,1.0,1.0
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.875,0.122,0.017,0.882,0.842,0.909,0.873,0.941,0.915,0.118,0.017,1.0,0.88,0.945,0.875,1.0,0.951,0.076,0.011,1.0,0.93,0.969,1.0,1.0,0.933,0.067,0.01,0.938,0.915,0.952,0.933,0.969,0.933,0.066,0.009,0.938,0.916,0.951,0.929,0.969,0.955,0.069,0.01,1.0,0.935,0.972,1.0,1.0,0.929,0.076,0.011,0.937,0.907,0.948,0.933,0.971,0.985,0.028,0.004,1.0,0.976,0.992,0.992,1.0,0.988,0.021,0.003,1.0,0.982,0.993,0.993,1.0
