Est,Fs_num,Sel_way,Fs_inner,Norm,Miss_vals,Splits,Rnds,Class_blnc,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed
CatBoostClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.885,0.119,0.017,0.882,0.851,0.917,0.875,1.0,0.986,0.029,0.004,1.0,0.978,0.993,1.0,1.0,0.94,0.062,0.009,0.938,0.921,0.956,0.933,1.0,0.94,0.062,0.009,0.938,0.921,0.956,0.938,0.97,0.918,0.092,0.013,0.875,0.891,0.943,0.875,1.0,0.964,0.069,0.01,1.0,0.941,0.981,1.0,1.0,0.937,0.065,0.009,0.933,0.919,0.955,0.933,1.0,0.989,0.025,0.004,1.0,0.981,0.995,1.0,1.0,0.962,0.073,0.01,1.0,0.941,0.98,1.0,1.0
ElasticNet,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.899,0.102,0.015,0.882,0.869,0.927,0.882,1.0,0.986,0.028,0.004,1.0,0.979,0.993,1.0,1.0,0.947,0.053,0.008,0.938,0.932,0.962,0.938,1.0,0.948,0.052,0.007,0.938,0.933,0.962,0.938,1.0,0.959,0.064,0.009,1.0,0.941,0.976,1.0,1.0,0.942,0.075,0.011,1.0,0.922,0.962,0.889,1.0,0.948,0.053,0.008,0.941,0.934,0.961,0.933,1.0,0.986,0.037,0.005,1.0,0.975,0.995,1.0,1.0,0.936,0.081,0.012,1.0,0.914,0.958,0.875,1.0
GaussianNB,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.832,0.132,0.019,0.875,0.796,0.869,0.817,0.882,0.952,0.083,0.012,0.992,0.929,0.973,0.969,1.0,0.911,0.07,0.01,0.933,0.89,0.93,0.875,0.938,0.912,0.068,0.01,0.938,0.894,0.931,0.875,0.938,0.916,0.093,0.013,0.875,0.891,0.941,0.875,1.0,0.917,0.097,0.014,0.944,0.888,0.942,0.882,1.0,0.911,0.069,0.01,0.933,0.892,0.929,0.882,0.933,0.953,0.094,0.013,0.993,0.925,0.976,0.97,1.0,0.909,0.112,0.016,0.938,0.876,0.938,0.875,1.0
GaussianProcessClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.874,0.116,0.017,0.882,0.842,0.905,0.875,0.882,0.989,0.02,0.003,1.0,0.983,0.994,1.0,1.0,0.934,0.06,0.009,0.938,0.916,0.951,0.933,0.938,0.935,0.059,0.008,0.938,0.917,0.951,0.938,0.938,0.936,0.078,0.011,1.0,0.913,0.957,0.875,1.0,0.939,0.081,0.012,1.0,0.915,0.961,0.889,1.0,0.934,0.06,0.009,0.933,0.917,0.949,0.933,0.941,0.99,0.018,0.003,1.0,0.985,0.995,1.0,1.0,0.934,0.088,0.013,1.0,0.907,0.957,0.875,1.0
GradientBoostingClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.7,0.194,0.028,0.75,0.646,0.753,0.63,0.775,0.891,0.094,0.013,0.929,0.864,0.915,0.871,0.938,0.845,0.096,0.014,0.875,0.816,0.871,0.812,0.875,0.845,0.096,0.014,0.875,0.818,0.87,0.812,0.875,0.823,0.134,0.019,0.857,0.786,0.861,0.75,0.875,0.868,0.119,0.017,0.875,0.835,0.901,0.845,0.889,0.839,0.105,0.015,0.857,0.811,0.867,0.8,0.889,0.879,0.108,0.015,0.889,0.848,0.908,0.875,0.946,0.867,0.116,0.017,0.875,0.835,0.898,0.857,0.875
KNeighborsClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.816,0.163,0.023,0.873,0.767,0.858,0.775,0.882,0.964,0.048,0.007,0.979,0.95,0.975,0.967,1.0,0.903,0.084,0.012,0.933,0.879,0.927,0.875,0.938,0.904,0.083,0.012,0.929,0.882,0.925,0.875,0.938,0.896,0.101,0.014,0.875,0.869,0.924,0.875,1.0,0.918,0.108,0.015,1.0,0.889,0.948,0.889,1.0,0.902,0.084,0.012,0.933,0.877,0.924,0.899,0.937,0.959,0.054,0.008,0.973,0.942,0.973,0.953,1.0,0.911,0.121,0.017,1.0,0.876,0.944,0.875,1.0
LGBMClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.843,0.142,0.02,0.882,0.802,0.882,0.873,0.882,0.97,0.042,0.006,0.984,0.959,0.981,0.975,1.0,0.919,0.072,0.01,0.938,0.898,0.938,0.904,0.938,0.919,0.072,0.01,0.938,0.899,0.937,0.928,0.938,0.907,0.086,0.012,0.875,0.881,0.931,0.875,1.0,0.935,0.093,0.013,1.0,0.908,0.96,0.889,1.0,0.917,0.072,0.01,0.933,0.897,0.938,0.923,0.933,0.977,0.032,0.005,0.986,0.968,0.986,0.981,1.0,0.931,0.099,0.014,1.0,0.901,0.957,0.875,1.0
LinearDiscriminantAnalysis,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.876,0.131,0.019,0.882,0.837,0.911,0.875,1.0,0.974,0.047,0.007,1.0,0.96,0.986,0.984,1.0,0.936,0.066,0.009,0.938,0.918,0.953,0.933,1.0,0.936,0.066,0.009,0.938,0.918,0.953,0.938,1.0,0.935,0.084,0.012,1.0,0.912,0.959,0.875,1.0,0.939,0.08,0.011,1.0,0.918,0.961,0.889,1.0,0.935,0.069,0.01,0.937,0.913,0.952,0.933,1.0,0.976,0.051,0.007,1.0,0.961,0.989,0.986,1.0,0.937,0.08,0.011,1.0,0.915,0.958,0.875,1.0
LogisticRegression,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.882,0.111,0.016,0.882,0.851,0.913,0.875,0.882,0.987,0.028,0.004,1.0,0.978,0.994,1.0,1.0,0.938,0.057,0.008,0.938,0.921,0.954,0.933,0.969,0.939,0.057,0.008,0.938,0.922,0.954,0.938,0.969,0.944,0.077,0.011,1.0,0.924,0.964,0.875,1.0,0.939,0.077,0.011,1.0,0.917,0.96,0.889,1.0,0.938,0.058,0.008,0.937,0.923,0.954,0.933,0.941,0.986,0.038,0.005,1.0,0.973,0.994,1.0,1.0,0.934,0.085,0.012,1.0,0.911,0.959,0.875,1.0
RandomForestClassifier,10,mrmr,chi2,minmax,median,5,10,None,validation_score,0.886,0.109,0.016,0.882,0.854,0.914,0.878,0.882,0.992,0.018,0.003,1.0,0.986,0.996,1.0,1.0,0.94,0.059,0.008,0.938,0.924,0.955,0.935,0.938,0.94,0.058,0.008,0.938,0.924,0.954,0.938,0.938,0.926,0.095,0.014,1.0,0.899,0.951,0.875,1.0,0.958,0.072,0.01,1.0,0.937,0.974,1.0,1.0,0.937,0.062,0.009,0.933,0.92,0.953,0.933,0.941,0.993,0.015,0.002,1.0,0.989,0.997,1.0,1.0,0.954,0.079,0.011,1.0,0.931,0.974,1.0,1.0
