Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.596,0.239,0.034,0.65,0.527,0.657,0.549,0.75,0.768,0.18,0.026,0.812,0.718,0.815,0.75,0.875,0.816,0.149,0.021,0.875,0.771,0.854,0.778,0.875,0.792,0.118,0.017,0.812,0.759,0.824,0.765,0.875,0.792,0.119,0.017,0.812,0.759,0.824,0.767,0.875,0.804,0.153,0.022,0.817,0.76,0.846,0.764,0.875,0.774,0.145,0.021,0.8,0.734,0.812,0.76,0.857,0.878,0.107,0.015,0.905,0.846,0.906,0.861,0.938,0.885,0.109,0.016,0.922,0.854,0.914,0.873,0.944
ElasticNet,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.644,0.187,0.027,0.653,0.59,0.698,0.609,0.75,0.838,0.14,0.02,0.875,0.8,0.875,0.875,0.875,0.791,0.166,0.024,0.826,0.742,0.838,0.778,0.875,0.812,0.098,0.014,0.824,0.782,0.84,0.765,0.875,0.814,0.097,0.014,0.826,0.788,0.839,0.778,0.875,0.806,0.126,0.018,0.8,0.768,0.84,0.778,0.866,0.811,0.1,0.014,0.824,0.782,0.838,0.8,0.857,0.906,0.076,0.011,0.926,0.883,0.925,0.89,0.953,0.918,0.068,0.01,0.934,0.898,0.936,0.901,0.959
GaussianNB,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.362,0.211,0.03,0.391,0.299,0.421,0.31,0.417,0.812,0.126,0.018,0.875,0.778,0.85,0.75,0.875,0.531,0.178,0.025,0.556,0.486,0.581,0.5,0.625,0.667,0.105,0.015,0.688,0.639,0.694,0.647,0.706,0.672,0.103,0.015,0.688,0.643,0.702,0.653,0.708,0.627,0.094,0.013,0.625,0.602,0.654,0.6,0.636,0.702,0.087,0.012,0.703,0.678,0.727,0.681,0.737,0.712,0.123,0.018,0.722,0.678,0.741,0.684,0.75,0.66,0.122,0.017,0.64,0.627,0.694,0.621,0.678
GaussianProcessClassifier,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.525,0.222,0.032,0.522,0.462,0.586,0.436,0.63,0.828,0.127,0.018,0.875,0.792,0.862,0.75,0.875,0.674,0.224,0.032,0.667,0.613,0.732,0.625,0.778,0.747,0.116,0.017,0.757,0.714,0.779,0.706,0.812,0.751,0.113,0.016,0.753,0.718,0.781,0.701,0.812,0.732,0.149,0.021,0.721,0.691,0.774,0.667,0.778,0.763,0.096,0.014,0.762,0.737,0.788,0.721,0.8,0.808,0.124,0.018,0.847,0.772,0.84,0.797,0.875,0.834,0.109,0.016,0.871,0.802,0.864,0.825,0.899
GradientBoostingClassifier,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.624,0.187,0.027,0.648,0.575,0.671,0.539,0.679,0.792,0.169,0.024,0.875,0.742,0.838,0.75,0.875,0.814,0.154,0.022,0.875,0.769,0.854,0.778,0.889,0.803,0.097,0.014,0.812,0.779,0.83,0.765,0.824,0.803,0.096,0.014,0.812,0.776,0.829,0.767,0.826,0.818,0.122,0.017,0.8,0.785,0.852,0.778,0.857,0.79,0.115,0.016,0.8,0.758,0.821,0.769,0.833,0.883,0.08,0.011,0.891,0.859,0.904,0.861,0.926,0.89,0.081,0.012,0.903,0.865,0.911,0.888,0.926
KNeighborsClassifier,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.52,0.232,0.033,0.549,0.454,0.58,0.516,0.63,0.8,0.18,0.026,0.875,0.75,0.848,0.75,0.875,0.699,0.199,0.028,0.722,0.642,0.755,0.667,0.778,0.747,0.116,0.017,0.765,0.712,0.779,0.75,0.812,0.749,0.117,0.017,0.764,0.717,0.78,0.75,0.812,0.733,0.149,0.021,0.727,0.689,0.771,0.7,0.789,0.75,0.128,0.018,0.778,0.711,0.783,0.743,0.8,0.833,0.103,0.015,0.845,0.804,0.861,0.802,0.882,0.817,0.114,0.016,0.827,0.784,0.849,0.784,0.858
LGBMClassifier,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.626,0.179,0.026,0.63,0.578,0.68,0.579,0.69,0.81,0.133,0.019,0.875,0.775,0.848,0.75,0.875,0.805,0.144,0.021,0.778,0.763,0.844,0.778,0.875,0.807,0.092,0.013,0.812,0.781,0.834,0.789,0.824,0.808,0.091,0.013,0.812,0.781,0.833,0.771,0.83,0.808,0.113,0.016,0.8,0.776,0.838,0.778,0.845,0.8,0.095,0.014,0.8,0.775,0.826,0.76,0.833,0.889,0.09,0.013,0.906,0.861,0.913,0.875,0.931,0.898,0.086,0.012,0.915,0.874,0.921,0.881,0.942
LinearDiscriminantAnalysis,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.592,0.186,0.027,0.63,0.54,0.641,0.528,0.653,0.84,0.123,0.018,0.875,0.808,0.872,0.873,0.875,0.738,0.167,0.024,0.778,0.692,0.782,0.667,0.778,0.787,0.096,0.014,0.812,0.761,0.815,0.765,0.824,0.789,0.095,0.014,0.812,0.763,0.815,0.76,0.826,0.765,0.117,0.017,0.778,0.733,0.798,0.727,0.8,0.792,0.091,0.013,0.8,0.768,0.816,0.756,0.824,0.872,0.088,0.013,0.891,0.847,0.896,0.868,0.911,0.884,0.09,0.013,0.911,0.858,0.907,0.887,0.925
LogisticRegression,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.633,0.183,0.026,0.653,0.585,0.685,0.549,0.674,0.812,0.151,0.022,0.875,0.77,0.85,0.75,0.875,0.807,0.149,0.021,0.778,0.765,0.844,0.778,0.875,0.809,0.095,0.014,0.818,0.782,0.835,0.765,0.824,0.81,0.095,0.014,0.816,0.783,0.839,0.771,0.826,0.811,0.118,0.017,0.789,0.777,0.841,0.778,0.845,0.8,0.107,0.015,0.824,0.771,0.829,0.778,0.84,0.89,0.083,0.012,0.905,0.867,0.911,0.882,0.927,0.907,0.073,0.01,0.923,0.887,0.925,0.892,0.942
RandomForestClassifier,none,none,149,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.709,0.179,0.026,0.75,0.658,0.758,0.69,0.775,0.818,0.166,0.024,0.875,0.772,0.865,0.75,0.875,0.876,0.12,0.017,0.882,0.843,0.908,0.875,0.889,0.847,0.091,0.013,0.875,0.821,0.872,0.824,0.882,0.847,0.092,0.013,0.875,0.82,0.872,0.83,0.875,0.872,0.12,0.017,0.875,0.84,0.905,0.866,0.889,0.831,0.116,0.017,0.857,0.799,0.862,0.84,0.875,0.928,0.069,0.01,0.944,0.908,0.945,0.922,0.97,0.934,0.07,0.01,0.952,0.912,0.95,0.931,0.97
