Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.626,0.18,0.026,0.648,0.576,0.673,0.588,0.701,0.768,0.148,0.021,0.75,0.722,0.805,0.75,0.875,0.844,0.127,0.018,0.875,0.809,0.877,0.778,0.889,0.807,0.092,0.013,0.824,0.782,0.833,0.765,0.824,0.806,0.092,0.013,0.819,0.779,0.832,0.771,0.851,0.833,0.116,0.017,0.833,0.801,0.864,0.789,0.866,0.79,0.106,0.015,0.8,0.76,0.818,0.76,0.84,0.896,0.081,0.012,0.919,0.872,0.918,0.891,0.931,0.9,0.081,0.012,0.921,0.877,0.921,0.897,0.948
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.641,0.181,0.026,0.648,0.592,0.693,0.609,0.69,0.85,0.117,0.017,0.875,0.818,0.882,0.812,0.875,0.772,0.192,0.027,0.778,0.717,0.825,0.75,0.875,0.809,0.098,0.014,0.812,0.782,0.835,0.765,0.824,0.811,0.094,0.013,0.812,0.784,0.835,0.778,0.833,0.803,0.138,0.02,0.789,0.767,0.841,0.739,0.866,0.814,0.086,0.012,0.8,0.791,0.84,0.8,0.842,0.906,0.069,0.01,0.911,0.887,0.926,0.891,0.931,0.915,0.065,0.009,0.927,0.898,0.932,0.903,0.94
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.469,0.195,0.028,0.508,0.416,0.521,0.422,0.549,0.865,0.127,0.018,0.875,0.83,0.902,0.812,1.0,0.574,0.159,0.023,0.556,0.532,0.616,0.5,0.625,0.714,0.098,0.014,0.706,0.687,0.739,0.688,0.757,0.719,0.096,0.014,0.722,0.691,0.745,0.688,0.757,0.663,0.099,0.014,0.667,0.637,0.694,0.615,0.7,0.744,0.087,0.012,0.756,0.719,0.768,0.717,0.778,0.805,0.089,0.013,0.805,0.78,0.828,0.785,0.833,0.793,0.107,0.015,0.786,0.761,0.822,0.74,0.857
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.623,0.194,0.028,0.63,0.574,0.677,0.577,0.663,0.868,0.107,0.015,0.875,0.838,0.898,0.875,0.875,0.738,0.197,0.028,0.778,0.686,0.788,0.667,0.875,0.799,0.106,0.015,0.812,0.77,0.828,0.765,0.824,0.803,0.102,0.015,0.812,0.775,0.831,0.767,0.826,0.778,0.136,0.019,0.778,0.74,0.812,0.714,0.857,0.81,0.09,0.013,0.8,0.786,0.836,0.789,0.824,0.904,0.071,0.01,0.905,0.883,0.923,0.875,0.938,0.916,0.065,0.009,0.922,0.896,0.933,0.908,0.945
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.602,0.18,0.026,0.63,0.552,0.649,0.583,0.653,0.758,0.167,0.024,0.75,0.71,0.805,0.75,0.875,0.824,0.151,0.022,0.875,0.784,0.863,0.778,0.889,0.792,0.094,0.013,0.812,0.764,0.816,0.765,0.824,0.791,0.093,0.013,0.812,0.765,0.818,0.757,0.819,0.821,0.123,0.018,0.833,0.786,0.854,0.778,0.857,0.773,0.109,0.016,0.8,0.745,0.801,0.737,0.824,0.876,0.072,0.01,0.882,0.855,0.897,0.859,0.903,0.875,0.081,0.012,0.884,0.85,0.895,0.853,0.908
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.595,0.171,0.024,0.63,0.549,0.64,0.528,0.653,0.825,0.127,0.018,0.875,0.79,0.86,0.75,0.875,0.756,0.149,0.021,0.778,0.715,0.799,0.708,0.826,0.789,0.087,0.012,0.812,0.765,0.814,0.757,0.824,0.791,0.086,0.012,0.812,0.767,0.815,0.757,0.826,0.775,0.114,0.016,0.778,0.745,0.806,0.714,0.8,0.79,0.086,0.012,0.8,0.766,0.813,0.774,0.824,0.871,0.085,0.012,0.875,0.846,0.895,0.84,0.911,0.847,0.113,0.016,0.856,0.816,0.879,0.81,0.93
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.63,0.192,0.027,0.65,0.575,0.681,0.549,0.717,0.788,0.157,0.022,0.75,0.745,0.828,0.75,0.875,0.825,0.155,0.022,0.875,0.782,0.868,0.778,0.889,0.806,0.099,0.014,0.824,0.779,0.834,0.757,0.824,0.806,0.098,0.014,0.812,0.778,0.833,0.757,0.826,0.827,0.129,0.018,0.845,0.793,0.864,0.778,0.875,0.793,0.109,0.016,0.8,0.76,0.823,0.76,0.84,0.887,0.066,0.009,0.891,0.869,0.906,0.875,0.917,0.891,0.071,0.01,0.894,0.87,0.908,0.876,0.919
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.616,0.179,0.026,0.63,0.567,0.667,0.525,0.653,0.875,0.109,0.016,0.875,0.845,0.905,0.875,0.875,0.721,0.194,0.028,0.764,0.667,0.776,0.646,0.778,0.794,0.099,0.014,0.812,0.767,0.821,0.757,0.824,0.798,0.095,0.014,0.812,0.771,0.824,0.75,0.826,0.768,0.13,0.019,0.778,0.734,0.803,0.725,0.8,0.807,0.084,0.012,0.8,0.786,0.831,0.762,0.824,0.895,0.075,0.011,0.906,0.875,0.915,0.891,0.922,0.905,0.07,0.01,0.92,0.886,0.922,0.906,0.936
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.636,0.16,0.023,0.648,0.589,0.682,0.619,0.696,0.808,0.135,0.019,0.812,0.77,0.842,0.75,0.875,0.812,0.162,0.023,0.875,0.766,0.853,0.778,0.889,0.808,0.085,0.012,0.824,0.786,0.832,0.789,0.824,0.81,0.083,0.012,0.816,0.787,0.832,0.795,0.833,0.821,0.123,0.018,0.845,0.784,0.854,0.778,0.857,0.802,0.088,0.013,0.8,0.778,0.826,0.789,0.833,0.895,0.082,0.012,0.906,0.872,0.915,0.882,0.931,0.899,0.09,0.013,0.925,0.873,0.923,0.886,0.938
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.651,0.206,0.029,0.663,0.595,0.706,0.63,0.764,0.788,0.17,0.024,0.875,0.74,0.832,0.75,0.875,0.848,0.14,0.02,0.875,0.808,0.884,0.875,0.889,0.819,0.106,0.015,0.824,0.79,0.845,0.789,0.875,0.818,0.107,0.015,0.819,0.787,0.846,0.795,0.875,0.844,0.125,0.018,0.857,0.809,0.879,0.8,0.875,0.801,0.127,0.018,0.824,0.768,0.834,0.769,0.875,0.901,0.079,0.011,0.926,0.878,0.92,0.891,0.938,0.903,0.079,0.011,0.925,0.881,0.924,0.893,0.95
