Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.257,0.232,0.033,0.23,0.191,0.321,0.2,0.301,0.786,0.146,0.021,0.789,0.75,0.826,0.7,0.889,0.44,0.174,0.025,0.5,0.392,0.485,0.333,0.5,0.651,0.106,0.015,0.625,0.622,0.681,0.625,0.688,0.613,0.107,0.015,0.6,0.582,0.644,0.583,0.633,0.69,0.08,0.011,0.667,0.669,0.714,0.667,0.7,0.729,0.094,0.013,0.714,0.705,0.756,0.7,0.762,0.705,0.113,0.016,0.717,0.672,0.736,0.682,0.75,0.806,0.091,0.013,0.83,0.78,0.83,0.787,0.846
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.327,0.245,0.035,0.346,0.257,0.393,0.289,0.447,0.882,0.124,0.018,0.9,0.845,0.911,0.889,1.0,0.386,0.192,0.027,0.381,0.329,0.436,0.333,0.5,0.69,0.095,0.014,0.688,0.662,0.716,0.656,0.75,0.634,0.104,0.015,0.643,0.604,0.665,0.583,0.667,0.699,0.069,0.01,0.696,0.679,0.718,0.667,0.714,0.775,0.075,0.011,0.783,0.752,0.795,0.75,0.8,0.74,0.143,0.02,0.733,0.7,0.78,0.706,0.817,0.844,0.084,0.012,0.835,0.822,0.866,0.816,0.887
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.291,0.25,0.036,0.313,0.22,0.36,0.274,0.358,0.76,0.184,0.026,0.8,0.708,0.81,0.7,0.889,0.505,0.233,0.033,0.5,0.438,0.57,0.5,0.667,0.662,0.112,0.016,0.688,0.632,0.694,0.625,0.688,0.632,0.115,0.016,0.639,0.599,0.664,0.608,0.683,0.718,0.102,0.015,0.714,0.688,0.745,0.692,0.75,0.725,0.111,0.016,0.737,0.695,0.756,0.698,0.783,0.733,0.136,0.019,0.758,0.696,0.771,0.683,0.788,0.824,0.099,0.014,0.834,0.796,0.852,0.789,0.871
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.319,0.244,0.035,0.333,0.247,0.387,0.257,0.447,0.88,0.118,0.017,0.9,0.849,0.911,0.8,1.0,0.381,0.196,0.028,0.333,0.329,0.435,0.333,0.5,0.686,0.092,0.013,0.688,0.66,0.711,0.625,0.75,0.631,0.102,0.015,0.63,0.605,0.658,0.585,0.667,0.698,0.072,0.01,0.7,0.679,0.719,0.667,0.721,0.773,0.069,0.01,0.78,0.754,0.792,0.737,0.8,0.732,0.146,0.021,0.723,0.693,0.772,0.683,0.783,0.838,0.09,0.013,0.833,0.813,0.864,0.813,0.883
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.249,0.238,0.034,0.219,0.181,0.315,0.149,0.313,0.732,0.154,0.022,0.7,0.69,0.772,0.683,0.8,0.501,0.169,0.024,0.5,0.451,0.55,0.5,0.5,0.642,0.113,0.016,0.625,0.612,0.674,0.625,0.688,0.617,0.112,0.016,0.608,0.587,0.648,0.567,0.646,0.699,0.094,0.013,0.7,0.671,0.724,0.667,0.727,0.709,0.108,0.015,0.7,0.679,0.739,0.667,0.75,0.689,0.129,0.018,0.683,0.652,0.725,0.65,0.748,0.798,0.098,0.014,0.806,0.77,0.825,0.77,0.829
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.241,0.281,0.04,0.274,0.162,0.316,0.2,0.333,0.727,0.166,0.024,0.7,0.685,0.774,0.7,0.8,0.495,0.225,0.032,0.5,0.431,0.559,0.381,0.667,0.639,0.124,0.018,0.656,0.606,0.671,0.594,0.688,0.611,0.131,0.019,0.617,0.571,0.645,0.583,0.654,0.701,0.111,0.016,0.7,0.674,0.734,0.667,0.727,0.705,0.113,0.016,0.706,0.674,0.739,0.667,0.762,0.693,0.133,0.019,0.699,0.655,0.728,0.667,0.738,0.791,0.091,0.013,0.803,0.767,0.818,0.762,0.835
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.265,0.216,0.031,0.2,0.206,0.328,0.149,0.313,0.736,0.141,0.02,0.7,0.695,0.779,0.7,0.8,0.514,0.183,0.026,0.5,0.466,0.567,0.464,0.5,0.65,0.099,0.014,0.625,0.624,0.678,0.625,0.688,0.625,0.102,0.015,0.6,0.596,0.655,0.567,0.65,0.71,0.096,0.014,0.7,0.686,0.738,0.667,0.714,0.715,0.095,0.014,0.7,0.691,0.742,0.681,0.737,0.697,0.117,0.017,0.683,0.666,0.732,0.65,0.733,0.803,0.094,0.013,0.811,0.777,0.828,0.79,0.843
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.353,0.305,0.044,0.313,0.264,0.441,0.238,0.467,0.749,0.159,0.023,0.778,0.704,0.796,0.7,0.8,0.597,0.207,0.03,0.571,0.53,0.649,0.5,0.667,0.69,0.142,0.02,0.688,0.648,0.729,0.625,0.75,0.673,0.148,0.021,0.65,0.631,0.712,0.61,0.73,0.748,0.116,0.017,0.727,0.718,0.78,0.7,0.789,0.742,0.126,0.018,0.762,0.708,0.776,0.7,0.8,0.756,0.147,0.021,0.767,0.716,0.796,0.732,0.825,0.856,0.087,0.012,0.86,0.832,0.88,0.822,0.902
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.385,0.234,0.033,0.435,0.316,0.45,0.313,0.477,0.779,0.151,0.022,0.8,0.736,0.82,0.7,0.8,0.584,0.187,0.027,0.571,0.535,0.634,0.5,0.667,0.705,0.105,0.015,0.719,0.674,0.734,0.688,0.75,0.682,0.108,0.015,0.687,0.652,0.71,0.65,0.723,0.754,0.083,0.012,0.75,0.731,0.777,0.721,0.774,0.759,0.095,0.014,0.77,0.733,0.784,0.732,0.8,0.777,0.118,0.017,0.775,0.743,0.806,0.733,0.826,0.867,0.074,0.011,0.875,0.845,0.886,0.843,0.898
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.256,0.234,0.033,0.313,0.189,0.319,0.2,0.358,0.795,0.138,0.02,0.8,0.757,0.835,0.75,0.844,0.431,0.185,0.026,0.464,0.382,0.482,0.333,0.5,0.655,0.1,0.014,0.688,0.628,0.683,0.625,0.688,0.613,0.105,0.015,0.638,0.583,0.643,0.583,0.659,0.692,0.081,0.012,0.696,0.668,0.715,0.667,0.727,0.735,0.088,0.013,0.75,0.709,0.758,0.717,0.77,0.699,0.137,0.02,0.717,0.662,0.734,0.667,0.76,0.808,0.104,0.015,0.819,0.779,0.837,0.789,0.839
