Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.159,0.261,0.037,-0.321,0.545,0.149,0.089,0.231,0.098,0.289,0.79,0.142,0.02,0.545,1.0,0.8,0.749,0.828,0.739,0.844,0.354,0.227,0.032,0.0,0.667,0.333,0.291,0.416,0.333,0.381,0.619,0.105,0.015,0.438,0.784,0.625,0.588,0.646,0.594,0.625,0.572,0.116,0.017,0.358,0.761,0.567,0.54,0.606,0.525,0.6,0.665,0.092,0.013,0.538,0.81,0.655,0.641,0.692,0.625,0.667,0.714,0.087,0.012,0.579,0.846,0.727,0.69,0.739,0.7,0.743,0.668,0.136,0.019,0.458,0.862,0.675,0.632,0.705,0.633,0.717,0.798,0.086,0.012,0.674,0.923,0.786,0.773,0.821,0.765,0.824
ElasticNet,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.479,0.211,0.03,0.121,0.827,0.467,0.421,0.537,0.378,0.592,0.804,0.128,0.018,0.6,1.0,0.8,0.769,0.842,0.789,0.844,0.658,0.201,0.029,0.333,1.0,0.667,0.602,0.714,0.619,0.714,0.748,0.097,0.014,0.562,0.909,0.75,0.719,0.775,0.688,0.781,0.731,0.107,0.015,0.558,0.909,0.733,0.699,0.76,0.683,0.758,0.798,0.102,0.015,0.667,1.0,0.778,0.771,0.826,0.75,0.8,0.793,0.086,0.012,0.647,0.926,0.8,0.769,0.816,0.77,0.833,0.813,0.101,0.014,0.641,0.969,0.817,0.786,0.84,0.775,0.854,0.893,0.063,0.009,0.772,0.983,0.9,0.876,0.911,0.875,0.926
GaussianNB,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.477,0.181,0.026,0.25,0.77,0.457,0.427,0.525,0.4,0.516,0.696,0.127,0.018,0.525,0.9,0.7,0.661,0.731,0.667,0.7,0.783,0.144,0.021,0.532,1.0,0.833,0.743,0.822,0.667,0.833,0.73,0.09,0.013,0.625,0.875,0.75,0.704,0.754,0.688,0.75,0.739,0.091,0.013,0.624,0.881,0.725,0.715,0.763,0.69,0.775,0.844,0.098,0.014,0.706,1.0,0.845,0.819,0.871,0.8,0.875,0.755,0.093,0.013,0.587,0.889,0.764,0.73,0.78,0.721,0.8,0.807,0.085,0.012,0.658,0.919,0.809,0.783,0.83,0.783,0.85,0.86,0.076,0.011,0.741,0.961,0.872,0.838,0.882,0.835,0.904
GaussianProcessClassifier,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.303,0.25,0.036,-0.023,0.733,0.323,0.233,0.367,0.2,0.429,0.77,0.137,0.02,0.6,1.0,0.8,0.734,0.809,0.7,0.8,0.514,0.198,0.028,0.22,0.833,0.5,0.461,0.572,0.499,0.571,0.67,0.111,0.016,0.5,0.875,0.688,0.638,0.7,0.625,0.719,0.642,0.119,0.017,0.491,0.846,0.65,0.608,0.674,0.592,0.692,0.72,0.098,0.014,0.607,0.895,0.707,0.692,0.746,0.667,0.75,0.738,0.094,0.013,0.576,0.9,0.737,0.71,0.763,0.7,0.791,0.653,0.144,0.021,0.424,0.894,0.634,0.612,0.692,0.603,0.667,0.764,0.112,0.016,0.591,0.946,0.764,0.733,0.794,0.718,0.785
GradientBoostingClassifier,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.123,0.261,0.037,-0.271,0.55,0.098,0.053,0.193,0.048,0.221,0.701,0.157,0.022,0.445,0.9,0.7,0.658,0.741,0.667,0.8,0.417,0.198,0.028,0.143,0.758,0.429,0.362,0.471,0.333,0.5,0.589,0.124,0.018,0.438,0.784,0.625,0.554,0.621,0.562,0.625,0.559,0.126,0.018,0.383,0.779,0.55,0.526,0.594,0.517,0.603,0.655,0.111,0.016,0.5,0.833,0.655,0.622,0.684,0.631,0.692,0.67,0.118,0.017,0.496,0.823,0.681,0.635,0.703,0.636,0.727,0.623,0.144,0.021,0.373,0.83,0.65,0.582,0.663,0.603,0.675,0.769,0.105,0.015,0.577,0.906,0.805,0.74,0.797,0.733,0.826
KNeighborsClassifier,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.338,0.197,0.028,0.021,0.654,0.323,0.283,0.391,0.27,0.364,0.698,0.146,0.021,0.445,0.9,0.7,0.659,0.738,0.667,0.778,0.635,0.185,0.026,0.307,0.857,0.667,0.578,0.688,0.619,0.667,0.674,0.095,0.014,0.562,0.812,0.688,0.649,0.701,0.625,0.688,0.666,0.097,0.014,0.513,0.819,0.654,0.639,0.692,0.634,0.683,0.76,0.089,0.013,0.638,0.875,0.75,0.736,0.786,0.721,0.8,0.718,0.095,0.014,0.55,0.857,0.737,0.69,0.741,0.7,0.762,0.723,0.106,0.015,0.541,0.864,0.728,0.693,0.753,0.683,0.758,0.811,0.074,0.011,0.675,0.92,0.81,0.79,0.832,0.796,0.835
LGBMClassifier,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.195,0.241,0.034,-0.24,0.506,0.24,0.127,0.256,0.098,0.323,0.747,0.146,0.021,0.5,1.0,0.789,0.704,0.788,0.7,0.8,0.434,0.205,0.029,0.143,0.758,0.5,0.372,0.489,0.333,0.5,0.624,0.111,0.016,0.403,0.75,0.625,0.595,0.655,0.594,0.688,0.59,0.115,0.016,0.384,0.733,0.6,0.559,0.621,0.55,0.65,0.68,0.102,0.015,0.5,0.818,0.696,0.652,0.707,0.64,0.727,0.704,0.099,0.014,0.512,0.818,0.732,0.677,0.732,0.696,0.762,0.672,0.138,0.02,0.487,0.883,0.692,0.63,0.711,0.642,0.733,0.806,0.096,0.014,0.667,0.936,0.825,0.78,0.829,0.784,0.851
LinearDiscriminantAnalysis,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.462,0.194,0.028,0.163,0.775,0.457,0.41,0.519,0.358,0.519,0.695,0.115,0.016,0.5,0.895,0.7,0.66,0.729,0.7,0.7,0.77,0.162,0.023,0.5,1.0,0.833,0.725,0.817,0.667,0.833,0.725,0.093,0.013,0.562,0.875,0.719,0.699,0.75,0.688,0.75,0.733,0.099,0.014,0.581,0.895,0.723,0.707,0.763,0.683,0.767,0.836,0.109,0.016,0.682,1.0,0.826,0.807,0.867,0.778,0.875,0.753,0.091,0.013,0.588,0.889,0.756,0.728,0.776,0.721,0.8,0.798,0.114,0.016,0.608,0.967,0.817,0.764,0.829,0.756,0.85,0.884,0.072,0.01,0.754,0.98,0.905,0.863,0.903,0.864,0.922
LogisticRegression,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.499,0.212,0.03,0.121,0.827,0.504,0.44,0.554,0.445,0.596,0.758,0.13,0.019,0.576,0.955,0.778,0.724,0.791,0.7,0.8,0.739,0.172,0.025,0.5,1.0,0.714,0.692,0.783,0.667,0.833,0.751,0.101,0.014,0.562,0.909,0.75,0.722,0.779,0.688,0.781,0.749,0.106,0.015,0.558,0.909,0.748,0.719,0.78,0.706,0.792,0.829,0.104,0.015,0.667,1.0,0.818,0.8,0.857,0.778,0.875,0.784,0.097,0.014,0.632,0.93,0.789,0.757,0.811,0.75,0.821,0.82,0.102,0.015,0.641,0.951,0.837,0.79,0.847,0.8,0.883,0.898,0.064,0.009,0.8,0.97,0.923,0.88,0.915,0.885,0.937
RandomForestClassifier,full,chi2,181,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.147,0.263,0.038,-0.237,0.592,0.149,0.075,0.219,0.073,0.259,0.833,0.123,0.018,0.6,1.0,0.844,0.798,0.865,0.8,0.9,0.302,0.231,0.033,0.0,0.667,0.333,0.24,0.366,0.167,0.333,0.625,0.099,0.014,0.466,0.812,0.625,0.598,0.652,0.593,0.625,0.568,0.11,0.016,0.409,0.776,0.567,0.538,0.598,0.533,0.587,0.661,0.088,0.013,0.536,0.827,0.667,0.637,0.684,0.615,0.667,0.73,0.074,0.011,0.609,0.857,0.727,0.709,0.75,0.72,0.75,0.677,0.124,0.018,0.474,0.854,0.699,0.641,0.711,0.633,0.733,0.807,0.091,0.013,0.627,0.934,0.814,0.781,0.833,0.77,0.862
