Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.605,0.172,0.025,0.612,0.554,0.656,0.524,0.704,0.79,0.11,0.016,0.8,0.758,0.822,0.7,0.8,0.804,0.147,0.021,0.8,0.764,0.846,0.8,0.9,0.797,0.086,0.012,0.8,0.773,0.819,0.75,0.85,0.797,0.086,0.012,0.8,0.775,0.82,0.75,0.825,0.817,0.117,0.017,0.8,0.786,0.851,0.774,0.882,0.796,0.084,0.012,0.791,0.772,0.82,0.75,0.826,0.879,0.071,0.01,0.89,0.86,0.897,0.855,0.92,0.907,0.058,0.008,0.922,0.889,0.923,0.891,0.943
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.474,0.174,0.025,0.503,0.426,0.52,0.436,0.524,0.81,0.1,0.014,0.8,0.782,0.84,0.8,0.8,0.648,0.173,0.025,0.7,0.6,0.694,0.6,0.7,0.729,0.088,0.013,0.75,0.704,0.753,0.7,0.75,0.729,0.088,0.013,0.75,0.704,0.752,0.7,0.75,0.712,0.102,0.015,0.707,0.684,0.742,0.679,0.75,0.751,0.071,0.01,0.75,0.731,0.77,0.737,0.78,0.786,0.113,0.016,0.81,0.756,0.817,0.78,0.83,0.79,0.114,0.016,0.8,0.759,0.822,0.735,0.827
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.331,0.192,0.027,0.314,0.277,0.386,0.282,0.408,0.82,0.117,0.017,0.8,0.786,0.852,0.8,0.9,0.488,0.138,0.02,0.5,0.45,0.526,0.4,0.5,0.654,0.09,0.013,0.65,0.629,0.678,0.625,0.7,0.654,0.09,0.013,0.65,0.628,0.677,0.625,0.7,0.619,0.074,0.011,0.615,0.599,0.639,0.588,0.629,0.702,0.079,0.011,0.696,0.683,0.723,0.692,0.724,0.715,0.105,0.015,0.73,0.686,0.743,0.68,0.78,0.729,0.097,0.014,0.741,0.702,0.754,0.713,0.764
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.392,0.186,0.027,0.404,0.338,0.44,0.314,0.469,0.77,0.119,0.017,0.8,0.738,0.8,0.7,0.8,0.608,0.16,0.023,0.6,0.564,0.654,0.5,0.7,0.689,0.092,0.013,0.7,0.663,0.717,0.65,0.726,0.689,0.092,0.013,0.7,0.662,0.716,0.65,0.75,0.673,0.096,0.014,0.667,0.647,0.701,0.62,0.707,0.712,0.082,0.012,0.71,0.688,0.733,0.696,0.739,0.758,0.098,0.014,0.78,0.73,0.784,0.73,0.79,0.78,0.087,0.012,0.791,0.758,0.804,0.762,0.823
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.617,0.159,0.023,0.655,0.574,0.66,0.612,0.704,0.788,0.118,0.017,0.8,0.756,0.82,0.8,0.8,0.818,0.134,0.019,0.8,0.78,0.856,0.8,0.9,0.803,0.079,0.011,0.8,0.781,0.824,0.8,0.85,0.803,0.079,0.011,0.8,0.78,0.825,0.8,0.85,0.827,0.108,0.015,0.818,0.798,0.857,0.794,0.889,0.799,0.08,0.011,0.821,0.777,0.819,0.78,0.842,0.888,0.061,0.009,0.895,0.872,0.906,0.87,0.91,0.909,0.051,0.007,0.915,0.894,0.922,0.893,0.935
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.496,0.206,0.029,0.503,0.439,0.55,0.436,0.524,0.83,0.177,0.025,0.9,0.784,0.876,0.8,0.9,0.64,0.155,0.022,0.7,0.596,0.682,0.6,0.7,0.735,0.102,0.015,0.75,0.706,0.762,0.7,0.75,0.735,0.102,0.015,0.75,0.707,0.762,0.7,0.75,0.704,0.093,0.013,0.721,0.678,0.729,0.679,0.75,0.751,0.116,0.017,0.756,0.717,0.782,0.737,0.783,0.816,0.105,0.015,0.822,0.785,0.843,0.8,0.845,0.8,0.112,0.016,0.798,0.767,0.832,0.761,0.86
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.615,0.163,0.023,0.634,0.566,0.661,0.6,0.704,0.778,0.135,0.019,0.8,0.742,0.814,0.7,0.8,0.824,0.126,0.018,0.8,0.788,0.858,0.8,0.9,0.801,0.082,0.012,0.8,0.779,0.822,0.8,0.85,0.801,0.082,0.012,0.8,0.778,0.823,0.8,0.85,0.828,0.108,0.015,0.818,0.8,0.86,0.789,0.889,0.793,0.095,0.014,0.8,0.764,0.818,0.764,0.842,0.872,0.077,0.011,0.867,0.851,0.894,0.845,0.895,0.902,0.063,0.009,0.905,0.884,0.919,0.89,0.926
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.388,0.184,0.026,0.408,0.338,0.439,0.308,0.436,0.758,0.115,0.016,0.8,0.724,0.79,0.7,0.8,0.618,0.152,0.022,0.6,0.576,0.658,0.6,0.7,0.688,0.09,0.013,0.7,0.663,0.712,0.65,0.7,0.688,0.09,0.013,0.7,0.662,0.712,0.65,0.7,0.675,0.096,0.014,0.667,0.649,0.701,0.636,0.692,0.708,0.081,0.012,0.7,0.687,0.729,0.667,0.737,0.764,0.106,0.015,0.775,0.736,0.792,0.755,0.805,0.781,0.103,0.015,0.797,0.75,0.81,0.745,0.829
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.442,0.167,0.024,0.436,0.395,0.487,0.4,0.503,0.774,0.102,0.015,0.7,0.746,0.802,0.7,0.8,0.658,0.14,0.02,0.7,0.616,0.698,0.6,0.7,0.716,0.083,0.012,0.7,0.695,0.738,0.7,0.75,0.716,0.083,0.012,0.7,0.694,0.739,0.7,0.75,0.702,0.088,0.013,0.7,0.68,0.727,0.679,0.727,0.732,0.074,0.011,0.737,0.711,0.753,0.7,0.75,0.789,0.107,0.015,0.795,0.76,0.818,0.78,0.83,0.801,0.108,0.015,0.818,0.772,0.829,0.77,0.839
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.594,0.164,0.023,0.612,0.544,0.634,0.524,0.704,0.796,0.111,0.016,0.8,0.766,0.826,0.8,0.8,0.788,0.144,0.021,0.8,0.746,0.824,0.8,0.8,0.792,0.083,0.012,0.8,0.769,0.812,0.75,0.85,0.792,0.083,0.012,0.8,0.768,0.814,0.75,0.85,0.803,0.109,0.016,0.8,0.772,0.834,0.778,0.818,0.793,0.084,0.012,0.8,0.77,0.815,0.778,0.842,0.874,0.07,0.01,0.88,0.854,0.895,0.86,0.91,0.895,0.066,0.009,0.904,0.877,0.912,0.878,0.929
SVC,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.466,0.19,0.027,0.513,0.411,0.516,0.436,0.551,0.816,0.132,0.019,0.85,0.774,0.852,0.8,0.9,0.626,0.205,0.029,0.6,0.57,0.68,0.6,0.7,0.721,0.095,0.014,0.75,0.695,0.747,0.7,0.75,0.721,0.095,0.014,0.75,0.691,0.745,0.7,0.75,0.708,0.118,0.017,0.7,0.676,0.742,0.692,0.739,0.745,0.079,0.011,0.762,0.722,0.766,0.734,0.783,0.8,0.112,0.016,0.83,0.769,0.831,0.8,0.855,0.814,0.106,0.015,0.847,0.787,0.844,0.807,0.868
