Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.662,0.146,0.021,0.408,0.905,0.704,0.622,0.702,0.612,0.704,0.808,0.115,0.016,0.6,1.0,0.8,0.776,0.84,0.8,0.85,0.842,0.128,0.018,0.6,1.0,0.9,0.806,0.874,0.8,0.9,0.825,0.074,0.011,0.7,0.95,0.85,0.804,0.845,0.8,0.85,0.825,0.074,0.011,0.7,0.95,0.85,0.804,0.844,0.8,0.85,0.851,0.103,0.015,0.692,1.0,0.875,0.822,0.879,0.818,0.889,0.821,0.077,0.011,0.682,0.947,0.842,0.801,0.843,0.783,0.842,0.92,0.056,0.008,0.809,0.99,0.925,0.902,0.935,0.9,0.95,0.934,0.046,0.007,0.846,0.991,0.943,0.92,0.945,0.917,0.959
ElasticNet,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.596,0.174,0.025,0.302,0.816,0.6,0.547,0.642,0.513,0.704,0.842,0.123,0.018,0.6,1.0,0.9,0.806,0.876,0.8,0.9,0.74,0.144,0.021,0.445,0.9,0.8,0.698,0.778,0.7,0.8,0.791,0.088,0.013,0.65,0.9,0.8,0.768,0.815,0.75,0.85,0.791,0.088,0.013,0.65,0.9,0.8,0.766,0.815,0.75,0.85,0.775,0.097,0.014,0.616,0.9,0.778,0.748,0.802,0.739,0.818,0.8,0.085,0.012,0.667,0.909,0.8,0.777,0.823,0.762,0.857,0.891,0.075,0.011,0.75,0.99,0.9,0.869,0.91,0.87,0.925,0.906,0.069,0.01,0.789,0.991,0.918,0.888,0.924,0.89,0.947
GaussianNB,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.264,0.183,0.026,-0.058,0.553,0.25,0.214,0.314,0.204,0.314,0.796,0.115,0.016,0.6,0.955,0.8,0.762,0.828,0.8,0.85,0.448,0.117,0.017,0.245,0.6,0.5,0.418,0.48,0.4,0.5,0.622,0.085,0.012,0.473,0.75,0.6,0.599,0.644,0.6,0.65,0.622,0.085,0.012,0.472,0.75,0.6,0.599,0.647,0.6,0.65,0.592,0.064,0.009,0.479,0.681,0.583,0.574,0.609,0.571,0.626,0.677,0.076,0.011,0.544,0.792,0.667,0.656,0.698,0.64,0.696,0.67,0.099,0.014,0.497,0.826,0.67,0.641,0.697,0.64,0.705,0.666,0.105,0.015,0.5,0.856,0.661,0.636,0.697,0.62,0.69
GaussianProcessClassifier,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.477,0.175,0.025,0.14,0.734,0.501,0.426,0.525,0.436,0.524,0.902,0.084,0.012,0.7,1.0,0.9,0.878,0.924,0.9,0.9,0.538,0.162,0.023,0.245,0.755,0.6,0.49,0.586,0.5,0.6,0.72,0.088,0.013,0.55,0.85,0.725,0.697,0.746,0.7,0.75,0.72,0.088,0.013,0.55,0.85,0.725,0.694,0.744,0.7,0.75,0.67,0.082,0.012,0.529,0.796,0.667,0.647,0.693,0.634,0.692,0.765,0.066,0.009,0.65,0.87,0.769,0.747,0.784,0.745,0.783,0.839,0.074,0.011,0.71,0.95,0.85,0.816,0.859,0.81,0.87,0.86,0.066,0.009,0.754,0.96,0.86,0.841,0.877,0.838,0.894
GradientBoostingClassifier,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.699,0.15,0.021,0.451,0.905,0.704,0.659,0.739,0.612,0.8,0.828,0.122,0.017,0.645,1.0,0.8,0.794,0.86,0.8,0.9,0.862,0.1,0.014,0.7,1.0,0.9,0.834,0.886,0.8,0.9,0.845,0.076,0.011,0.722,0.95,0.85,0.824,0.866,0.8,0.9,0.845,0.076,0.011,0.722,0.95,0.85,0.824,0.866,0.8,0.9,0.865,0.088,0.013,0.712,1.0,0.875,0.841,0.89,0.833,0.894,0.84,0.081,0.012,0.703,0.952,0.842,0.816,0.863,0.8,0.889,0.931,0.05,0.007,0.86,0.995,0.935,0.917,0.944,0.92,0.95,0.946,0.033,0.005,0.894,0.996,0.944,0.936,0.955,0.938,0.953
KNeighborsClassifier,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.327,0.186,0.027,0.102,0.566,0.324,0.271,0.374,0.25,0.408,0.77,0.159,0.023,0.4,0.9,0.8,0.722,0.814,0.75,0.9,0.536,0.184,0.026,0.2,0.8,0.6,0.48,0.586,0.5,0.6,0.653,0.092,0.013,0.55,0.777,0.65,0.628,0.679,0.6,0.7,0.653,0.092,0.013,0.55,0.777,0.65,0.625,0.677,0.6,0.7,0.634,0.087,0.012,0.529,0.765,0.636,0.611,0.656,0.592,0.667,0.684,0.096,0.014,0.484,0.792,0.696,0.654,0.71,0.667,0.727,0.736,0.114,0.016,0.572,0.876,0.762,0.703,0.767,0.72,0.79,0.73,0.108,0.015,0.56,0.892,0.74,0.701,0.759,0.704,0.759
LGBMClassifier,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.696,0.152,0.022,0.451,0.905,0.704,0.649,0.736,0.704,0.8,0.82,0.123,0.018,0.6,1.0,0.8,0.784,0.852,0.8,0.9,0.866,0.103,0.015,0.7,1.0,0.9,0.838,0.894,0.9,0.9,0.843,0.077,0.011,0.722,0.95,0.85,0.821,0.863,0.85,0.9,0.843,0.077,0.011,0.722,0.95,0.85,0.822,0.864,0.85,0.9,0.867,0.094,0.013,0.727,1.0,0.889,0.843,0.893,0.838,0.9,0.837,0.089,0.013,0.684,0.947,0.85,0.808,0.859,0.833,0.889,0.924,0.056,0.008,0.834,0.995,0.93,0.908,0.939,0.92,0.95,0.94,0.041,0.006,0.866,0.996,0.949,0.928,0.951,0.934,0.959
LinearDiscriminantAnalysis,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.692,0.154,0.022,0.446,0.905,0.704,0.648,0.736,0.704,0.734,0.87,0.092,0.013,0.7,1.0,0.9,0.844,0.894,0.85,0.9,0.814,0.117,0.017,0.645,1.0,0.8,0.784,0.846,0.8,0.85,0.842,0.077,0.011,0.722,0.95,0.85,0.82,0.863,0.85,0.85,0.842,0.077,0.011,0.722,0.95,0.85,0.82,0.863,0.85,0.85,0.833,0.099,0.014,0.696,1.0,0.818,0.806,0.86,0.809,0.862,0.847,0.075,0.011,0.717,0.952,0.857,0.827,0.867,0.842,0.87,0.908,0.074,0.011,0.77,1.0,0.92,0.885,0.928,0.895,0.94,0.915,0.074,0.011,0.78,1.0,0.928,0.893,0.935,0.911,0.954
LogisticRegression,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.733,0.152,0.022,0.466,1.0,0.734,0.693,0.78,0.704,0.8,0.886,0.085,0.012,0.745,1.0,0.9,0.864,0.908,0.9,0.9,0.84,0.122,0.017,0.645,1.0,0.9,0.804,0.874,0.8,0.9,0.863,0.077,0.011,0.722,1.0,0.85,0.841,0.884,0.85,0.9,0.863,0.077,0.011,0.722,1.0,0.85,0.841,0.883,0.85,0.9,0.857,0.097,0.014,0.696,1.0,0.889,0.828,0.884,0.818,0.9,0.867,0.072,0.01,0.755,1.0,0.87,0.847,0.888,0.842,0.9,0.932,0.067,0.01,0.805,1.0,0.955,0.913,0.95,0.92,0.97,0.945,0.061,0.009,0.837,1.0,0.962,0.924,0.962,0.944,0.977
RandomForestClassifier,full,chi2,69,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,validation_score,0.604,0.142,0.02,0.404,0.8,0.612,0.567,0.643,0.562,0.704,0.79,0.11,0.016,0.6,0.9,0.8,0.76,0.82,0.8,0.8,0.806,0.112,0.016,0.6,0.955,0.8,0.776,0.838,0.8,0.9,0.798,0.071,0.01,0.7,0.9,0.8,0.779,0.819,0.8,0.85,0.798,0.071,0.01,0.7,0.9,0.8,0.779,0.818,0.775,0.85,0.812,0.091,0.013,0.667,0.959,0.818,0.787,0.838,0.789,0.875,0.795,0.076,0.011,0.662,0.9,0.789,0.774,0.815,0.77,0.842,0.893,0.061,0.009,0.795,0.98,0.905,0.876,0.91,0.88,0.92,0.911,0.051,0.007,0.817,0.983,0.919,0.897,0.926,0.896,0.935
